source,target,language_pair,legal_category,translation,reference,bleu,meteor,comet
"The application shall show that the applicant exists as a legal person and has the financial and operational capacity to complete the proposed action or work programme, subject to Article 176(4).","Der Antrag dient dem Nachweis der rechtlichen Existenz des Antragstellers sowie seiner finanziellen und operativen Fähigkeit, die vorgeschlagene Maßnahme bzw. das vorgeschlagene Arbeitsprogramm vorbehaltlich des Artikels 176 Absatz 4 vollständig durchzuführen.",en-de,Legal Theory & Latin Terms,"Die Bewerbung muss nachweisen, dass der Antragsteller als Rechtsperson existiert und über die finanziellen und operativen Kapazitäten verfügt, die vorgeschlagene Maßnahme oder das vorgeschlagene Arbeitsprogramm abzuschließen, vorbehaltlich des Artikels 176 Absatz 4.","Der Antrag dient dem Nachweis der rechtlichen Existenz des Antragstellers sowie seiner finanziellen und operativen Fähigkeit, die vorgeschlagene Maßnahme bzw. das vorgeschlagene Arbeitsprogramm vorbehaltlich des Artikels 176 Absatz 4 vollständig durchzuführen.",0.26442960840784246,0.5348204305778297,[0.854712724685669]
Article I,Artikel I,en-de,Legal Theory & Latin Terms,Artikel I,Artikel I,1.491668146240062e-154,0.9375,[0.992210328578949]
I. All persons having completed their compulsory education (having reached school-leaving age) who carried out farm work on the holding under survey during the 12 months up to the survey day.,"I. Alle Personen ab Ende des schulpflichtigen Alters, die in den letzten zwölf Monaten vor dem Tag der Erhebung landwirtschaftliche Arbeiten innerhalb des befragten landwirtschaftlichen Betriebs verrichtet haben.",en-de,Legal Theory & Latin Terms,"Ich. Alle Personen, die ihre Schulpflicht erfüllt haben (das Schulpflichtalter erreicht haben), die im Laufe der 12 Monate vor dem Erhebungsdatum landwirtschaftliche Arbeiten auf dem unter Bewirtschaftung stehenden Betrieb ausgeführt haben. 

(Oder in einer etwas formelleren Variante, die oft in offiziellen Übersetzungen verwendet wird:)

Ich. Alle Personen, die ihre Pflichtschulzeit abgeschlossen haben (das gesetzliche Schulpflichtalter erreicht haben) und im Verlauf der 12 Monate vor dem Stichtag landwirtschaftliche Tätigkeiten auf dem untersuchten Betrieb ausgeübt haben.","I. Alle Personen ab Ende des schulpflichtigen Alters, die in den letzten zwölf Monaten vor dem Tag der Erhebung landwirtschaftliche Arbeiten innerhalb des befragten landwirtschaftlichen Betriebs verrichtet haben.",4.4130805916504296e-155,0.27970529577557646,[0.661322832107544]
"""- the third and fourth paragraphs of Article 6 shall apply from 1 January 2003,"".","""- gilt Artikel 6 Unterabsätze 3 und 4 erst ab 1. Januar 2003,"".",en-de,Legal Theory & Latin Terms,"""- die Absätze 3 und 4 des Artikels 6 finden ab dem 1. Januar 2003 Anwendung,""

Alternatively, in a more formal tone, as often used in official documents:

""- Absätze 3 und 4 des Artikels 6 sind ab 1. Januar 2003 anzuwenden,""","""- gilt Artikel 6 Unterabsätze 3 und 4 erst ab 1. Januar 2003,"".",0.10626057312883595,0.6223255813953489,[0.6563292145729065]
Article 28(5) shall apply.,Es gilt Artikel 28 Absatz 5.,en-de,Legal Theory & Latin Terms,Artikel 28 Absatz 5 findet Anwendung.,Es gilt Artikel 28 Absatz 5.,0.4347208719449914,0.6914285714285714,[0.9506049156188965]
It shall be granted only if the official's spouse engages in a gainful activity at least half-time.,"Die Dienstbefreiung wird nur gewährt, wenn der Ehegatte des Beamten zumindest halbzeitlich erwerbstätig ist.",en-de,Legal Theory & Latin Terms,"Sie darf nur gewährt werden, wenn der Ehepartner des Amtsträgers mindestens halbtags einer Erwerbstätigkeit nachgeht. 

Alternatively, a more formal translation could be:

Sie wird nur gewährt, wenn der Ehegatte des Beamten mindestens halbtags erwerbstätig ist.","Die Dienstbefreiung wird nur gewährt, wenn der Ehegatte des Beamten zumindest halbzeitlich erwerbstätig ist.",0.22063916635549044,0.6471471471471472,[0.7530227303504944]
the structure in which it is presented shall be the same as that of the budget itself;,diese Rechnung folgt der Gliederung des Haushaltsplans;,en-de,Legal Theory & Latin Terms,"Die Struktur, in der sie präsentiert wird, soll dieselbe sein wie die des Haushaltsplans selbst; 

Alternatively, a more formal translation:

Die Gliederung, in der sie dargestellt wird, muss mit der des Haushaltsplans selbst übereinstimmen;",diese Rechnung folgt der Gliederung des Haushaltsplans;,3.4626327315717625e-155,0.3263157894736842,[0.6462103724479675]
"Where the difference established in accordance with paragraph 3 of this Article is more than 20 %, the farmer shall be excluded once again from receiving aid up to an amount corresponding to the difference between the number of animals declared and the number of animals determined in accordance with Article 57(3).","Beläuft sich die gemäß Absatz 3 dieses Artikels bestimmte Differenz auf mehr als 20 %, so ist der Betriebsinhaber ein weiteres Mal bis zur Höhe eines Betrags, der der Differenz zwischen der angegebenen Zahl der Tiere und der gemäß Artikel 57 Absatz 3 ermittelten entspricht, von der Beihilfegewährung auszuschließen.",en-de,Legal Theory & Latin Terms,"Hier ist die Übersetzung:

""Wenn die gemäß Absatz 3 dieses Artikels festgestellte Differenz mehr als 20 % beträgt, wird der Landwirt erneut von der Gewährung von Beihilfen in Höhe des Betrags ausgeschlossen, der der Differenz zwischen der angegebenen Tierzahl und der nach Artikel 57 Absatz 3 ermittelten Tierzahl entspricht.""

Oder in einer etwas formalen und offiziellen Sprache, wie sie in Rechtstexten oft verwendet wird:

""Wird die nach Absatz 3 dieses Artikels festgestellte Abweichung mehr als 20 % betragen, so wird der Landwirt von der Inanspruchnahme von Beihilfen in Höhe des Betrags ausgeschlossen, der der Differenz zwischen der angegebenen und der gemäß Artikel 57 Absatz 3 festgestellten Anzahl von Tieren entspricht.""","Beläuft sich die gemäß Absatz 3 dieses Artikels bestimmte Differenz auf mehr als 20 %, so ist der Betriebsinhaber ein weiteres Mal bis zur Höhe eines Betrags, der der Differenz zwischen der angegebenen Zahl der Tiere und der gemäß Artikel 57 Absatz 3 ermittelten entspricht, von der Beihilfegewährung auszuschließen.",0.17255122107343324,0.5197426131117266,[0.7891330122947693]
"For the purposes of applying the first subparagraph to ""cooperative groups"", the competent authorities must take into account the public financial commitment of these groups with respect to other financial entities.",Für die Zwecke der Anwendung des Unterabsatzes 1 auf genossenschaftlich organisierte Unternehmensgruppen berücksichtigen die zuständigen Behörden die öffentlichen finanziellen Verpflichtungen dieser Gruppen gegenüber anderen Finanzunternehmen.,en-de,Legal Theory & Latin Terms,"Für die Anwendung des ersten Unterabsatzes auf ""Genossenschaftsgruppen"" müssen die zuständigen Behörden die öffentlichen Finanzverpflichtungen dieser Gruppen gegenüber anderen Finanzinstituten berücksichtigen.

 Alternatively, a more formal and official translation would be:

 Zur Anwendung des Abs. 1 auf Genossenschaftsgruppen haben die zuständigen Behörden die öffentlichen Finanzverpflichtungen dieser Gruppen gegenüber anderen Finanzinstituten zu berücksichtigen.",Für die Zwecke der Anwendung des Unterabsatzes 1 auf genossenschaftlich organisierte Unternehmensgruppen berücksichtigen die zuständigen Behörden die öffentlichen finanziellen Verpflichtungen dieser Gruppen gegenüber anderen Finanzunternehmen.,0.12760789644907836,0.5779109589041096,[0.7731712460517883]
"This includes the target company in the case of a contested bid, in which case the details should be completed as far as is possible.","Bei einem feindlichen Übernahmeangebot gehört hierzu auch das Unternehmen, das übernommen werden soll; hierzu sind Angaben im Bereich des Möglichen zu machen.",en-de,Legal Theory & Latin Terms,"Dies umfasst das Zielunternehmen im Falle eines umstrittenen Angebots, in dem die Details so weit wie möglich vervollständigt werden sollten.

Alternatively, a more literal translation would be:

Dies schließt das Zielunternehmen im Falle eines streitigen Angebots ein, in dem die Einzelheiten so weit wie möglich vervollständigt werden sollten. 

However, ""streitig"" can also mean ""contentious"" or ""disputatious"". In the context of a contested bid, ""umstritten"" is a more suitable translation.","Bei einem feindlichen Übernahmeangebot gehört hierzu auch das Unternehmen, das übernommen werden soll; hierzu sind Angaben im Bereich des Möglichen zu machen.",9.336117803135294e-232,0.09615384615384616,[0.4386436939239502]
a regulated entity within the meaning of Article 1 is at the head of the group or at least one of the subsidiaries in the group is a regulated entity within the meaning of Article 1;,"An der Spitze der Gruppe steht ein beaufsichtigtes Unternehmen im Sinne des Artikels 1 oder mindestens eines der Tochterunternehmen in der Gruppe ist ein beaufsichtigtes Unternehmen im Sinne des Artikels 1,",en-de,Legal Theory & Latin Terms,"Eine regulierte Einrichtung im Sinne des Artikels 1 steht an der Spitze der Gruppe oder mindestens eines der Tochterunternehmen in der Gruppe ist eine regulierte Einrichtung im Sinne des Artikels 1;

Alternatively, a more formal translation:

 Eine nach Artikel 1 regulierte Einheit steht an der Spitze der Gruppe, oder zumindest eines der Tochterunternehmen innerhalb der Gruppe ist eine nach Artikel 1 regulierte Einheit.","An der Spitze der Gruppe steht ein beaufsichtigtes Unternehmen im Sinne des Artikels 1 oder mindestens eines der Tochterunternehmen in der Gruppe ist ein beaufsichtigtes Unternehmen im Sinne des Artikels 1,",0.2516425842659397,0.7471587651914698,[0.7385399341583252]
QUALIFICATION FOR SUBSIDIARY PROTECTION,VORAUSSETZUNGEN FÜR DEN ANSPRUCH AUF SUBSIDIÄREN SCHUTZ,en-de,Legal Theory & Latin Terms,"Die Übersetzung lautet:

""VORAUSSETZUNGEN FÜR DEN SUBSIDIÄREN SCHUTZ""

Alternativ kann auch verwendet werden:

""BERECHTIGUNG ZUM SUBSIDIÄREN SCHUTZ""

Im Kontext des internationalen Flüchtlingsrechts und des Asylrechts in der Europäischen Union ist die offizielle Übersetzung jedoch oft:

""VORAUSSETZUNGEN FÜR DEN SUBSIDIÄREN SCHUTZ""",VORAUSSETZUNGEN FÜR DEN ANSPRUCH AUF SUBSIDIÄREN SCHUTZ,1.318181246664185e-78,0.4321428571428572,[0.6518356204032898]
Article 4 is replaced by the following:,2. Artikel 4 erhält folgende Fassung:,en-de,Legal Theory & Latin Terms,Artikel 4 wird durch folgendes ersetzt:,2. Artikel 4 erhält folgende Fassung:,6.684949609530091e-155,0.39952531645569617,[0.9103814363479614]
