source,target,language_pair,legal_category,legal_entity
Commission Regulation (EC) No 2132/2003 of 4 December 2003 amending Regulation (EC) No 2799/1999 laying down detailed rules for applying Regulation (EC) No 1255/1999 as regards the grant of aid for skimmed milk and skimmed-milk powder intended for animal feed and the sale of such skimmed-milk powder,Verordnung (EG) Nr. 2132/2003 der Kommission vom 4. Dezember 2003 zur Änderung der Verordnung (EG) Nr. 2799/1999 mit Durchführungsvorschriften zur Verordnung (EG) Nr. 1255/1999 des Rates hinsichtlich der Gewährung einer Beihilfe für Magermilch und Magermilchpulver für Futterzwecke und des Verkaufs dieses Magermilchpulvers,en-de,Administrative Law,"regulation, grant, sale, rules, commission"
Vin de pays des côtes du Condomois,Vin de pays des côtes du Condomois,en-de,Administrative Law,
"Whereas, on the territories of the Member States not party to the Agreement, some installations or parts thereof as well as certain materials are liable to be involved in the production cycle for defence needs, therefore it is appropriate to specify particular safeguard procedures to take account of these circumstances;","Auf dem Hoheitsgebiet der Mitgliedstaaten, die nicht Vertragspartei des Übereinkommens sind, sind bestimmte Anlagen oder Anlagenteile und bestimmtes Material möglicherweise dem Produktionszyklus für Verteidigungszwecke zuzuordnen; es sollten daher besondere Kontrollmaßnahmen festgelegt werden, um diesem Umstand Rechnung zu tragen.",en-de,Administrative Law,"party, liable, member, agreement, account"
"Council Directive 70/524/EEC of 23 November 1970 concerning additives in feedingstuffs(12), provides for an authorisation procedure for placing on the market additives used in feedingstuffs.",Die Richtlinie 70/524/EWG des Rates vom 23. November 1970 über Zusatzstoffe in der Tierernährung(12) regelt die Zulassung des Inverkehrbringens von Zusatzstoffen für Futtermittel.,en-de,Civil Procedure & Litigation,procedure
"supply immediately any information which would facilitate compliance with this Regulation, such as accounts and amounts frozen in accordance with Article 2, to the competent authorities of the Member States listed in Annex II where they are resident or located, and shall transmit such information, directly or through these competent authorities, to the Commission;","den in Anhang II aufgeführten zuständigen Behörden der Mitgliedstaaten, in denen sie ihren Sitz oder eine Niederlassung haben, sowie der Kommission - direkt oder über diese zuständigen Behörden - unverzüglich alle Informationen zu übermitteln, die die Einhaltung dieser Verordnung erleichtern würden, z. B. Informationen über gemäß Artikel 2 eingefrorene Konten und Guthaben;",en-de,Administrative Law,"regulation, listed, member, article, resident, commission, competent, information"
"'0A'H to '0F'H RFU,",'0A'H.. '0F'H RFU (für zukünftige Funktionen reserviert),en-de,Administrative Law,
statement showing either (i) all changes in equity or (ii) changes in equity other than those arising from capital transactions with owners and distributions to owners;,"Aufstellung, die entweder (i) alle Veränderungen des Eigenkapitals oder (ii) Veränderungen des Eigenkapitals, die nicht aus Kapitaltransaktionen mit Eigentümern oder Ausschüttungen an Eigentümer resultieren, zeigt;",en-de,Legal Theory & Latin Terms,"equity, capital"
4 other,4 Andere,en-de,Administrative Law,
by these parties;,"von den am Zusammenschluss beteiligten Unternehmen,",en-de,Administrative Law,
"The Common Fisheries Policy shall cover conservation, management and exploitation of living aquatic resources, aquaculture, and the processing and marketing of fishery and aquaculture products where such activities are practised on the territory of Member States or in Community waters or by Community fishing vessels or, without prejudice to the primary responsibility of the flag State, nationals of Member States.","Die Gemeinsame Fischereipolitik erstreckt sich auf die Erhaltung, Bewirtschaftung und Nutzung lebender aquatischer Ressourcen, die Aquakultur und die Verarbeitung und Vermarktung von Erzeugnissen der Fischerei und der Aquakultur, soweit diese Tätigkeiten im Hoheitsgebiet der Mitgliedstaaten oder in Gemeinschaftsgewässern oder durch Fischereifahrzeuge der Gemeinschaft oder, unbeschadet der Tatsache, dass in erster Linie der Flaggenstaat zuständig ist, von Staatsbürgern der Mitgliedstaaten ausgeübt werden.",en-de,Immigration & Naturalization Law,"policy, prejudice, member, state"
=450 Formerly included in Podocnemis spp.,=450 war früher in Podocnemis spp. enthalten,en-de,Administrative Law,
The legal commitment is the act whereby the authorising officer enters into or establishes an obligation which results in a charge.,"Die rechtliche Verpflichtung ist die Handlung, durch die der Anweisungsbefugte eine Verpflichtung eingeht, die eine Belastung zur Folge hat.",en-de,Contract Law,"commitment, officer, charge, obligation, act"
30th June Avenue,30th June Avenue,en-de,Administrative Law,
"In measuring and reporting segment revenue from transactions with other segments, inter-segment transfers should be measured on the basis that the enterprise actually used to price those transfers.","Bei der Bewertung und Darstellung der Segmenterlöse aus Transaktionen mit anderen Segmenten sind Transfers zwischen den Segmenten auf der Grundlage zu bewerten, die das Unternehmen tatsächlich zur Ermittlung von Verrechnungspreisen für solche Transfers anwendet.",en-de,Tax & Financial Regulation,
The Agency should act in support of the Community mechanism in the field of civil protection.,Die Agentur sollte das Gemeinschaftsverfahren im Bereich des Katastrophenschutzes unterstützen.,en-de,Administrative Law,"act, civil, agency"
the effect of differences between actual and previously assumed salary increases on the obligation to pay benefits for service in prior years (there is no past service cost because actuarial assumptions allow for projected salaries);,"die Auswirkungen von Unterschieden zwischen tatsächlichen und ursprünglich angenommenen Gehaltssteigerungen auf die Höhe der in früheren Jahren erdienten Leistungen (nachzuverrechnender Dienstzeitaufwand entsteht nicht, da die Gehaltsentwicklung über die versicherungsmathematischen Annahmen berücksichtigt ist);",en-de,Immigration & Naturalization Law,"obligation, service"
