source,reference,category,detected_terms,definitions_used,examples_retrieved,translation,BLEU,METEOR,COMET
"Having regard to the opinion of the Council(3),","nach Stellungnahme des Rates(3),",Administrative Law,['opinion'],"{'opinion': 'With respect to law, “opinion” primarily refers to a judicial opinion, which is a court ’s written statement explaining the court’s decision for the case . The opinion usually contains the following elements: name of the judge who wrote the opinion, statement of facts, the legal issues implicated, the court’s rationale and holding , and dicta .'}",3,"In Anbetracht der Stellungnahme des Rates(3),",0.6389431042462724,0.8524141363862616,0.8703859448432922
THESE DOCUMENTS SHALL CONSTITUTE A COMPOSITE WHOLE.,Diese Unterlagen bilden eine Einheit.,Administrative Law,[],{},3,DIESE UNTERLAGEN BILDEN EIN GANZES.,0.21711852081087685,0.8066666666666668,0.42714840173721313
"""national authorities"", as defined in Article 2 of Regulation (EC) No 322/97, shall mean national statistical institutes and other bodies responsible in each Member State for producing Community statistics.","""einzelstaatliche Stellen"" gemäß der Definition in Artikel 2 der Verordnung (EG) Nr. 322/97 die nationalen statistischen Ämter und sonstige Einrichtungen, die in den einzelnen Mitgliedstaaten mit der Erstellung der Gemeinschaftsstatistiken beauftragt sind.",Administrative Law,"['responsible', 'regulation', 'article', 'state']","{'responsible': 'A person or body who can be held accountable for carrying out a duty is considered responsible.', 'regulation': 'A regulation is a rule made and maintained by an authority , typically a governmental agency , to control or govern conduct within its jurisdiction .', 'article': ""An article is a legal rule that can be set out under a statute , a code , or a paragraph in a legal document. Articles usually refer to matters that have been agreed upon by the supervising authority. For example, in contracts , an article under the UCC can set out a list of contractual obligations between parties. It can regulate the parties' conduct, duties, expectations, measure of damages in breach cases, and how to resolve conflicts. Under the Constitution of the United States , there are seven articles which describe the way the government is structured and how it operates. These articles establish the relationship of the states in rapport to the Federal Government and hold that the Constitution is the supreme law of the land."", 'state': 'A state is a political division of a body of people that occupies a territory defined by frontiers. The state is sovereign in its territory (also referred to as jurisdiction ) and has the authority to enforce a system of rules over the people living inside it. That system of rules is commonly composed of a constitution , statutes , regulations , and common law .'}",3,"""nationale Behörden"" im Sinne des Artikels 2 der Verordnung (EG) Nr. 322/97 bezeichnen die nationalen Statistikinstitute und andere für die Erstellung von Gemeinschaftsstatistiken in jedem Mitgliedstaat verantwortlichen Stellen.",0.24782064389069947,0.4807550725918072,0.8744096755981445
every third working day;,"jeden dritten Arbeitstag,",Administrative Law,[],{},1,jeden dritten Arbeitstag;,0.3976353643835253,0.7361111111111112,0.9850100874900818
Workers and unemployed workers whose families reside in a Member State other than the competent State,"Arbeitnehmer und Arbeitslose, deren Familienangehörige in einem anderen als dem zuständigen Migliedstaat wohnen",Administrative Law,"['competent', 'state']","{'competent': 'The term competent is used in various legal contexts, including procedure , evidence , and employment . More generally, it refers to the ability to act in the circumstances, including the ability to perform a job or occupation, the capacity to reason, or to make decisions.', 'state': 'A state is a political division of a body of people that occupies a territory defined by frontiers. The state is sovereign in its territory (also referred to as jurisdiction ) and has the authority to enforce a system of rules over the people living inside it. That system of rules is commonly composed of a constitution , statutes , regulations , and common law .'}",3,"Arbeiter und arbeitslose Arbeiter, deren Familien in einem anderen Mitgliedstaat als dem zuständigen Staat wohnen",0.1318477811118863,0.7382726108718426,0.8127729296684265
This Directive concerns the methods of testing the biodegradability of anionic surfactants.,Diese Richtlinie betrifft die Methoden zur Kontrolle der biologischen Abbaubarkeit anionischer grenzflächenaktiver Substanzen.,Administrative Law,[],{},3,Diese Richtlinie betrifft die Prüfmethode für die biologische Abbaubarkeit anionischer Tenside.,0.22179945921983915,0.4599230996746525,0.8047996759414673
"Α.Ε.""), established and operating pursuant to Legislative Decree No 768/1970 (Α'273), Law No 588/1977 (Α'148) and Law No 2669/1998 (Α'283).","Α.Ε.), errichtet und betrieben gemäß Gesetzesdekret 768/1970 (A' Nr. 273), Gesetz 588/1977 (A' Nr. 148) und Gesetz 2669/1998 (A' Nr. 283)",Administrative Law,"['decree', 'law']","{'decree': 'A decree is an order handed down by a judge that resolves the issues in a court case . Though a decree is similar to a judgment , it differs in a few key ways:', 'law': 'Law refers to a system of rules that regulate the conduct of a community and is often enforced by a controlling authority through penalties.'}",3,"A.E.""), gegründet und tätig gemäß dem Gesetzesdekret Nr. 768/1970 (Α'273), dem Gesetz Nr. 588/1977 (Α'148) und dem Gesetz Nr. 2669/1998 (Α'283).",0.034545465041378766,0.5288021680216801,0.8590452075004578
"If a derogation was granted for an airport in year N but the airport changes category in year N, then the derogation is no longer valid for that year.","Wurde einem Flughafen im Jahr N eine Ausnahmeregelung gewährt und wechselt dieser Flughafen im Jahr N die Klasse, dann verliert die Ausnahmeregelung für dieses Jahr ihre Gültigkeit.",Administrative Law,[],{},0,"Wurde für einen Flughafen in Jahr N eine Abweichung gewährt, aber der Flughafen wechselt in Jahr N die Kategorie, dann ist die Abweichung für dieses Jahr nicht mehr gültig.",0.08135143512754084,0.5442316605570303,0.7960005402565002
""" RECEPTION PAR TYPE "" IN FRENCH LAW ;","reception par type im französischen Recht,",Administrative Law,"['law', 'par']","{'law': 'Law refers to a system of rules that regulate the conduct of a community and is often enforced by a controlling authority through penalties.', 'par': 'Par, also referred to as par value or nominal value, is the face value of a bond or the stock value stated in the corporate charter and noted in the stock certificate . Each share of stock receives a par value, representing the amount of capital that each shareholder contributes.'}",1,""" REZEPTION PAR TYPE "" IM FRANZÖSISCHEN RECHT ;",0.14923729480049117,0.6722222222222223,0.5149682760238647
Delete one of these as appropriate.,"Nichtzutreffendes bitte streichen. (6) Nichtzutreffendes bitte streichen.""",Administrative Law,[],{},0,"Streichen Sie eines davon, wie angebracht.",0.020034704329441457,0.08620689655172413,0.38520947098731995
