source,reference,category,retrieved_examples,translation,BLEU,METEOR,COMET
"The application shall show that the applicant exists as a legal person and has the financial and operational capacity to complete the proposed action or work programme, subject to Article 176(4).","Der Antrag dient dem Nachweis der rechtlichen Existenz des Antragstellers sowie seiner finanziellen und operativen Fähigkeit, die vorgeschlagene Maßnahme bzw. das vorgeschlagene Arbeitsprogramm vorbehaltlich des Artikels 176 Absatz 4 vollständig durchzuführen.",Legal Theory & Latin Terms,3,"Der Antrag muss nachweisen, dass der Antragsteller als rechtliche Person existiert und über die finanziellen und operativen Kapazitäten verfügt, um die vorgeschlagene Maßnahme oder das Arbeitsprogramm abzuschließen, vorbehaltlich des Artikels 176 Absatz 4.",0.2155230527617227,0.5201166180758017,0.4325895309448242
Article I,Artikel I,Legal Theory & Latin Terms,3,ARTIKEL I,0.1495348781221221,0.9375,0.9493195414543152
I. All persons having completed their compulsory education (having reached school-leaving age) who carried out farm work on the holding under survey during the 12 months up to the survey day.,"I. Alle Personen ab Ende des schulpflichtigen Alters, die in den letzten zwölf Monaten vor dem Tag der Erhebung landwirtschaftliche Arbeiten innerhalb des befragten landwirtschaftlichen Betriebs verrichtet haben.",Legal Theory & Latin Terms,1,"I. Alle Personen, die ihre Schulpflicht erfüllt haben (das Schulalter erreicht haben), die in den letzten 12 Monaten bis zum Erhebungsstag auf dem unter Untersuchung stehenden Betrieb Landarbeitszeiten geleistet haben.",0.15206861774588476,0.40527694247744683,0.2784807085990906
"""- the third and fourth paragraphs of Article 6 shall apply from 1 January 2003,"".","""- gilt Artikel 6 Unterabsätze 3 und 4 erst ab 1. Januar 2003,"".",Legal Theory & Latin Terms,3,"- der dritte und vierte Absatz des Artikels 6 finden ab dem 1. Januar 2003 Anwendung,",0.164670298558459,0.41333333333333333,0.6419610381126404
Article 28(5) shall apply.,Es gilt Artikel 28 Absatz 5.,Legal Theory & Latin Terms,3,Artikel 28 Absatz 5 findet Anwendung.,0.4347208719449914,0.6914285714285714,0.7878665328025818
It shall be granted only if the official's spouse engages in a gainful activity at least half-time.,"Die Dienstbefreiung wird nur gewährt, wenn der Ehegatte des Beamten zumindest halbzeitlich erwerbstätig ist.",Legal Theory & Latin Terms,3,"Es wird nur gewährt, wenn der Ehegatte des Bediensteten mindestens halbtags eine erwerbsmäßige Tätigkeit ausübt.",0.42649937722961534,0.555938961736063,0.6331817507743835
the structure in which it is presented shall be the same as that of the budget itself;,diese Rechnung folgt der Gliederung des Haushaltsplans;,Legal Theory & Latin Terms,3,"Die Gliederung, in der es vorgelegt wird, soll derselbe sein wie die des Haushaltsplans selbst;",0.02872495348091206,0.41333333333333333,0.0380060151219368
"Where the difference established in accordance with paragraph 3 of this Article is more than 20 %, the farmer shall be excluded once again from receiving aid up to an amount corresponding to the difference between the number of animals declared and the number of animals determined in accordance with Article 57(3).","Beläuft sich die gemäß Absatz 3 dieses Artikels bestimmte Differenz auf mehr als 20 %, so ist der Betriebsinhaber ein weiteres Mal bis zur Höhe eines Betrags, der der Differenz zwischen der angegebenen Zahl der Tiere und der gemäß Artikel 57 Absatz 3 ermittelten entspricht, von der Beihilfegewährung auszuschließen.",Legal Theory & Latin Terms,3,"Beträgt die nach Absatz 3 dieses Artikels festgestellte Differenz mehr als 20 %, so ist der Betriebsinhaber darüber hinaus ein weiteres Mal bis zur Höhe eines Betrags, der der Differenz zwischen der angegebenen Zahl der Tiere und der gemäß Artikel 57 Absatz 3 ermittelten entspricht, von der Beihilfegewährung auszuschließen.",0.8119662983055583,0.905148552148847,0.7721956372261047
"For the purposes of applying the first subparagraph to ""cooperative groups"", the competent authorities must take into account the public financial commitment of these groups with respect to other financial entities.",Für die Zwecke der Anwendung des Unterabsatzes 1 auf genossenschaftlich organisierte Unternehmensgruppen berücksichtigen die zuständigen Behörden die öffentlichen finanziellen Verpflichtungen dieser Gruppen gegenüber anderen Finanzunternehmen.,Legal Theory & Latin Terms,3,"Zu den Zwecken der Anwendung des ersten Unterabsatzes auf ""Genossenschaftsgruppen"" müssen die zuständigen Behörden die öffentliche finanzielle Verpflichtung dieser Gruppen gegenüber anderen Finanzinstituten berücksichtigen.",0.2310325762059593,0.5455087271179224,0.7394984364509583
"This includes the target company in the case of a contested bid, in which case the details should be completed as far as is possible.","Bei einem feindlichen Übernahmeangebot gehört hierzu auch das Unternehmen, das übernommen werden soll; hierzu sind Angaben im Bereich des Möglichen zu machen.",Legal Theory & Latin Terms,3,"Dazu gehört auch das Zielunternehmen im Falle eines umstrittenen Angebots, in dem Fall sollten die Angaben soweit wie möglich vervollständigt werden.",0.02270689791022924,0.16129032258064516,0.3036060333251953
a regulated entity within the meaning of Article 1 is at the head of the group or at least one of the subsidiaries in the group is a regulated entity within the meaning of Article 1;,"An der Spitze der Gruppe steht ein beaufsichtigtes Unternehmen im Sinne des Artikels 1 oder mindestens eines der Tochterunternehmen in der Gruppe ist ein beaufsichtigtes Unternehmen im Sinne des Artikels 1,",Legal Theory & Latin Terms,3,Ein beaufsichtigtes Unternehmen im Sinne des Artikels 1 steht an der Spitze der Gruppe oder mindestens eines der Tochterunternehmen in der Gruppe ist ein beaufsichtigtes Unternehmen im Sinne des Artikels 1;,0.7697874756436952,0.9677094172736733,0.8033216595649719
QUALIFICATION FOR SUBSIDIARY PROTECTION,VORAUSSETZUNGEN FÜR DEN ANSPRUCH AUF SUBSIDIÄREN SCHUTZ,Legal Theory & Latin Terms,3,VORAUSSETZUNGEN FÜR SUBSIDIÄREN SCHUTZ,0.11350077445815965,0.5597014925373134,0.754996120929718
Article 4 is replaced by the following:,2. Artikel 4 erhält folgende Fassung:,Legal Theory & Latin Terms,3,Artikel 4 erhält folgende Fassung:,0.7165313105737893,0.7674501424501425,0.9682669639587402
"A bank is exposed to liquidity risk and to risks arising from currency fluctuations, interest rate movements, changes in market prices and from counterparty failure.","Eine Bank ist einem Liquiditätsrisiko und anderen Risiken ausgesetzt, die sich aus Währungsschwankungen, Zinsänderungen, Veränderungen der Marktpreise oder aus Adressenausfällen ergeben.",Legal Theory & Latin Terms,3,"Eine Bank ist sowohl dem Liquiditätsrisiko als auch den Risiken aus Währungsschwankungen, Zinsänderungen, Veränderungen der Marktpreise und aus Kontrahentenausfällen ausgesetzt.",0.36523734693334364,0.6497655988391563,0.7754404544830322
«lease» shall mean lease or similar types of temporary transactions;,"""Pacht"": Pacht oder ähnliche Arten von befristeten Geschäften.",Legal Theory & Latin Terms,3,«Leasing» bedeutet Leasing oder vergleichbare Arten von zeitlich begrenzten Transaktionen;,0.036362270465000714,0.21120293847566576,0.15333861112594604
the grouping of single consignments;,"die Zusammenfassung von Einzelladungen,",Legal Theory & Latin Terms,3,die Gruppierung von Einzelsendungen;,0.06389431042462725,0.20000000000000004,0.12121566385030746
"Reinforcement and extension of the scope of the RAPEX alert system, taking developments in market surveillance information exchange into account",Ausbau und Erweiterung des Anwendungsbereichs des RAPEX-Warnsystems unter Berücksichtigung der Entwicklung des Informationsaustauschs im Rahmen der Marktüberwachung,Legal Theory & Latin Terms,1,Verstärkung und Erweiterung des Anwendungsbereichs des RAPEX-Warnsystems unter Berücksichtigung der Entwicklungen im Informationsaustausch der Marktaufsicht,0.5072138296175707,0.6084656084656086,0.7212780117988586
A third party who may avail himself of the provisions of paragraph 6 may bring third party proceedings against the decision re-establishing the rights of the applicant for or holder of the registered Community design within a period of two months as from the date of publication of the mention of re-establishment of those rights.,"Dritte, die sich auf Absatz 6 berufen können, können gegen die Entscheidung über die Wiedereinsetzung des Anmelders oder des Inhabers des eingetragenen Gemeinschaftsgeschmacksmusters in den vorigen Stand binnen zwei Monaten nach dem Zeitpunkt der Bekanntmachung des Hinweises auf die Wiedereinsetzung in den vorigen Stand Drittwiderspruch einlegen.",Legal Theory & Latin Terms,3,"Ein Dritter, der die Vorschriften des Absatzes 6 in Anspruch nehmen kann, kann innerhalb einer Frist von zwei Monaten ab dem Tag der Veröffentlichung der Erwähnung der Wiederherstellung dieser Rechte Drittwiderspruchsverfahren gegen die Entscheidung einleiten, mit der die Rechte des Anmelders oder Inhabers des eingetragenen Gemeinschaftsgeschmacksmusters wiederhergestellt werden.",0.10202539004422301,0.33503069437148436,0.353511780500412
"For bluefin tuna this tolerance limit is set at 10 % of the number of fish per landing of the total bluefin tuna catches or their equivalent in percentage in weight.""","Im Fall von Rotem Thun wird diese Obergrenze auf einen zahlenmäßigen Anteil von 10 % der angelandeten Gesamtmengen an Rotem Thun oder einen äquivalenten Anteil in Gewicht festgesetzt.""",Legal Theory & Latin Terms,1,Für Roten Thun wird diese Toleranzgrenze auf 10 % der Anzahl der Fische pro Landung der gesamten Roten Thun-Fänge oder ihrem Äquivalent in Prozenten des Gewichts festgelegt.,0.05914154616347215,0.26804037938876246,0.10445179790258408
These provide a basis for selecting and applying accounting policies in the absence of explicit guidance.,"Diese bilden eine Basis zur Auswahl und Anwendung von Bilanzierungs- und Bewertungsmethoden, falls keine expliziten Anwendungsleitlinien vorhanden sind.",Legal Theory & Latin Terms,3,Diese bilden eine Grundlage für die Auswahl und die Anwendung von Bilanzierungs- und Bewertungsmethoden in Ermangelung ausdrücklicher Richtlinien.,0.2706380285588004,0.5394742306574194,0.6660434603691101
