source,translation,target,legal_entity,BLEU,METEOR,COMET,term
Measures decided on by the Commission may be referred to the Council by any Member State within a week from the date on which they were notified.,"Die von der Kommission beschlossenen Maßnahmen können von jedem Mitgliedstaat innerhalb einer Woche ab dem Datum, an dem sie ihm mitgeteilt wurden, an den Rat verwiesen werden.","Jeder Mitgliedstaat kann den Rat innerhalb einer Woche ab dem Zeitpunkt, zu dem ihm der Beschluss der Kommission mitgeteilt worden ist, mit diesem Beschluss befassen.","member, commission, state",0.17202650214787163,0.49811613475177297,0.8595609068870544,commission
New Zealand has sent the Commission information relating to the new issuing body.,Neuseeland hat der Kommission Informationen über die neue lizenzerteilende Stelle übermittelt.,Neuseeland hat der Kommission die Angaben über die neue lizenzerteilende Stelle übermittelt.,"commission, information",0.6761304462994481,0.8501505541674674,0.949050784111023,commission
"After consulting the Commission,",nach Anhörung der Kommission,nach Anhörung der Kommission -,commission,0.7788007830714052,0.8099489795918368,0.9228280186653137,commission
"France and each of the other Member States or the competent authorities of France and each of the other Member States may, having received the Opinion of the Administrative Commission, agree to introduce other methods of determining the lump-sum.",FRANKREICH UND JEDER DER ANDEREN MITGLIEDSTAATEN ODER DIE ZUSTÄNDIGEN BEHÖRDEN FRANKREICHS UND JEDER DER ANDEREN MITGLIEDSTAATEN KÖNNEN NACH STELLUNGNAHME DER VERWALTUNGSKOMMISSION ANDERE VERFAHREN FÜR DIE FESTSETZUNG DIESES PAUSCHBETRAGS VEREINBAREN.,FRANKREICH UND JEDER DER ANDEREN MITGLIEDSTAATEN ODER DIE ZUSTÄNDIGEN BEHÖRDEN FRANKREICHS UND JEDER DER ANDEREN MITGLIEDSTAATEN KÖNNEN NACH STELLUNGNAHME DER VERWALTUNGSKOMMISSION ANDERE VERFAHREN FÜR DIE FESTSETZUNG DIESES PAUSCHBETRAGS VEREINBAREN.,"member, commission, opinion, competent",1.0000000000000004,0.9999814814814815,0.8889893293380737,commission
"On application by a Member State, by the Commission or by an organisation set up at Community level and registered by the Commission, a compulsory licence may be granted, either to a category of persons satisfying specific requirements, or to anyone in one or more Member States or throughout the Community.","Auf Antrag eines Mitgliedstaats, der Kommission oder einer auf Gemeinschaftsebene arbeitenden Organisation, die von der Kommission registriert ist, kann eine Zwangslizenz entweder einer Gruppe von Personen, die bestimmte Voraussetzungen erfüllen, oder einem Einzelnen innerhalb eines oder mehrerer Mitgliedstaaten oder gemeinschaftsweit gewährt werden.","Auf Antrag eines Mitgliedstaats, der Kommission oder einer auf Gemeinschaftsebene arbeitenden Organisation, die von der Kommission registriert ist, kann eine Zwangslizenz entweder einer Gruppe von Personen, die bestimmte Voraussetzungen erfuellen, oder einem Einzelnen innerhalb eines oder mehrerer Mitgliedstaaten oder gemeinschaftsweit gewährt werden.","member, set, commission, state",0.9452861848260069,0.9791289422061265,0.9197881817817688,commission
"The Member States shall give notification of any anomalies or cases of fraud which they discover and, where relevant, the basis on which they have refused to grant a surveillance document.","Die Mitgliedstaaten teilen alle festgestellten Unregelmäßigkeiten und Betrugsfälle sowie gegebenenfalls die Gründe mit, aus denen sie die Ausstellung eines Überwachungsdokuments abgelehnt haben.","Die Mitgliedstaaten teilen alle festgestellten Unregelmäßigkeiten und Betrugsfälle sowie gegebenenfalls die Gründe mit, aus denen sie die Ausstellung eines Überwachungsdokuments abgelehnt haben.","fraud, document, member, grant, surveillance, relevant",1.0000000000000004,0.9999638310185185,0.948923647403717,grant
the effect of differences between actual and previously assumed salary increases on the obligation to pay benefits for service in prior years (there is no past service cost because actuarial assumptions allow for projected salaries);,"die Auswirkungen von Unterschieden zwischen tatsächlichen und ursprünglich angenommenen Gehaltssteigerungen auf die Verpflichtung zur Zahlung von Leistungen für in früheren Jahren geleistete Dienste (es entstehen keine Kosten für vergangene Dienstzeiten, da die versicherungsmathematischen Annahmen die projizierten Gehälter berücksichtigen);","die Auswirkungen von Unterschieden zwischen tatsächlichen und ursprünglich angenommenen Gehaltssteigerungen auf die Höhe der in früheren Jahren erdienten Leistungen (nachzuverrechnender Dienstzeitaufwand entsteht nicht, da die Gehaltsentwicklung über die versicherungsmathematischen Annahmen berücksichtigt ist);","obligation, service",0.37416241283362434,0.6612021857923497,0.8772812485694885,grant
disclosure - Service concession arrangements.,Angabe - Vereinbarungen über Dienstleistungskonzessionen.,Angabe - Vereinbarungen von Dienstleistungslizenzen.,"service, disclosure",0.32466791547509904,0.625,0.8757029175758362,grant
For service contracts:,Bei Dienstleistungsaufträgen:,Bei Dienstleistungsaufträgen:,service,0.0,0.9814814814814815,0.9826387166976929,grant
Service contracts shall comprise study and technical assistance contracts.,Dienstleistungsaufträge umfassen Studienverträge und Verträge für technische Hilfe.,Dienstleistungsaufträge umfassen Studienverträge und Verträge für technische Hilfe.,service,1.0000000000000004,0.9993141289437586,0.9766990542411804,grant
