source,target,language_pair,legal_category,translation,reference,bleu,meteor,comet
A design shall be considered to be new if no identical design has been made available to the public:,"Ein Geschmacksmuster gilt als neu, wenn der Öffentlichkeit:",en-de,Intellectual Property (IP),"Ein Design gilt als neu, wenn kein identisches Design der Öffentlichkeit zugänglich gemacht wurde: 

Alternatively, in a more formal and technical translation, often used in legal contexts:

Ein Design gilt als neu, wenn es nicht bereits der Öffentlichkeit zugänglich gemacht worden ist, d.h. wenn kein identisches Design öffentlich zugänglich gemacht worden ist. 

However, the most common way to translate this sentence in the context of patent and design law in Germany would be:

Ein Design gilt als neu, wenn es der Öffentlichkeit nicht bereits zugänglich gemacht worden ist, d.h. wenn ein identisches Design nicht bereits öffentlich zugänglich gemacht worden ist, oder kürzer:

Ein Design gilt als neu, wenn es vorher nicht öffentlich zugänglich gemacht wurde.","Ein Geschmacksmuster gilt als neu, wenn der Öffentlichkeit:",0.03130310075352384,0.3893637226970561,[0.5014216899871826]
make public the fact that an issuer is failing to comply with its obligations.,"den Umstand bekannt zu machen, dass ein Emittent seinen Verpflichtungen nicht nachkommt.",en-de,Intellectual Property (IP),"Die Tatsache öffentlich machen, dass ein Emittent seinen Verpflichtungen nicht nachkommt.

Alternatively, a more formal translation could be:

Öffentliche Bekanntmachung der Tatsache, dass ein Emittent seinen Verpflichtungen nicht nachkommt.

In the context of financial regulations, a more common translation might be:

Veröffentlichung der Nichtveröffentlichung durch einen Emittenten.

However, the most suitable translation would depend on the specific context and the relevant regulatory framework, such as the EU's Market Abuse Regulation (MAR) or the Transparency Directive.","den Umstand bekannt zu machen, dass ein Emittent seinen Verpflichtungen nicht nachkommt.",0.09521360830382836,0.4481481481481482,[0.4032636284828186]
"Should such a case arise, the actor in question must refrain from such measures and refer the matter to the competent authority.","Tritt dieser Fall ein, hat der betreffende Handlungsträger von dieser Handlung abzusehen und die zuständige Stelle zu befassen.",en-de,Intellectual Property (IP),"Sollte ein solcher Fall eintreten, muss der betreffende Akteur von solchen Maßnahmen absehen und die Angelegenheit der zuständigen Behörde vorlegen.

(Note: I've used the formal German language, which is commonly used in official and professional contexts.)","Tritt dieser Fall ein, hat der betreffende Handlungsträger von dieser Handlung abzusehen und die zuständige Stelle zu befassen.",4.658649736415629e-155,0.26069223985890655,[0.5838257670402527]
"On the expiry of the 10-year period, the findings of all or part of the evaluation conducted on the basis of the scientific data and information contained in the application dossier may be used by the Authority for the benefit of another applicant.",Nach Ablauf des Zeitraums von zehn Jahren darf die Behörde alle oder einen Teil der Ergebnisse der aufgrund der wissenschaftlichen Daten und sonstigen Informationen in den Antragsunterlagen durchgeführten Bewertung zugunsten eines anderen Antragstellers verwenden.,en-de,Intellectual Property (IP),"Mit dem Ablauf der 10-Jahres-Frist können die Ergebnisse der gesamten oder eines Teils der Bewertung, die auf der Grundlage der in der Antragsakte enthaltenen wissenschaftlichen Daten und Informationen durchgeführt wurde, von der Behörde zugunsten eines anderen Antragstellers verwendet werden.

Alternatively, a more formal and official translation could be:

Nach Ablauf der Zehnjahresfrist können die Ergebnisse der gesamten oder eines Teils der auf Grund der in der Antragsunterlage enthaltenen wissenschaftlichen Daten und Informationen durchgeführten Bewertung durch die zuständige Behörde zum Vorteil eines anderen Antragstellers verwendet werden.

Note: The second translation is more formal and uses more technical vocabulary, which is often used in official documents and legal texts.",Nach Ablauf des Zeitraums von zehn Jahren darf die Behörde alle oder einen Teil der Ergebnisse der aufgrund der wissenschaftlichen Daten und sonstigen Informationen in den Antragsunterlagen durchgeführten Bewertung zugunsten eines anderen Antragstellers verwenden.,0.041867179029823225,0.4438177360427019,[0.6614423990249634]
"DILUTION IS CARRIED OUT USING THE PHOSPHATE BUFFER SOLUTION, PH 5.5, DILUTED TO 1/10 ( 4.3 ), TO WHICH 0.01 % OF AMIDO BLACK HAS BEEN ADDED.","Die Verdünnung erfolgt mit Phosphatpuffer pH 5,5, der auf 1/10 (4.3) verdünnt ist und einen Zusatz von 0,01 v.H. Amidoschwarz enthält.",en-de,Intellectual Property (IP),"Die Verdünnung wird mit der Phosphatpufferlösung, pH 5,5, verdünnt auf 1/10 (4,3), der 0,01 % Amido Black zugefügt wurden, durchgeführt.

Alternatively, a more formal translation:
Die Verdünnung erfolgt mit der Phosphatpufferlösung mit einem pH-Wert von 5,5, die auf 1/10 (4,3) verdünnt und mit 0,01 % Amido Black angereichert wurde.","Die Verdünnung erfolgt mit Phosphatpuffer pH 5,5, der auf 1/10 (4.3) verdünnt ist und einen Zusatz von 0,01 v.H. Amidoschwarz enthält.",0.08340893093922369,0.49356648314981655,[0.7010313868522644]
"9 Port facility is a location, as determined by the Contracting Government or by the Designated Authority, where the ship/port interface takes place.","9 Der Ausdruck 'Hafenanlage' bezeichnet eine von der Vertragsregierung oder von der zuständigen Behörde bestimmte Örtlichkeit, in der das Zusammenwirken von Schiff und Hafen stattfindet.",en-de,Intellectual Property (IP),"9 Eine Hafeneinrichtung ist ein Ort, der von der vertragschließenden Regierung oder der benannten Behörde bestimmt wird, an dem der Schiff-Hafen-Übergang stattfindet.

Alternatively, a more official translation could be:

9 Eine Hafeneinrichtung ist eine vom vertragschließenden Staat oder der zuständigen Behörde festgelegte Örtlichkeit, an der der Übergang zwischen Schiff und Hafen stattfindet.

Note: In German, official documents and technical texts often use more formal language, which is why the second translation is provided.","9 Der Ausdruck 'Hafenanlage' bezeichnet eine von der Vertragsregierung oder von der zuständigen Behörde bestimmte Örtlichkeit, in der das Zusammenwirken von Schiff und Hafen stattfindet.",0.06857422794682369,0.4263537132304446,[0.64899080991745]
"The Appointing Authority shall submit a report to the Board, stating clearly the facts complained of and, where appropriate, the circumstances in which they arose, including any aggravating or extenuating circumstances.","Der Disziplinarrat wird durch einen Bericht der Anstellungsbehörde befasst, in dem die zur Last gelegten Handlungen und gegebenenfalls die Tatumstände, darunter auch etwaige erschwerende oder mildernde Umstände, eindeutig anzugeben sind.",en-de,Intellectual Property (IP),"Die Ernennungsbehörde legt dem Verwaltungsrat einen Bericht vor, in dem sie die beanstandeten Tatsachen klar darlegt und gegebenenfalls die Umstände, unter denen sie entstanden sind, einschließlich etwaiger erschwerender oder mildernder Umstände, aufführt. 

Alternativ könnte man auch diese Übersetzung verwenden:
Die Ernennungsbehörde übermittelt dem Aufsichtsrat einen Bericht, in dem die beschwerten Tatsachen deutlich dargelegt und erforderlichenfalls die Umstände, unter denen sie auftraten, einschließlich etwaiger verschärfender oder entschärfender Umstände, angegeben werden.","Der Disziplinarrat wird durch einen Bericht der Anstellungsbehörde befasst, in dem die zur Last gelegten Handlungen und gegebenenfalls die Tatumstände, darunter auch etwaige erschwerende oder mildernde Umstände, eindeutig anzugeben sind.",0.05454553650737708,0.37112654830422115,[0.7588325142860413]
"While the assets are retained by the joint venture, and provided the venturer has transferred the significant risks and rewards of ownership, the venturer should recognise only that portion of the gain or loss which is attributable to the interests of the other venturers(41).","Die Vermögenswerte verbleiben beim Joint Venture, und unter der Voraussetzung, dass das Partnerunternehmen die wesentlichen Risiken und Chancen übertragen hat, hat das Partnerunternehmen lediglich den Anteil des Gewinnes oder Verlustes zu erfassen, welcher der Anteilsquote der anderen Partnerunternehmen entspricht(41).",en-de,Intellectual Property (IP),"Solange die Vermögenswerte vom Joint Venture gehalten werden und vorausgesetzt, der Venture-Partner hat die wesentlichen Risiken und Chancen des Eigentums übertragen, sollte der Venture-Partner nur den Teil des Gewinns oder Verlusts anerkennen, der den Interessen der anderen Venture-Partner zuzurechnen ist (41).

 Alternatively, a more formal translation could be:

 Solange die Vermögenswerte beim Joint Venture verbleiben und unter der Voraussetzung, dass der beteiligte Unternehmen die wesentlichen Risiken und Vorteile des Eigentums übertragen hat, sollte das beteiligte Unternehmen nur den Teil des Gewinns oder Verlusts anerkennen, der den Anteilen der anderen beteiligten Unternehmen zuzurechnen ist (41).","Die Vermögenswerte verbleiben beim Joint Venture, und unter der Voraussetzung, dass das Partnerunternehmen die wesentlichen Risiken und Chancen übertragen hat, hat das Partnerunternehmen lediglich den Anteil des Gewinnes oder Verlustes zu erfassen, welcher der Anteilsquote der anderen Partnerunternehmen entspricht(41).",0.1302569859861453,0.6198414359117435,[0.7612687945365906]
The competent authority shall apply at least the measures provided for in Articles 4 and 5(1) to premises or means of transport referred to in Article 16 should the presence of animals of susceptible species give reason to suspect infection or contamination with the foot-and-mouth disease virus.,"Die zuständige Behörde wendet bei Einrichtungen oder Transportmitteln im Sinne von Artikel 16 zumindest die Maßnahmen nach Artikel 4 und Artikel 5 Absatz 1 an, wenn die Anwesenheit von Tieren empfänglicher Arten eine Infektion oder Kontamination mit dem MKS-Virus vermuten lässt.",en-de,Intellectual Property (IP),"Die zuständige Behörde wendet mindestens die in den Artikeln 4 und 5 Absatz 1 vorgesehenen Maßnahmen auf die in Artikel 16 genannten Betriebe oder Transportmittel an, wenn das Vorhandensein von Tieren empfindlicher Arten Anlass zu dem Verdacht gibt, dass sie mit dem Virus der Maul- und Klauenseuche infiziert oder kontaminiert sind.","Die zuständige Behörde wendet bei Einrichtungen oder Transportmitteln im Sinne von Artikel 16 zumindest die Maßnahmen nach Artikel 4 und Artikel 5 Absatz 1 an, wenn die Anwesenheit von Tieren empfänglicher Arten eine Infektion oder Kontamination mit dem MKS-Virus vermuten lässt.",0.1097204004517191,0.46109750566893426,[0.8251557946205139]
"Farmers who give notice to the competent national authorities at any time of incorrect aid applications should not be subject to any reductions or exclusions irrespective of the reason of the incorrectness, provided that the farmer has not been informed of the competent authority's intention to carry out an on-the-spot check and the authority has not already informed the farmer of any irregularity in the application.","Bei Betriebsinhabern, die den zuständigen einzelstaatlichen Behörden fehlerhafte Beihilfeanträge melden, sollten unabhängig von den Gründen für die Fehler keine Kürzungen und Ausschlüsse angewendet werden, es sei denn, dem Betriebsinhaber ist bereits zur Kenntnis gelangt, dass die zuständige Behörde eine Vor-Ort-Kontrolle plant, oder die Behörde hat ihn bereits über Unregelmäßigkeiten bezüglich seines Beihilfeantrags unterrichtet.",en-de,Intellectual Property (IP),"Bauern, die den zuständigen nationalen Behörden zu jedem Zeitpunkt eine falsche Beihilfeantragstellung melden, sollten nicht mit Kürzungen oder Ausschlüssen belegt werden, unabhängig vom Grund der Falschheit, vorausgesetzt, der Bauer wurde nicht über die Absicht der zuständigen Behörde, eine Vor-Ort-Kontrolle durchzuführen, informiert und die Behörde hat dem Bauer noch keine Unregelmäßigkeit in dem Antrag mitgeteilt.

Alternatively, a more formal translation:

 Landwirte, die jederzeit gegenüber den zuständigen nationalen Behörden eine fehlerhafte Beihilfeantragstellung melden, sollten unabhängig vom Grund des Fehlers nicht sanktioniert werden, sofern der Landwirt von der zuständigen Behörde nicht darüber informiert wurde, dass eine Vor-Ort-Kontrolle durchgeführt werden soll, und die Behörde dem Landwirt noch keine Unregelmäßigkeit in dem Antrag mitgeteilt hat. 

Note: The translation is made in a formal and official style, suitable for government or administrative texts.","Bei Betriebsinhabern, die den zuständigen einzelstaatlichen Behörden fehlerhafte Beihilfeanträge melden, sollten unabhängig von den Gründen für die Fehler keine Kürzungen und Ausschlüsse angewendet werden, es sei denn, dem Betriebsinhaber ist bereits zur Kenntnis gelangt, dass die zuständige Behörde eine Vor-Ort-Kontrolle plant, oder die Behörde hat ihn bereits über Unregelmäßigkeiten bezüglich seines Beihilfeantrags unterrichtet.",0.05371824422544463,0.34185312780574406,[0.6813763976097107]
"The certificate shall be accompanied by an identification of the actual disclosure of the product, duly certified by that authority.",Der Bescheinigung ist eine von der genannten Stelle beglaubigte Darstellung über die tatsächliche Offenbarung des Erzeugnisses beizufügen.,en-de,Intellectual Property (IP),"Das Zertifikat ist von einer Identifizierung der tatsächlichen Offenlegung des Produkts zu begleiten, die ordnungsgemäß von dieser Behörde zertifiziert wurde.

Alternatively, a more formal translation could be:
Das Zertifikat muss von einer Identifizierung der tatsächlichen Offenlegung des Produkts begleitet sein, die von der zuständigen Behörde ordnungsgemäß beglaubigt wurde.

Note: The translation is in formal, official language, suitable for legal or administrative documents.",Der Bescheinigung ist eine von der genannten Stelle beglaubigte Darstellung über die tatsächliche Offenbarung des Erzeugnisses beizufügen.,2.760974000585268e-155,0.22736378205128205,[0.5049026012420654]
is approved and verified by the competent authority.,die von der zuständigen Behörde genehmigt und verifiziert wurde.,en-de,Intellectual Property (IP),"wird von der zuständigen Behörde genehmigt und verifiziert.

Alternatively, a more common translation would be:

wird von der zuständigen Behörde zugelassen und überprüft.

Both translations convey the same meaning, but the second one is more commonly used in German. 

""Genehmigt"" implies a more formal approval, whereas ""zugelassen"" is more often used in the context of official permits or licenses. ""Verifiziert"" and ""überprüft"" both mean ""verified"", but ""überprüft"" is a more general term that can also imply a more thorough examination or inspection.",die von der zuständigen Behörde genehmigt und verifiziert wurde.,0.054308746739342974,0.3620328608247423,[0.37594908475875854]
An official elected or appointed to public office shall immediately inform the Appointing Authority.,"Ein Beamter, der in ein öffentliches Amt gewählt oder ernannt wurde, setzt seine Anstellungsbehörde unverzüglich hiervon in Kenntnis.",en-de,Intellectual Property (IP),"Ein in ein öffentliches Amt gewählter oder ernannter Amtsträger hat die Ernennungsbehörde sofort zu informieren. 

Alternatively, a more formal translation would be:
 Eine in ein öffentliches Amt gewählte oder von der zuständigen Stelle ernannte Person hat die Ernennungsbehörde unverzüglich zu unterrichten.","Ein Beamter, der in ein öffentliches Amt gewählt oder ernannt wurde, setzt seine Anstellungsbehörde unverzüglich hiervon in Kenntnis.",0.06554510293342969,0.46338441308855505,[0.7591032385826111]
"the arrangements for forwarding positions adopted by an independent authority that is competent in the activity concerned, regarding questions relevant to paragraphs 1 and 2.",die Einzelheiten der Übermittlung etwaiger Stellungnahmen einer für die betreffende Tätigkeit zuständigen unabhängigen Behörde zu relevanten Fragen im Sinne der Absätze 1 und 2.,en-de,Intellectual Property (IP),"Die von einer unabhängigen, in der betreffenden Tätigkeit zuständigen Behörde getroffenen Vereinbarungen zur Weiterleitung von Positionen in Bezug auf Fragen, die Absätze 1 und 2 betreffen.",die Einzelheiten der Übermittlung etwaiger Stellungnahmen einer für die betreffende Tätigkeit zuständigen unabhängigen Behörde zu relevanten Fragen im Sinne der Absätze 1 und 2.,0.11622111816655838,0.4507472280250683,[0.8004012703895569]
"Member States shall ensure that these tariffs, or the methodologies underlying their calculation shall be approved prior to their entry into force by a regulatory authority referred to in Article 25(1) and that these tariffs - and the methodologies, where only methodologies are approved - are published prior to their entry into force.","Die Mitgliedstaaten stellen sicher, dass diese Tarife oder die Methoden zu ihrer Berechnung von einer in Artikel 25 Absatz 1 vorgesehenen Regulierungsbehörde vor deren Inkrafttreten genehmigt werden und dass die Tarife und - soweit nur die Methoden einer Genehmigung unterliegen - die Methoden vor ihrem Inkrafttreten veröffentlicht werden.",en-de,Intellectual Property (IP),"Die Mitgliedstaaten stellen sicher, dass diese Tarife oder die diesen zugrunde liegenden Berechnungsmethoden vor ihrem Inkrafttreten von einer in Artikel 25 Absatz 1 genannten Regulierungsbehörde genehmigt werden und dass diese Tarife - und die Methoden, wenn nur Methoden genehmigt werden - vor ihrem Inkrafttreten veröffentlicht werden.

Alternatively, a more formal and official translation could be:

 Die Mitgliedstaaten gewährleisten, dass diese Tarife oder die Methoden, die ihrer Berechnung zugrunde liegen, vor ihrem Inkrafttreten von einer in Artikel 25 Absatz 1 genannten Regulierungsbehörde zugelassen werden und dass diese Tarife - sowie die Methoden, wenn nur Methoden zugelassen werden - vor ihrem Inkrafttreten öffentlich bekannt gegeben werden.","Die Mitgliedstaaten stellen sicher, dass diese Tarife oder die Methoden zu ihrer Berechnung von einer in Artikel 25 Absatz 1 vorgesehenen Regulierungsbehörde vor deren Inkrafttreten genehmigt werden und dass die Tarife und - soweit nur die Methoden einer Genehmigung unterliegen - die Methoden vor ihrem Inkrafttreten veröffentlicht werden.",0.22072957682337027,0.6001626516616847,[0.7866085767745972]
"Within the framework established by this Regulation, the public policy rules concerning the implementation and functions of the.eu TLD and the public policy principles on registration, various options including the ""first come, first served"" method should be considered when registration policy is formulated.","Im Rahmen dieser Verordnung, der allgemeinen Regeln für die Durchführung und die Funktionen der TLD "".eu"" und der allgemeinen Grundregeln für die Registrierung sollten bei der Festlegung der Registrierungspolitik verschiedene Optionen geprüft werden, einschließlich des Windhundverfahrens (Reihenfolge des Eingangs der Anträge).",en-de,Intellectual Property (IP),"Im Rahmen dieser Verordnung sollten bei der Formulierung der Registrierungsrichtlinie die öffentlichen Richtlinien für die Umsetzung und die Funktionen der TLD "".eu"" sowie die Grundsätze der öffentlichen Ordnung für die Registrierung berücksichtigt werden und verschiedene Optionen, einschließlich der Methode ""wer zuerst kommt, mahlt zuerst"" (First-Come-First-Served), in Betracht gezogen werden. 

Alternativ könnte es auch wie folgt übersetzt werden:

 Innerhalb des durch diese Verordnung festgelegten Rahmens sollten die Regeln der öffentlichen Ordnung in Bezug auf die Umsetzung und die Funktionen der TLD "".eu"" sowie die Grundsätze der öffentlichen Ordnung für die Registrierung bei der Ausarbeitung der Registrierungsrichtlinie berücksichtigt werden. Dabei sollten auch verschiedene Optionen, einschließlich des ""First-Come-First-Served""-Prinzips, in Betracht gezogen werden.","Im Rahmen dieser Verordnung, der allgemeinen Regeln für die Durchführung und die Funktionen der TLD "".eu"" und der allgemeinen Grundregeln für die Registrierung sollten bei der Festlegung der Registrierungspolitik verschiedene Optionen geprüft werden, einschließlich des Windhundverfahrens (Reihenfolge des Eingangs der Anträge).",0.11356932764458619,0.4462057085268532,[0.7305768728256226]
"It is not necessary, however, to know the identity of the party to whom the obligation is owed - indeed the obligation may be to the public at large.","Die Kenntnis oder Identifikation der Partei, gegenüber der die Verpflichtung besteht, ist jedoch nicht notwendig - sie kann sogar gegenüber der Öffentlichkeit in ihrer Gesamtheit bestehen.",en-de,Intellectual Property (IP),"Es ist jedoch nicht notwendig, die Identität der Partei zu kennen, gegenüber der die Verpflichtung besteht - tatsächlich kann die Verpflichtung gegenüber der Allgemeinheit bestehen.

(Note: I've translated ""It is not necessary, however"" to ""Es ist jedoch nicht notwendig"" to preserve the nuance of the original sentence. Also, ""the public at large"" has been translated to ""der Allgemeinheit"" to convey the idea of a general or collective entity.)","Die Kenntnis oder Identifikation der Partei, gegenüber der die Verpflichtung besteht, ist jedoch nicht notwendig - sie kann sogar gegenüber der Öffentlichkeit in ihrer Gesamtheit bestehen.",0.09843746091834596,0.4275862068965517,[0.40356478095054626]
"is contrary to public policy or to accepted principles of morality, it shall refuse the application.","gegen die öffentliche Ordnung oder die guten Sitten verstößt, so weist es die Anmeldung zurück.",en-de,Intellectual Property (IP),"""Ist dies widersprüchlich zur öffentlichen Ordnung oder den anerkannten Grundsätzen der Moral, so wird es den Antrag ablehnen.""

Alternatively, a more formal translation could be:

""Stellt es einen Widerspruch zu den Grundsätzen der öffentlichen Ordnung oder der allgemein anerkannten moralischen Prinzipien dar, so wird es den Antrag zurückweisen.""

Both translations convey the same meaning, but the second one is more formal and suitable for official or legal contexts.","gegen die öffentliche Ordnung oder die guten Sitten verstößt, so weist es die Anmeldung zurück.",3.1137823863213763e-155,0.20583340632390298,[0.5256312489509583]
then further application of disinfectant for a minimum contact time as stipulated in the manufacturers recommendations;,Während der vom Hersteller vorgeschriebenen Mindesteinwirkzeit ist das Desinfektionsmittel erneut aufzubringen.,en-de,Intellectual Property (IP),"Dann weitere Anwendung von Desinfektionsmittel für eine Mindest-Kontaktzeit, wie in den Herstellerempfehlungen festgelegt; 

Alternatively, a more natural translation would be:
 Dann folgt eine weitere Anwendung von Desinfektionsmittel mit einer Mindesteinwirkungszeit, wie sie vom Hersteller empfohlen wird; 

Note: ""Mindest-Kontaktzeit"" and ""Mindesteinwirkungszeit"" both convey the same meaning, which is ""minimum contact time"". However, ""Mindesteinwirkungszeit"" is a more commonly used term in German, especially in the context of disinfection and hygiene.",Während der vom Hersteller vorgeschriebenen Mindesteinwirkzeit ist das Desinfektionsmittel erneut aufzubringen.,2.2552086692851854e-155,0.16103316326530615,[0.4797472357749939]
"However, where the competent authority has already informed the farmer of irregularities in the aid application or where the competent authority has given notice to the farmer of its intention to carry out an on-the-spot check and where that on-the-spot check reveals irregularities, withdrawals shall not be authorised in respect of the parts of the aid application affected by the irregularities.","Hat die zuständige Behörde den Betriebsinhaber jedoch bereits auf Unregelmäßigkeiten im Beihilfeantrag hingewiesen oder ihn von ihrer Absicht unterrichtet, eine Vor-Ort-Kontrolle durchzuführen, und werden bei dieser Kontrolle Unregelmäßigkeiten festgestellt, so können die von einer Unregelmäßigkeit betroffenen Teile des Beihilfeantrags nicht zurückgenommen werden.",en-de,Intellectual Property (IP),"Allerdings werden Rücknahmen in Bezug auf die Teile des Beihilfeantrags, die von den Unregelmäßigkeiten betroffen sind, nicht zugelassen, wenn die zuständige Behörde den Landwirt bereits über Unregelmäßigkeiten im Beihilfeantrag informiert hat oder wenn die zuständige Behörde dem Landwirt deren Absicht, eine Vor-Ort-Kontrolle durchzuführen, bekannt gegeben hat und diese Vor-Ort-Kontrolle Unregelmäßigkeiten ergibt. 

Alternativ kann auch eine leicht abgewandelte Fassung verwendet werden:

Jedoch werden Rücknahmen hinsichtlich der Teile des Beihilfeantrags, die von den Unregelmäßigkeiten betroffen sind, nicht genehmigt, wenn die zuständige Behörde den Landwirt bereits über Unregelmäßigkeiten im Beihilfeantrag in Kenntnis gesetzt hat oder wenn die zuständige Behörde dem Landwirt ihre Absicht, eine Vor-Ort-Überprüfung durchzuführen, angekündigt hat und bei dieser Überprüfung Unregelmäßigkeiten festgestellt werden.","Hat die zuständige Behörde den Betriebsinhaber jedoch bereits auf Unregelmäßigkeiten im Beihilfeantrag hingewiesen oder ihn von ihrer Absicht unterrichtet, eine Vor-Ort-Kontrolle durchzuführen, und werden bei dieser Kontrolle Unregelmäßigkeiten festgestellt, so können die von einer Unregelmäßigkeit betroffenen Teile des Beihilfeantrags nicht zurückgenommen werden.",0.08113644459262874,0.4897574002863178,[0.7707501649856567]
