source,target,language_pair,legal_category,translation,reference,bleu,meteor,comet
"Long-term contracts will continue to be an important part of the gas supply of Member States and should be maintained as an option for gas supply undertakings in so far as they do not undermine the objectives of this Directive and are compatible with the Treaty, including competition rules.","Ein großer Teil der Gasversorgung der Mitgliedstaaten wird nach wie vor durch langfristige Verträge gesichert werden, weshalb diese als Möglichkeit für die Gasversorgungsunternehmen erhalten bleiben sollten, sofern sie die Ziele dieser Richtlinie nicht unterlaufen und mit dem Vertrag, einschließlich der darin festgelegten Wettbewerbsregeln, vereinbar sind.",en-de,Family Law & Estates/Trusts,"Langfristige Verträge werden weiterhin ein wichtiger Teil der Gasversorgung der Mitgliedstaaten bleiben und sollten als Option für Gasversorgungsunternehmen beibehalten werden, soweit sie nicht die Ziele dieser Richtlinie untergraben und mit dem Vertrag, einschließlich der Wettbewerbsregeln, vereinbar sind.","Ein großer Teil der Gasversorgung der Mitgliedstaaten wird nach wie vor durch langfristige Verträge gesichert werden, weshalb diese als Möglichkeit für die Gasversorgungsunternehmen erhalten bleiben sollten, sofern sie die Ziele dieser Richtlinie nicht unterlaufen und mit dem Vertrag, einschließlich der darin festgelegten Wettbewerbsregeln, vereinbar sind.",0.32504917432070984,0.6405379475181364,[0.886021077632904]
The machine-readable area will contain a printed text indicating exclusively the Member State concerned.,"Diese Zone soll Druckzeichen enthalten, mit denen ausschließlich der jeweilige Mitgliedstaat angegeben wird.",en-de,Family Law & Estates/Trusts,"Der maschinell lesbare Bereich wird einen gedruckten Text enthalten, der ausschließlich den betreffenden Mitgliedstaat anzeigt.

Alternatively, a more formal translation:

Der maschinenlesbare Bereich enthält einen gedruckten Text, der ausschließlich den betroffenen Mitgliedstaat angibt.","Diese Zone soll Druckzeichen enthalten, mit denen ausschließlich der jeweilige Mitgliedstaat angegeben wird.",3.910521471383976e-155,0.20114942528735633,[0.5963262319564819]
It is concluded that the presence of pesticide residues at or below the MRLs proposed in this Directive will not cause acute toxic effects.,"Man kam zu der Schlussfolgerung, dass das Vorhandensein von Rückständen von Schädlingsbekämpfungsmitteln, die die in dieser Richtlinie vorgeschlagenen Rückstandshöchstgehalte nicht überschreiten, keine akuten toxischen Wirkungen haben wird.",en-de,Family Law & Estates/Trusts,"Es wird festgestellt, dass das Vorhandensein von Pestizidrückständen bei oder unter den in dieser Richtlinie vorgeschlagenen Höchstrestlimits (MRLs) keine akuten toxischen Effekte verursachen wird.

Alternatively, a more formal and official translation could be:

Es wird festgestellt, dass das Vorhandensein von Pestizidrückständen in Konzentrationen bei oder unter den in dieser Richtlinie vorgeschlagenen Höchstrestlimits (MRL) keine akuten toxischen Wirkungen hervorrufen wird.

Note: MRLs is often translated to German as ""Höchstrestlimits"" or ""Höchstwerte für Rückstände"", but in official EU contexts, the English abbreviation ""MRL"" is often used in combination with the German term ""Höchstwert für Rückstände"" or simply ""MRL"" with a footnote explaining the meaning.","Man kam zu der Schlussfolgerung, dass das Vorhandensein von Rückständen von Schädlingsbekämpfungsmitteln, die die in dieser Richtlinie vorgeschlagenen Rückstandshöchstgehalte nicht überschreiten, keine akuten toxischen Wirkungen haben wird.",0.06931128758118685,0.4063404968754764,[0.5717118382453918]
"If, under the legislation of a Member State, the amount of benefits is determined taking into account the existence of members of the family other than children, the competent institution of that State shall also take into consideration the members of the family of the person concerned who are residing in the territory of the competent State.","Kommen nach den Rechtsvorschriften eines Mitgliedstaats bei der Festlegung des Leistungsbetrags nicht nur Kinder, sondern auch andere Familienangehörigen in Betracht, so berücksichtigt der zuständige Träger dieses Staates auch die Familienangehörigen von Berechtigten, die im Gebiet eines anderen Mitgliedstaats wohnen, als wohnten sie im Gebiet des zuständigen Staates.",en-de,Family Law & Estates/Trusts,"Wenn nach dem Recht eines Mitgliedstaats die Höhe der Leistungen unter Berücksichtigung der Existenz von Familienangehörigen anderen als Kindern bestimmt wird, berücksichtigt die zuständige Einrichtung dieses Staates auch die Familienangehörigen der betroffenen Person, die im Hoheitsgebiet der zuständigen Einrichtung wohnen.","Kommen nach den Rechtsvorschriften eines Mitgliedstaats bei der Festlegung des Leistungsbetrags nicht nur Kinder, sondern auch andere Familienangehörigen in Betracht, so berücksichtigt der zuständige Träger dieses Staates auch die Familienangehörigen von Berechtigten, die im Gebiet eines anderen Mitgliedstaats wohnen, als wohnten sie im Gebiet des zuständigen Staates.",0.11713582001642645,0.2788002323181131,[0.8280231952667236]
The card will not ask for an IFS readjustment.,Die Karte fordert keine IFS-Nachkorrektur an.,en-de,Family Law & Estates/Trusts,"Die Karte wird keine IFS-Neueinstellung erfordern.

Alternatively, a more idiomatic translation would be:

Die Karte benötigt keine IFS-Neukalibrierung.

Or, depending on the context:

Die Karte verlangt keine IFS-Zurückstellung.

Note: IFS is likely an abbreviation for a technical term, so I left it unchanged in the translation. If you provide more context or information about what IFS stands for, I can give a more accurate translation.",Die Karte fordert keine IFS-Nachkorrektur an.,2.5502845355614067e-155,0.26571428571428574,[0.49633774161338806]
A common minimum set of powers for the competent authorities will guarantee the effectiveness of their supervision.,Ein allen zuständigen Behörden gemeinsames Maß an Mindestbefugnissen gewährleistet die Effizienz ihrer Aufsicht.,en-de,Family Law & Estates/Trusts,"Ein gemeinsamer Mindestsatz an Befugnissen für die zuständigen Behörden wird die Wirksamkeit ihrer Überwachung gewährleisten.

Alternatively, a more formal translation would be:

Ein gemeinsamer Mindestsatz an Befugnissen für die zuständigen Behörden wird die Effektivität ihrer Aufsichtsüberwachung sicherstellen.",Ein allen zuständigen Behörden gemeinsames Maß an Mindestbefugnissen gewährleistet die Effizienz ihrer Aufsicht.,3.812727472243035e-155,0.3185815868263473,[0.7891549468040466]
"Any other information reported with respect to prior periods, such as historical summaries of financial data, is also restated.","Jede andere Information, die sich auf frühere Perioden bezieht, wie beispielsweise Zeitreihen von Kennzahlen, wird ebenfalls angepasst.",en-de,Family Law & Estates/Trusts,"Alle anderen Informationen, die in Bezug auf vorherige Zeiträume gemeldet werden, wie zum Beispiel historische Zusammenfassungen von Finanzdaten, werden ebenfalls angepasst.

Oder in einer etwas formelleren Übersetzung:

Alle anderen Angaben, die in Bezug auf Vorperioden erstattet werden, wie beispielsweise historische Übersichten über Finanzdaten, werden ebenfalls neu bewertet bzw. angepasst.","Jede andere Information, die sich auf frühere Perioden bezieht, wie beispielsweise Zeitreihen von Kennzahlen, wird ebenfalls angepasst.",1.8821124343823907e-78,0.3863969608104506,[0.735747754573822]
"I. Partner(s) of a group holding are natural persons owning, renting or otherwise managing together one agricultural holding or managing together their individual holdings as if they were one holding.","I. Gesellschafter in einem Gruppenbetrieb sind natürliche Personen, die einen landwirtschaftlichen Betrieb besitzen, gepachtet haben oder auf andere Weise gemeinsam führen oder die ihre einzelnen Betriebe gemeinsam so führen, als handele es sich um einen einzigen Betrieb.",en-de,Family Law & Estates/Trusts,"Hier ist die Übersetzung ins Deutsche:

I. Partner(innen) einer Gruppenlandwirtschaft sind natürliche Personen, die gemeinsam eine landwirtschaftliche Nutzfläche besitzen, pachten oder auf andere Weise verwalten oder ihre einzelnen Nutzflächen gemeinsam als wäre es eine einzige Nutzfläche verwalten.

Oder in einer etwas formalieren Variante:

I. Partner(innen) einer Gruppenlandwirtschaft sind natürliche Personen, die gemeinsam eine landwirtschaftliche Holding besitzen, pachten oder auf andere Weise bewirtschaften oder ihre einzelnen landwirtschaftlichen Betriebe gemeinsam wie einen einzigen Betrieb bewirtschaften.","I. Gesellschafter in einem Gruppenbetrieb sind natürliche Personen, die einen landwirtschaftlichen Betrieb besitzen, gepachtet haben oder auf andere Weise gemeinsam führen oder die ihre einzelnen Betriebe gemeinsam so führen, als handele es sich um einen einzigen Betrieb.",0.09988074732623814,0.5021834061135371,[0.6582574844360352]
The Commission's assessment will take account of the regional specificity of any measure and will be subject to an overall test of proportionality.,Bei allen Maßnahmen wird die Kommission bei ihrer Prüfung auch regionale Besonderheiten berücksichtigen und den Test der Verhältnismäßigkeit anwenden.,en-de,Family Law & Estates/Trusts,"Die Bewertung der Kommission wird die regionale Besonderheit jeder Maßnahme berücksichtigen und einem umfassenden Verhältnismäßigkeitstest unterliegen.

Alternatively, a more formal translation could be:

 Die Beurteilung der Kommission wird die regionalspezifischen Aspekte jeder Maßnahme berücksichtigen und einer Gesamtbetrachtung des Verhältnismäßigkeitsgrundsatzes unterliegen.

Both translations convey the same meaning, but the second one is more formal and uses more technical vocabulary, which may be suitable for official or legal documents.",Bei allen Maßnahmen wird die Kommission bei ihrer Prüfung auch regionale Besonderheiten berücksichtigen und den Test der Verhältnismäßigkeit anwenden.,3.4798743782014386e-155,0.24852362204724412,[0.5618418455123901]
it is probable that future economic benefits associated with the asset will flow to the enterprise;,"es ist wahrscheinlich, dass dem Unternehmen ein mit dem Vermögenswert verbundener künftiger wirtschaftlicher Nutzen zufließen wird;",en-de,Family Law & Estates/Trusts,"Es ist wahrscheinlich, dass zukünftige wirtschaftliche Vorteile, die mit dem Vermögenswert in Verbindung stehen, dem Unternehmen zufließen werden;

 Alternatively, a more formal translation, as is often used in financial and accounting contexts, would be:

 Es ist wahrscheinlich, dass zukünftige wirtschaftliche Nutzen, die mit dem Vermögenswert verbunden sind, dem Unternehmen zugutekommen werden;

Note: The term ""wirtschaftliche Vorteile"" or ""wirtschaftliche Nutzen"" is often used in German to translate ""economic benefits"". The phrase ""dem Unternehmen zufließen"" or ""dem Unternehmen zugutekommen"" is used to translate ""will flow to the enterprise"".","es ist wahrscheinlich, dass dem Unternehmen ein mit dem Vermögenswert verbundener künftiger wirtschaftlicher Nutzen zufließen wird;",0.034384317253175214,0.43789898989899,[0.4822006821632385]
