source,target,language_pair,legal_category,translation,reference,bleu,meteor,comet
"The additional payment shall be granted for maintaining suckler cows, at a maximum level up to 100 % of suckler cow premium referred to in Annex VI to be granted under conditions provided for in Chapter 12 of Title IV;",Die Ergänzungszahlung wird für die Erhaltung des Mutterkuhbestands in einer Höhe von bis zu 100 % der nach Maßgabe des Titels IV Kapitel 12 zu zahlenden Mutterkuhprämie gemäß Anhang VI gewährt;,en-de,Contract Law,"Die zusätzliche Zahlung soll für die Haltung von Zuchtkühen gewährt werden, bis zu einem Höchstbetrag von 100 % des in Anhang VI genannten Zuchtkuhenschutzes, der unter den in Kapitel 12 von Titel IV vorgesehenen Bedingungen zu gewähren ist; 

Alternatively, a more natural translation would be:
Die zusätzliche Zahlung wird für die Haltung von Mutterkühen gewährt, maximal bis zu 100 % des in Anhang VI genannten Betrags für die Mutterkuhprämie, der unter den in Kapitel 12 von Titel IV festgelegten Bedingungen gewährt wird;",Die Ergänzungszahlung wird für die Erhaltung des Mutterkuhbestands in einer Höhe von bis zu 100 % der nach Maßgabe des Titels IV Kapitel 12 zu zahlenden Mutterkuhprämie gemäß Anhang VI gewährt;,0.05239042043319963,0.4626379012012282,[0.7264894247055054]
"In respect of appropriate ground-based systems, or parts thereof, these high levels of safety shall be enhanced by safety nets which shall be subject to agreed common performance characteristics.","In Bezug auf geeignete bodengestützte Systeme oder Teile davon ist dieses hohe Sicherheitsniveau durch Sicherheitsnetze weiter zu verbessern, für die vereinbarte einheitliche Leistungsmerkmale festgelegt werden.",en-de,Contract Law,"In Bezug auf geeignete bodengestützte Systeme oder Teile davon sollen diese hohen Sicherheitsstandards durch Sicherheitsnetze erhöht werden, die gemeinsamen Leistungsmerkmalen unterliegen, auf die man sich geeinigt hat.

Alternativ:
Hinsichtlich geeigneter bodengestützter Systeme oder deren Teile sollen diese hohen Sicherheitsniveaus durch Sicherheitsnetze verstärkt werden, die bestimmten, vereinbarten Leistungscharakteristika genügen.","In Bezug auf geeignete bodengestützte Systeme oder Teile davon ist dieses hohe Sicherheitsniveau durch Sicherheitsnetze weiter zu verbessern, für die vereinbarte einheitliche Leistungsmerkmale festgelegt werden.",0.16223212210520188,0.47014700076635474,[0.8290433883666992]
or having only sufficient motive power to perform short manoeuvres when not part of a pushed train of craft;,"mit eigener Triebkraft, die nur erlaubt, außerhalb eines Schubverbandes kleine Ortsveränderungen vorzunehmen;",en-de,Contract Law,"Oder nur über genügend Antriebsleistung verfügt, um kurze Manöver auszuführen, wenn sie nicht Teil eines geschobenen Zuges von Fahrzeugen ist; 

Alternatively, a more natural translation would be:
Oder über nur so viel Antriebsleistung verfügt, dass sie kurze Manöver ausführen kann, wenn sie nicht Teil eines geschobenen Zuges ist; 

Note: ""geschobenen Zuges"" refers to a train of craft that is being pushed, as opposed to being pulled. The phrase ""Zug von Fahrzeugen"" is more general and can refer to any train of vehicles, but in this context, ""geschobenen Zuges"" is more precise.","mit eigener Triebkraft, die nur erlaubt, außerhalb eines Schubverbandes kleine Ortsveränderungen vorzunehmen;",8.393055210177485e-232,0.1016260162601626,[0.42870286107063293]
Undertakings no longer have the obligation or option to notify agreements to the Commission with a view to obtaining an exemption decision.,"Danach haben Unternehmen nicht mehr die Verpflichtung oder die Möglichkeit, Vereinbarungen bei der Kommission anzumelden, um eine Freistellung vom Kartellverbot zu erwirken.",en-de,Contract Law,"Unternehmen haben keine Verpflichtung oder Möglichkeit mehr, Vereinbarungen bei der Kommission mit dem Ziel einer Befreiungsentscheidung anzuzeigen.","Danach haben Unternehmen nicht mehr die Verpflichtung oder die Möglichkeit, Vereinbarungen bei der Kommission anzumelden, um eine Freistellung vom Kartellverbot zu erwirken.",0.18187845100084138,0.418943533697632,[0.8444961905479431]
"In this case, the net selling price (or the estimated cash flow from ultimate disposal) of the cash-generating unit is the estimated selling price for the assets of the cash-generating unit and the liability together, less the costs of disposal.","In diesem Fall setzt sich der Nettoveräußerungspreis (oder die geschätzten Cashflows aus dem endgültigen Abgang) einer zahlungsmittelgenerierenden Einheit aus dem geschätzten Verkaufspreis der Vermögenswerte der zahlungsmittelgenerierenden Einheit und der Schuld zusammen, nach Abzug der Veräußerungskosten.",en-de,Contract Law,"Im vorliegenden Fall ist der Netto-Verkaufspreis (oder der geschätzte Cash-Flow aus der endgültigen Veräußerung) der geschäftsleitenden Einheit der geschätzte Verkaufspreis für die Vermögenswerte der geschäftsleitenden Einheit und der Verbindlichkeit zusammen, abzüglich der Veräußerungskosten.

Alternatively, a more formal translation would be:

In diesem Fall ist der Netto-Verkaufspreis (oder der geschätzte Barwert aus der endgültigen Veräußerung) der Cash-Generierenden Einheit der geschätzte Veräußerungspreis für die Vermögenswerte und Verbindlichkeiten der Cash-Generierenden Einheit zusammen, abzüglich der mit der Veräußerung verbundenen Kosten.","In diesem Fall setzt sich der Nettoveräußerungspreis (oder die geschätzten Cashflows aus dem endgültigen Abgang) einer zahlungsmittelgenerierenden Einheit aus dem geschätzten Verkaufspreis der Vermögenswerte der zahlungsmittelgenerierenden Einheit und der Schuld zusammen, nach Abzug der Veräußerungskosten.",2.2013074001747585e-78,0.3902873124841088,[0.7795934677124023]
Any Member State may provide for the minimum of the guarantee fund to be reduced to EUR 600000 in the case of mutual associations and mutual-type associations and tontines.,"Jeder Mitgliedstaat kann die Ermäßigung des Mindestgarantiefonds bei Versicherungsvereinen auf Gegenseitigkeit, bei Versicherungsgesellschaften, die nach dem Gegenseitigkeitsprinzip arbeiten, und bei Tontinengesellschaften auf 600000 EUR vorsehen.",en-de,Contract Law,"Jeder Mitgliedstaat kann vorsehen, dass der Mindestbetrag des Garantiefonds bei genossenschaftlichen Verbänden, genossenschaftsähnlichen Vereinigungen und Witwen- und Waisenfonds auf 600 000 Euro reduziert wird.

(Note: I used the official EU translation terminology, e.g. ""genossenschaftliche Verbände"" for ""mutual associations"" and ""Witwen- und Waisenfonds"" for ""tontines"", which is a common translation in the context of EU law and financial regulations.)","Jeder Mitgliedstaat kann die Ermäßigung des Mindestgarantiefonds bei Versicherungsvereinen auf Gegenseitigkeit, bei Versicherungsgesellschaften, die nach dem Gegenseitigkeitsprinzip arbeiten, und bei Tontinengesellschaften auf 600000 EUR vorsehen.",1.0607481290503049e-78,0.2530497856907352,[0.5133657455444336]
the form of the contract which is the subject of the invitation to tender:,"Art des Auftrags, der Gegenstand der Ausschreibung ist:",en-de,Contract Law,"Die Form des Vertrags, der Gegenstand der Ausschreibung ist: 

Alternatively, a more formal and precise translation would be:

Die Vertragsform, die Gegenstand der Vergabeverfahrens ist: 

Or, in a more literal translation:

Die Form des Vertrags, der Gegenstand der Ausschreibung ist, kann wie folgt lauten: 

However, the most common translation used in formal and business contexts would be:

Der Vertragstyp, der Gegenstand des Vergabeverfahrens ist:","Art des Auftrags, der Gegenstand der Ausschreibung ist:",0.07183089958205156,0.3148113905325444,[0.5756548643112183]
It is necessary to lay down the details for the determination of the ratio of permanent pasture and agricultural land that has to be maintained and to provide for the individual obligations at the level of farmers to be respected where it is established that that proportion is decreasing to the detriment of land under permanent pasture.,"Dazu müssen der zu erhaltende Anteil von Dauergrünland an der landwirtschaftlichen Fläche geregelt und die Pflichten der einzelnen Betriebsinhaber vorgesehen werden, wenn dieser Anteil zurückgeht.",en-de,Contract Law,"Es ist notwendig, die Einzelheiten für die Feststellung des Verhältnisses zwischen Dauergrünland und Ackerland, das erhalten werden muss, festzulegen und dazu beizutragen, dass die individuellen Verpflichtungen der Landwirte auf einer Ebene eingehalten werden, auf der festgestellt wird, dass sich dieses Verhältnis zuungunsten des Dauergrünlands verringert.

Alternativ kann auch eine etwas formellere Übersetzung verwendet werden:

Es ist erforderlich, die Details für die Ermittlung des Verhältnisses von Dauergrünland zu Ackerland, das beibehalten werden muss, festzulegen und Vorkehrungen zu treffen, damit die individuellen Verpflichtungen der landwirtschaftlichen Betriebe auf einer Ebene eingehalten werden, auf der festgestellt wird, dass dieses Verhältnis zugunsten des Ackerlandes zu Lasten des Dauergrünlandes abnimmt.","Dazu müssen der zu erhaltende Anteil von Dauergrünland an der landwirtschaftlichen Fläche geregelt und die Pflichten der einzelnen Betriebsinhaber vorgesehen werden, wenn dieser Anteil zurückgeht.",3.356530506588772e-155,0.2503350877766517,[0.6552379727363586]
"RELIEF UNDER THE CUSTOMARY PRIVILEGES ACCORDED BY VIRTUE OF INTERNATIONAL AGREEMENTS OR HEADQUARTERS AGREEMENTS TO WHICH EITHER A THIRD COUNTRY OR AN INTERNATIONAL ORGANIZATION IS A CONTRACTING PARTY , INCLUDING THE RELIEF GRANTED ON THE OCCASION OF INTERNATIONAL MEETINGS;","BEFREIUNGEN AUFGRUND DER ÜBLICHEN VORRECHTE , DIE GEMÄß INTERNATIONALEN ABKOMMEN ODER SITZABKOMMEN , BEI DENEN EIN DRITTLAND ODER EINE INTERNATIONALE ORGANISATION VERTRAGSPARTEI IST , GEWÄHRT WERDEN , EINSCHLIESSLICH DER ANLÄSSLICH INTERNATIONALER BEGEGNUNGEN GEWÄHRTEN BEFREIUNGEN;",en-de,Contract Law,"Entlastung unter den gewohnheitsrechtlichen Privilegien, die kraft internationaler Abkommen oder Sitzabkommen gewährt werden, an denen ein Drittstaat oder eine internationale Organisation Vertragspartei ist, einschließlich der Entlastung, die anlässlich internationaler Tagungen gewährt wird;

Oder, wenn man es noch ein bisschen formeller ausdrücken möchte:

Befreiung von den nach dem Gewohnheitsrecht gewährten Privilegien, die aufgrund internationaler Vereinbarungen oder Sitzvereinbarungen gewährt werden, an denen ein Drittstaat oder eine internationale Organisation Vertragspartei ist, einschließlich der Befreiung, die bei internationalen Konferenzen gewährt wird;

Hinweis: ""RELIEF"" kann je nach Kontext auch mit ""Befreiung"", ""Entlastung"", ""Ermäßigung"" oder ""Vergünstigung"" übersetzt werden. Ich habe mich für ""Entlastung"" bzw. ""Befreiung"" entschieden, da es im Kontext von internationalen Abkommen und Privilegien am passendsten erscheint.","BEFREIUNGEN AUFGRUND DER ÜBLICHEN VORRECHTE , DIE GEMÄß INTERNATIONALEN ABKOMMEN ODER SITZABKOMMEN , BEI DENEN EIN DRITTLAND ODER EINE INTERNATIONALE ORGANISATION VERTRAGSPARTEI IST , GEWÄHRT WERDEN , EINSCHLIESSLICH DER ANLÄSSLICH INTERNATIONALER BEGEGNUNGEN GEWÄHRTEN BEFREIUNGEN;",7.850707993042515e-232,0.46767459891453456,[0.35680583119392395]
"With the objective of further facilitating the registration of certain traditional herbal medicinal products and of further enhancing harmonisation, there should be the possibility of establishing a Community list of herbal substances that fulfil certain criteria, such as having been in medicinal use for a sufficiently long time, and hence are considered not to be harmful under normal conditions of use.","Um die Registrierung bestimmter traditioneller pflanzlicher Arzneimittel weiter zu erleichtern und eine Harmonisierung weiter zu fördern, sollte die Möglichkeit gegeben sein, eine Gemeinschaftsliste pflanzlicher Stoffe zu erstellen, die bestimmte Kriterien, wie eine ausreichend lange medizinische Verwendung, erfuellen und daher als unter normalen Anwendungsbedingungen nicht schädlich gelten.",en-de,Contract Law,"Mit dem Ziel, die Zulassung bestimmter traditioneller pflanzlicher Arzneimittel weiter zu erleichtern und die Harmonisierung weiter zu verstärken, sollte die Möglichkeit bestehen, eine Gemeinschaftsliste von pflanzlichen Stoffen zu erstellen, die bestimmte Kriterien erfüllen, wie z. B. eine ausreichend lange medizinische Verwendung und daher unter normalen Anwendungsbedingungen als nicht schädlich angesehen werden.

Alternatively, a more formal translation could be:

In der Absicht, die Zulassung bestimmter traditioneller pflanzlicher Arzneimittel weiter zu erleichtern und die Harmonisierung weiter zu verstärken, sollte die Möglichkeit geschaffen werden, eine Gemeinschaftsliste von pflanzlichen Stoffen zu erstellen, die bestimmte Voraussetzungen erfüllen, wie beispielsweise eine medizinische Verwendung über einen ausreichend langen Zeitraum, und somit unter normalen Anwendungsbedingungen als nicht gefährlich betrachtet werden.","Um die Registrierung bestimmter traditioneller pflanzlicher Arzneimittel weiter zu erleichtern und eine Harmonisierung weiter zu fördern, sollte die Möglichkeit gegeben sein, eine Gemeinschaftsliste pflanzlicher Stoffe zu erstellen, die bestimmte Kriterien, wie eine ausreichend lange medizinische Verwendung, erfuellen und daher als unter normalen Anwendungsbedingungen nicht schädlich gelten.",0.1756893403984637,0.678351544733485,[0.7974627614021301]
