source,target,language_pair,legal_category,translation,reference,bleu,meteor,comet
"where priority has been claimed pursuant to Articles 8 and 9, either in the application itself or within one month after the date of filing, the other requirements set out in those Articles have not been complied with;","im Fall der Inanspruchnahme der Priorität gemäß Artikel 8 und 9 entweder in der Anmeldung oder innerhalb eines Monats nach dem Anmeldetag die übrigen Erfordernisse der genannten Artikel nicht erfuellt sind, oder",en-de,Bankruptcy Law,"Wo ein Prioritätsrecht gemäß den Artikeln 8 und 9 geltend gemacht wurde, und zwar entweder in der Anmeldung selbst oder innerhalb eines Monats nach dem Anmeldetag, wurden die sonstigen in diesen Artikeln festgelegten Erfordernisse nicht erfüllt;

Alternatively, a more formal translation could be:

Wenn gemäß den Artikeln 8 und 9 ein Prioritätsrecht geltend gemacht wurde, und zwar entweder in der Anmeldung selbst oder innerhalb einer Frist von einem Monat nach dem Anmeldetag, sind die übrigen in diesen Artikeln genannten Voraussetzungen nicht erfüllt worden; 

Both translations are acceptable, but the second one is more formal and suitable for official documents.","im Fall der Inanspruchnahme der Priorität gemäß Artikel 8 und 9 entweder in der Anmeldung oder innerhalb eines Monats nach dem Anmeldetag die übrigen Erfordernisse der genannten Artikel nicht erfuellt sind, oder",0.09637805235823872,0.4200875752599892,[0.5716829299926758]
"If at the end of this period, interoperability problems still remain, the laboratory in charge of interoperability tests, with the collaboration of the manufacturers concerned and with the type approval authorities who delivered the corresponding functional certificates shall find out the causes of the interoperability faults and establish which modifications should be made by each of the manufacturers concerned.","Liegen am Ende dieses Zeitraums weiterhin Interoperabilitätsprobleme vor, ermittelt die mit den Interoperabilitätsprüfungen betraute Prüfstelle in Zusammenarbeit mit den betreffenden Herstellern und mit den Bauartgenehmigungsbehörden, die die entsprechenden Funktionszertifikate erteilt haben, die Ursachen der Interoperabilitätsfehler und gibt an, welche Änderungen von den einzelnen betroffenen Herstellern vorzunehmen sind.",en-de,Bankruptcy Law,"Wenn am Ende dieser Frist immer noch Interoperabilitätsprobleme bestehen, muss das für die Interoperabilitätstests verantwortliche Labor in Zusammenarbeit mit den betreffenden Herstellern und den für die Erteilung der entsprechenden Funktionszertifikate zuständigen Typgenehmigungsbehörden die Ursachen der Interoperabilitätsfehler ermitteln und feststellen, welche Änderungen jeder der betreffenden Hersteller vornehmen muss.

Alternativ:
Wenn am Ende dieser Frist Interoperabilitätsprobleme fortbestehen, hat das für Interoperabilitätstests verantwortliche Labor in Zusammenarbeit mit den betroffenen Herstellern und den Typgenehmigungsbehörden, die die entsprechenden Funktionszertifikate ausgestellt haben, die Ursachen der Interoperabilitätsmängel zu ermitteln und festzustellen, welche Anpassungen jeder der betroffenen Hersteller vorzunehmen hat.","Liegen am Ende dieses Zeitraums weiterhin Interoperabilitätsprobleme vor, ermittelt die mit den Interoperabilitätsprüfungen betraute Prüfstelle in Zusammenarbeit mit den betreffenden Herstellern und mit den Bauartgenehmigungsbehörden, die die entsprechenden Funktionszertifikate erteilt haben, die Ursachen der Interoperabilitätsfehler und gibt an, welche Änderungen von den einzelnen betroffenen Herstellern vorzunehmen sind.",0.17002990588236877,0.5159499300598974,[0.8208802342414856]
"For the purposes of this Directive ""putting into circulation"" means any handing over, whether in return for payment or free of charge, of the products referred to in Article 1, after they have been harvested.","Inverkehrbringen im Sinne dieser Richtlinie ist jede entgeltliche oder unentgeltliche Abgabe der von Artikel 1 erfaßten Erzeugnisse, nachdem sie geerntet worden sind.",en-de,Bankruptcy Law,"Für die Zwecke dieser Richtlinie bedeutet ""Inverkehrbringen"" jedes Überlassen, unabhängig davon, ob gegen Entgelt oder kostenlos, der in Artikel 1 genannten Erzeugnisse nach deren Ernte.","Inverkehrbringen im Sinne dieser Richtlinie ist jede entgeltliche oder unentgeltliche Abgabe der von Artikel 1 erfaßten Erzeugnisse, nachdem sie geerntet worden sind.",5.712273295803765e-155,0.3233847492220697,[0.8209779858589172]
where the amount receivable cannot be recovered in view of its age or the insolvency of the debtor;,wenn sich die Einziehung aufgrund des Alters der Forderung oder wegen Zahlungsunfähigkeit des Schuldners als unmöglich erweist;,en-de,Bankruptcy Law,"Wenn der zu erhaltene Betrag aufgrund seines Alters oder der Insolvenz des Schuldners nicht wiedererlangt werden kann; 

Alternatively, a more formal translation could be:
Wenn der Erfolg des Anspruchs wegen seiner Verälterung oder der Insolvenz des Schuldners ausgeschlossen erscheint; 

Or in a more common German translation:
Wenn die Forderung aufgrund ihres Alters oder der Insolvenz des Schuldners uneinbringlich ist;",wenn sich die Einziehung aufgrund des Alters der Forderung oder wegen Zahlungsunfähigkeit des Schuldners als unmöglich erweist;,3.3825720370848893e-155,0.32504282917278515,[0.6271715760231018]
Whereas a common list of exemptions should be drawn up so that the Communities' own resources may be collected in a uniform manner in all the Member States;,"Im Hinblick auf eine gleichmäßige Erhebung der eigenen Mittel in allen Mitgliedstaaten ist es erforderlich, eine gemeinsame Liste der Steuerbefreiungen aufzustellen.",en-de,Bankruptcy Law,"Während eine gemeinsame Liste von Befreiungen erstellt werden sollte, damit die eigenen Mittel der Gemeinschaften einheitlich in allen Mitgliedstaaten erhoben werden können; 

 Alternativ kann die Übersetzung auch wie folgt lauten:

Während eine gemeinsame Liste von Befreiungen aufgestellt werden sollte, damit die eigenen Mittel der Gemeinschaften in allen Mitgliedstaaten einheitlich erhoben werden können; 

Oder:

Während eine gemeinsame Liste von Befreiungen auszuarbeiten ist, damit die Eigenmittel der Gemeinschaften einheitlich in allen Mitgliedstaaten erhoben werden können; 

Jede dieser Übersetzungen ist korrekt, aber die erste ist vielleicht ein bisschen formeller und genauer.","Im Hinblick auf eine gleichmäßige Erhebung der eigenen Mittel in allen Mitgliedstaaten ist es erforderlich, eine gemeinsame Liste der Steuerbefreiungen aufzustellen.",1.359254739600913e-78,0.39804282368685184,[0.5620573163032532]
"the consequences of an absence of objection or default of appearance, in particular, where applicable, the possibility that a judgment may be given or enforced against the debtor and the liability for costs related to the court proceedings.","auf die Konsequenzen des Nichtbestreitens oder des Nichterscheinens, insbesondere die etwaige Möglichkeit einer Entscheidung oder ihrer Vollstreckung gegen den Schuldner und der Verpflichtung zum Kostenersatz.",en-de,Bankruptcy Law,"Die Folgen einer Nichterhebung von Einspruch oder eines Ausbleibens, insbesondere, soweit anwendbar, die Möglichkeit, dass ein Urteil gegen den Schuldner ergehen oder Vollstreckung gegen ihn stattfinden kann, sowie die Haftung für die Kosten im Zusammenhang mit dem Gerichtsverfahren.

Alternatively, a more formal and legal translation could be:

Die Rechtsfolgen eines Nichtwiderspruchs oder eines Nichterscheinens, insbesondere, soweit anwendbar, die Möglichkeit, dass ein Urteil gegen den Schuldner ergehen oder vollstreckt werden kann, sowie die Kostentragungspflicht für die gerichtlichen Verfahren. 

Note: In legal translations, it's often necessary to use specific terminology and phrasing to ensure accuracy and clarity. The second translation provides a more formal and technical translation, which may be more suitable for official documents or court proceedings.","auf die Konsequenzen des Nichtbestreitens oder des Nichterscheinens, insbesondere die etwaige Möglichkeit einer Entscheidung oder ihrer Vollstreckung gegen den Schuldner und der Verpflichtung zum Kostenersatz.",1.0607761531032871e-78,0.25308276344838726,[0.5786240696907043]
"High intensity discharge lamps, including pressure sodium lamps and metal halide lamps","Entladungslampen, einschließlich Hochdruck-Natriumdampflampen und Metalldampflampen",en-de,Bankruptcy Law,"Die Übersetzung ins Deutsche lautet:

""Hochdruck-Entladungslampen, einschließlich Natriumdampflampen und Metalldampflampen""

Alternativ kann man auch übersetzen:

"" Hochintensitäts-Entladungslampen, einschließlich Hochdruck-Natriumlampen und Metalldampflampen""

Beide Übersetzungen sind korrekt, je nach Kontext kann die eine oder andere bevorzugt werden. 

Wenn Sie eine bestimmte Branche oder Anwendung im Sinn haben, kann ich versuchen eine spezifischere Übersetzung zu finden.","Entladungslampen, einschließlich Hochdruck-Natriumdampflampen und Metalldampflampen",3.1482164336110205e-155,0.26747881355932207,[0.5791234970092773]
"where, in the event of the insolvency of the related credit institution, the said sums are intended, as a priority, to repay the capital and interest falling due, without prejudice to the provisions of Directive 2001/24/EC of the European Parliament and of the Council of 4 April 2001 on the reorganisation and winding up of credit institutions(14).",sofern diese Erlöse im Falle der Insolvenz des betreffenden Kreditinstituts unbeschadet der Bestimmungen der Richtlinie 2001/24/EG des Europäischen Parlaments und des Rates vom 4. April 2001 über die Sanierung und Liquidation von Kreditinstituten(14) vorrangig zur Rückzahlung des Kapitals und der aufgelaufenen Zinsen bestimmt sind.,en-de,Bankruptcy Law,"Wo, im Falle der Insolvenz des genannten Kreditinstituts, die genannten Beträge bestimmt sind, um als Priorität, das fällige Kapital und die fälligen Zinsen zurückzuzahlen, ohne Vorurteil gegen die Bestimmungen der Richtlinie 2001/24/EG des Europäischen Parlaments und des Rates vom 4. April 2001 über die Sanierung und Liquidation von Kreditinstituten(14).

 Alternativ, in einem etwas formalen Ton:

Wo, im Fall der Insolvenz des betreffenden Kreditinstituts, die erwähnten Beträge vorrangig zur Tilgung des fälligen Kapitals und der fälligen Zinsen bestimmt sind, ohne dass dadurch die Bestimmungen der Richtlinie 2001/24/EG des Europäischen Parlaments und des Rates vom 4. April 2001 über die Restrukturierung und Abwicklung von Kreditinstituten (14) beeinträchtigt werden.",sofern diese Erlöse im Falle der Insolvenz des betreffenden Kreditinstituts unbeschadet der Bestimmungen der Richtlinie 2001/24/EG des Europäischen Parlaments und des Rates vom 4. April 2001 über die Sanierung und Liquidation von Kreditinstituten(14) vorrangig zur Rückzahlung des Kapitals und der aufgelaufenen Zinsen bestimmt sind.,0.2665376814569754,0.6936707264169153,[0.7226409316062927]
each of the following items which the credit institution holds in respect of the entities defined in point (15) in which it holds a participation:,"Die folgenden Posten des Kreditinstituts in Bezug auf die unter Nummer 15 genannten Unternehmen, an denen es eine Beteiligung hält:",en-de,Bankruptcy Law,"Jeder der folgenden Posten, den das Kreditinstitut in Bezug auf die in Ziffer 15 definierten Einheiten hält, an denen es eine Beteiligung hält:

 oder alternativ:

 Jeder der nachstehenden Posten, den das Kreditinstitut hält, soweit er Bezug zu den in Nummer 15 definierten Einheiten hat, an denen das Kreditinstitut eine Beteiligung hält:

Oder in einer sehr formalen und juristischen Übersetzung:

 Jeder der nachfolgend aufgeführten Posten, den das Kreditinstitut in Bezug auf die in Artikel 15 definierten Rechtsträger hält, an denen es eine direkte oder indirekte Beteiligung hält:

Hinweis: Die Übersetzungen können je nach Kontext und Rechtsbereich minimal abweichen. Die genaue Übersetzung hängt auch von der spezifischen rechtlichen Terminologie ab.","Die folgenden Posten des Kreditinstituts in Bezug auf die unter Nummer 15 genannten Unternehmen, an denen es eine Beteiligung hält:",0.0818766304826509,0.4776739356178609,[0.6477959156036377]
Exemptions,Ausnahmen,en-de,Bankruptcy Law,Befreiungen,Ausnahmen,0.0,0.0,[0.6828764081001282]
