legal_term,category
a fortiori,Legal Theory & Latin Terms
a posteriori,Legal Theory & Latin Terms
a priori,Legal Theory & Latin Terms
a priori assumption,Legal Theory & Latin Terms
a.k.a.,Legal Theory & Latin Terms
A/R,Legal Theory & Latin Terms
ab initio,Legal Theory & Latin Terms
ab intestato,Legal Theory & Latin Terms
AB Trust,Family Law & Estates/Trusts
ABA,Legal Theory & Latin Terms
abandon,Legal Theory & Latin Terms
abandoned application,Legal Theory & Latin Terms
abandoned property,Property & Real Estate Law
abandonment,Legal Theory & Latin Terms
abandonment (of residence),Legal Theory & Latin Terms
abandonment (of trademark),Intellectual Property (IP)
abate,Legal Theory & Latin Terms
abatement,Legal Theory & Latin Terms
abatement ab initio,Legal Theory & Latin Terms
abatement clause,Legal Theory & Latin Terms
ABC test,Legal Theory & Latin Terms
abduction,Criminal Law & Procedure
Abercrombie classification,Legal Theory & Latin Terms
abet,Criminal Law & Procedure
abeyance,Legal Theory & Latin Terms
able to work,Legal Theory & Latin Terms
abnormally dangerous activity,Legal Theory & Latin Terms
abortion,Legal Theory & Latin Terms
abrogate,Legal Theory & Latin Terms
abscond,Criminal Law & Procedure
absentee ballot,Legal Theory & Latin Terms
absolute,Legal Theory & Latin Terms
absolute disparity,Legal Theory & Latin Terms
absolute privilege,Evidence Law
absolute-bar rule,Administrative Law
abstention,Legal Theory & Latin Terms
abstention doctrine,Legal Theory & Latin Terms
abstract,Legal Theory & Latin Terms
abstract of judgment,Civil Procedure & Litigation
abstract of record,Legal Theory & Latin Terms
abstract of title,Property & Real Estate Law
abstract of trust,Family Law & Estates/Trusts
abstracter,Legal Theory & Latin Terms
abuse,Civil Procedure & Litigation
abuse excuse,Criminal Law & Procedure
abuse of discretion,Civil Procedure & Litigation
abuse of process,Criminal Law & Procedure
abusive discharge,Bankruptcy Law
abut,Legal Theory & Latin Terms
accelerated depreciation,Tax & Financial Regulation
accelerated filer,Legal Theory & Latin Terms
acceleration,Legal Theory & Latin Terms
acceleration clause,Legal Theory & Latin Terms
acceleration theory,Legal Theory & Latin Terms
accept,Contract Law
acceptance,Contract Law
acceptance of service,Contract Law
access,Criminal Law & Procedure
accession,Legal Theory & Latin Terms
accessory,Criminal Law & Procedure
accessory after the fact,Criminal Law & Procedure
accessory before the fact,Criminal Law & Procedure
accommodation,Legal Theory & Latin Terms
accompanying relative,Legal Theory & Latin Terms
accomplice,Criminal Law & Procedure
accomplice witness,Criminal Law & Procedure
accord,Legal Theory & Latin Terms
accord and satisfaction,Legal Theory & Latin Terms
account,Healthcare Law
account debtor,Bankruptcy Law
account receivable,Legal Theory & Latin Terms
account stated,Legal Theory & Latin Terms
accountant,Legal Theory & Latin Terms
accounting,Legal Theory & Latin Terms
accounts payable,Legal Theory & Latin Terms
accounts receivable,Legal Theory & Latin Terms
accredited investor,Legal Theory & Latin Terms
accretion,Legal Theory & Latin Terms
accrual method of accounting,Legal Theory & Latin Terms
accrue,Legal Theory & Latin Terms
accumulated earnings,Legal Theory & Latin Terms
accumulation trust,Family Law & Estates/Trusts
accusation,Legal Theory & Latin Terms
accusatory instrument,Legal Theory & Latin Terms
accused,Legal Theory & Latin Terms
acknowledge,Legal Theory & Latin Terms
acknowledged father,Legal Theory & Latin Terms
acknowledgment,Legal Theory & Latin Terms
acquisition,Securities & Corporate Law
acquisition of citizenship,Intellectual Property (IP)
acquit,Legal Theory & Latin Terms
acquittal,Legal Theory & Latin Terms
act,Legal Theory & Latin Terms
Act of Congress,Legal Theory & Latin Terms
act of God,Legal Theory & Latin Terms
act of nature,Legal Theory & Latin Terms
action,Legal Theory & Latin Terms
actionable,Legal Theory & Latin Terms
actual authority,Intellectual Property (IP)
actual cause,Legal Theory & Latin Terms
actual controversy,Legal Theory & Latin Terms
actual custody of the body,Family Law & Estates/Trusts
actual damages,Contract Law
actual innocence,Legal Theory & Latin Terms
actual notice,Immigration & Naturalization Law
actuarial tables,Legal Theory & Latin Terms
actus reus,Criminal Law & Procedure
ad hoc,Legal Theory & Latin Terms
ad litem,Legal Theory & Latin Terms
ad seriatim,Legal Theory & Latin Terms
ad valorem,Legal Theory & Latin Terms
ad valorem tax,Tax & Financial Regulation
ADA,Employment & Labor Law
addendum,Legal Theory & Latin Terms
additur,Legal Theory & Latin Terms
ADEA,Legal Theory & Latin Terms
adeem,Legal Theory & Latin Terms
ademption,Legal Theory & Latin Terms
ademption by extinction,Legal Theory & Latin Terms
ademption by satisfaction,Legal Theory & Latin Terms
adequate and independent state grounds,Legal Theory & Latin Terms
adequate remedy,Legal Theory & Latin Terms
adhesion contract,Contract Law
adhesion contract (contract of adhesion),Contract Law
adjourn,Civil Procedure & Litigation
adjudicate,Legal Theory & Latin Terms
adjudication,Administrative Law
adjudicative fact,Legal Theory & Latin Terms
adjustable rate mortgage (ARM),Property & Real Estate Law
adjusted basis,Legal Theory & Latin Terms
adjusted gross income (AGI),Tax & Financial Regulation
