source,reference,category,retrieved_examples,translation,BLEU,METEOR,COMET
"Having regard to the opinion of the Council(3),","nach Stellungnahme des Rates(3),",Administrative Law,3,"In Anbetracht der Stellungnahme des Rates(3),",0.6389431042462724,0.8524141363862616,0.7411565184593201
THESE DOCUMENTS SHALL CONSTITUTE A COMPOSITE WHOLE.,Diese Unterlagen bilden eine Einheit.,Administrative Law,3,Diese Unterlagen bilden eine einheitliche Gesamtheit.,0.4347208719449914,0.7934426229508196,0.7995150685310364
"""national authorities"", as defined in Article 2 of Regulation (EC) No 322/97, shall mean national statistical institutes and other bodies responsible in each Member State for producing Community statistics.","""einzelstaatliche Stellen"" gemäß der Definition in Artikel 2 der Verordnung (EG) Nr. 322/97 die nationalen statistischen Ämter und sonstige Einrichtungen, die in den einzelnen Mitgliedstaaten mit der Erstellung der Gemeinschaftsstatistiken beauftragt sind.",Administrative Law,3,"""nationale Behörden"" im Sinne des Artikels 2 der Verordnung (EG) Nr. 322/97 bezeichneten nationale statistische Institute und andere für die Erstellung von Gemeinschaftsstatistiken in jedem Mitgliedstaat verantwortlichen Stellen.",0.23437429449739314,0.4313415116739216,0.698046088218689
every third working day;,"jeden dritten Arbeitstag,",Administrative Law,1,jeden dritten Werktag;,0.16990442448471224,0.46875,0.9016283750534058
Workers and unemployed workers whose families reside in a Member State other than the competent State,"Arbeitnehmer und Arbeitslose, deren Familienangehörige in einem anderen als dem zuständigen Migliedstaat wohnen",Administrative Law,3,"Arbeiter und arbeitslose Arbeiter, deren Familien in einem anderen Mitgliedstaat als dem zuständigen Staat wohnen",0.12300686288463772,0.7382726108718426,0.3833457827568054
This Directive concerns the methods of testing the biodegradability of anionic surfactants.,Diese Richtlinie betrifft die Methoden zur Kontrolle der biologischen Abbaubarkeit anionischer grenzflächenaktiver Substanzen.,Administrative Law,3,Diese Richtlinie betrifft die Prüfmethode zur Überprüfung der Bioabbaubarkeit von anionischen Tensiden.,0.20595660955382236,0.45661430039641754,0.004583476111292839
"Α.Ε.""), established and operating pursuant to Legislative Decree No 768/1970 (Α'273), Law No 588/1977 (Α'148) and Law No 2669/1998 (Α'283).","Α.Ε.), errichtet und betrieben gemäß Gesetzesdekret 768/1970 (A' Nr. 273), Gesetz 588/1977 (A' Nr. 148) und Gesetz 2669/1998 (A' Nr. 283)",Administrative Law,3,"(„A.E.“), errichtet und tätig aufgrund des Gesetzeserlasses Nr. 768/1970 (Α'273), des Gesetzes Nr. 588/1977 (Α'148) und des Gesetzes Nr. 2669/1998 (Α'283).",0.13218998212375044,0.5525525525525525,0.7450560927391052
"If a derogation was granted for an airport in year N but the airport changes category in year N, then the derogation is no longer valid for that year.","Wurde einem Flughafen im Jahr N eine Ausnahmeregelung gewährt und wechselt dieser Flughafen im Jahr N die Klasse, dann verliert die Ausnahmeregelung für dieses Jahr ihre Gültigkeit.",Administrative Law,0,"Wenn für einen Flughafen in Jahr N eine Abweichung gewährt wurde, aber der Flughafen in Jahr N die Kategorie wechselt, ist die Abweichung für dieses Jahr nicht mehr gültig.",0.07600468978153259,0.5016120079832775,0.5691575407981873
""" RECEPTION PAR TYPE "" IN FRENCH LAW ;","reception par type im französischen Recht,",Administrative Law,1,""" REZEPTION PAR TYPE "" IM FRANZÖSISCHEN RECHT ;",0.0,0.6722222222222223,-1.4993739128112793
Delete one of these as appropriate.,"Nichtzutreffendes bitte streichen. (6) Nichtzutreffendes bitte streichen.""",Administrative Law,0,"Streichen Sie einen davon, wie angebracht.",0.016847111051295396,0.08620689655172413,-1.0633046627044678
