source,reference,translation,sample_size,bleu,meteor,comet,status
"Conditions for the use of blood products, bloodmeal and feedingstuffs containing such proteins of non-ruminant origin in the feeding of farmed fish:","Bedingungen für die Verwendung von Blutprodukten und Blutmehl und von Futtermitteln, die solche von Nichtwiederkäuern gewonnene Proteine enthalten, in der Verfütterung an Zuchtfische:","Bedingungen für die Verwendung von Blutprodukten, Blutmehl und Futtermitteln, die solche Proteine nichtwiederkäuerischer Herkunft in der Fütterung von gezüchteten Fischen enthalten:",10,0.33643776599264835,0.6184908415469518,0.8362546563148499,PASS
"Information, stored in a vehicle unit, related to its last download (requirement 105).",In einer Fahrzeugeinheit gespeicherte Information zu ihrem letzten Herunterladen (Randnummer 105).,"Information, die in einer Fahrzeugeinheit gespeichert sind, im Zusammenhang mit ihrem letzten Download (Anforderung 105).",10,0.0745932224853342,0.7180459639986415,0.7783333659172058,FAIL
"The certificate shall be accompanied by an identification of the actual disclosure of the product, duly certified by that authority.",Der Bescheinigung ist eine von der genannten Stelle beglaubigte Darstellung über die tatsächliche Offenbarung des Erzeugnisses beizufügen.,"Das Zertifikat muss von einer Identifizierung der tatsächlichen Offenlegung des Produkts begleitet werden, die ordnungsgemäß von dieser Behörde zertifiziert wurde.",10,0.012990806323574158,0.13586956521739132,0.7155506014823914,FAIL
"""Auxiliary washing preparation"", intended for soaking (pre-washing), rinsing or bleaching clothes, household linen, etc.;","""Waschhilfsmittel"" zum Einweichen (Vorwaschen), Spülen oder Bleichen von Kleidungsstücken, Haushaltswäsche usw.;","""Hilfswaschzubereitung"", die zum Einweichen (Vorwäsche), Spülen oder Bleichen von Kleidung, Haushaltswäsche usw. bestimmt ist;",10,0.38103910787230955,0.8029961340206186,0.8120824694633484,PASS
"""Community waters"" means the waters under the sovereignty or jurisdiction of the Member States with the exception of waters adjacent to the territories mentioned in Annex II to the Treaty;","""Gemeinschaftsgewässer"": die Gewässer unter der Hoheit oder der Gerichtsbarkeit der Mitgliedstaaten mit Ausnahme der Gewässer um die in Anhang II des Vertrags genannten Gebiete;","""Gewässer der Gemeinschaft"" bedeutet die Gewässer unter der Souveränität oder Gerichtsbarkeit der Mitgliedstaaten mit Ausnahme der Gewässer, die an die in Anhang II des Vertrags genannten Gebiete angrenzen;",10,0.49041180180807975,0.8145050860719875,0.9023705124855042,PASS
Tax assets and tax liabilities should be presented separately from other assets and liabilities in the balance sheet.,Steueransprüche und Steuerschulden sind getrennt von anderen Vermögenswerten und Schulden in der Bilanz darzustellen.,Steuerliche Vermögenswerte und steuerliche Verbindlichkeiten sollten in der Bilanz getrennt von anderen Vermögenswerten und Verbindlichkeiten dargestellt werden.,10,0.28433291815307693,0.6326797385620915,0.858256459236145,PASS
"""The technical and security features for the visa sticker format are contained in, or adopted on the basis of, Council Regulation (EC) No 1683/95 of 29 May 1995 laying down a uniform format for visas(8), as last amended by Regulation (EC) No 334/2002(9).""","""Die technischen Merkmale und die Sicherheitsmerkmale für die Aufkleber der Visummarken finden sich in der Verordnung (EG) Nr. 1683/95 des Rates vom 29. Mai 1995 über eine einheitliche Visumgestaltung(8) in der Fassung der Verordnung (EG) Nr. 334/2002(9) oder werden auf der Grundlage jener Verordnung erlassen.""","""Die technischen und sicherheitsrelevanten Merkmale für das Visumetikettformat sind in der Verordnung (EG) Nr. 1683/95 des Rates vom 29. Mai 1995 zur Festlegung eines einheitlichen Visumformat (8) enthalten oder auf deren Grundlage angenommen, zuletzt geändert durch die Verordnung (EG) Nr. 334/2002 (9).""",10,0.4617683197695835,0.6609874422816432,0.87617427110672,PASS
Additional provisions,Zusatzbestimmungen,Zusätzliche Bestimmungen,10,0.0,0.0,0.9422302842140198,FAIL
Consolidated financial statements,Konzernabschlüsse,Konsolidierte Finanzberichte,10,0.0,0.0,0.7469387650489807,FAIL
"six months, if there has.""","Die Richtlinie 72/461/EWG wird mit Wirkung vom 1. November 1980 wie folgt geändert: a) In Artikel 3 Buchstaben b) und c) wird zwischen die Worte ""Schweinepest"" und ""oder Schweinelähmung"" der Begriff ""vesikuläre Schweinekrankheit"" eingefügt.","sechs Monate, wenn es sie gibt.",10,0.0002403111327265639,0.011848341232227487,0.22827836871147156,FAIL
