source,target,language_pair,legal_category,translation,reference,bleu,meteor,comet
"The application shall show that the applicant exists as a legal person and has the financial and operational capacity to complete the proposed action or work programme, subject to Article 176(4).","Der Antrag dient dem Nachweis der rechtlichen Existenz des Antragstellers sowie seiner finanziellen und operativen Fähigkeit, die vorgeschlagene Maßnahme bzw. das vorgeschlagene Arbeitsprogramm vorbehaltlich des Artikels 176 Absatz 4 vollständig durchzuführen.",en-de,Legal Theory & Latin Terms,"Der Antrag muss nachweisen, dass der Antragsteller als Rechtsperson existiert und über die finanziellen und operativen Kapazitäten verfügt, um die vorgeschlagene Maßnahme oder das Arbeitsprogramm unter Beachtung des Artikels 176 Absatz 4 abzuschließen.","Der Antrag dient dem Nachweis der rechtlichen Existenz des Antragstellers sowie seiner finanziellen und operativen Fähigkeit, die vorgeschlagene Maßnahme bzw. das vorgeschlagene Arbeitsprogramm vorbehaltlich des Artikels 176 Absatz 4 vollständig durchzuführen.",0.18398732411042557,0.4855745087557305,[0.846790611743927]
Article I,Artikel I,en-de,Legal Theory & Latin Terms,Der Artikel I,Artikel I,1.133422688662942e-154,0.8928571428571429,[0.9183644652366638]
I. All persons having completed their compulsory education (having reached school-leaving age) who carried out farm work on the holding under survey during the 12 months up to the survey day.,"I. Alle Personen ab Ende des schulpflichtigen Alters, die in den letzten zwölf Monaten vor dem Tag der Erhebung landwirtschaftliche Arbeiten innerhalb des befragten landwirtschaftlichen Betriebs verrichtet haben.",en-de,Legal Theory & Latin Terms,"Ich. Alle Personen, die ihre Pflichtschulzeit (Schulpflichtalter erreicht haben) abgeschlossen haben und im Rahmen des landwirtschaftlichen Betriebs, der untersucht wird, in den 12 Monaten vor dem Untersuchungstag landwirtschaftliche Arbeiten durchgeführt haben.

Alternatively, a more formal translation could be:

I. Alle Personen, die ihre Vollzeitschulpflicht erfüllt haben (das Schulpflichtalter erreicht haben) und in den 12 Monaten vor dem Erhebungsstichtag auf dem untersuchten landwirtschaftlichen Betrieb landwirtschaftliche Tätigkeiten ausgeübt haben.","I. Alle Personen ab Ende des schulpflichtigen Alters, die in den letzten zwölf Monaten vor dem Tag der Erhebung landwirtschaftliche Arbeiten innerhalb des befragten landwirtschaftlichen Betriebs verrichtet haben.",1.9555523215623503e-78,0.43809523809523815,[0.668881893157959]
"""- the third and fourth paragraphs of Article 6 shall apply from 1 January 2003,"".","""- gilt Artikel 6 Unterabsätze 3 und 4 erst ab 1. Januar 2003,"".",en-de,Legal Theory & Latin Terms,"""- die Absätze 3 und 4 des Artikels 6 finden ab dem 1. Januar 2003 Anwendung,""","""- gilt Artikel 6 Unterabsätze 3 und 4 erst ab 1. Januar 2003,"".",0.22012248449054683,0.6974657995066158,[0.9092833995819092]
Article 28(5) shall apply.,Es gilt Artikel 28 Absatz 5.,en-de,Legal Theory & Latin Terms,Artikel 28 Absatz 5 findet Anwendung.,Es gilt Artikel 28 Absatz 5.,0.4347208719449914,0.6914285714285714,[0.9506049156188965]
It shall be granted only if the official's spouse engages in a gainful activity at least half-time.,"Die Dienstbefreiung wird nur gewährt, wenn der Ehegatte des Beamten zumindest halbzeitlich erwerbstätig ist.",en-de,Legal Theory & Latin Terms,"Es darf nur gewährt werden, wenn der Ehepartner des Amtsträgers mindestens halbtags einer Erwerbstätigkeit nachgeht.","Die Dienstbefreiung wird nur gewährt, wenn der Ehegatte des Beamten zumindest halbzeitlich erwerbstätig ist.",3.271341557643298e-78,0.39421979972113064,[0.7997196316719055]
the structure in which it is presented shall be the same as that of the budget itself;,diese Rechnung folgt der Gliederung des Haushaltsplans;,en-de,Legal Theory & Latin Terms,"Die Struktur, in der sie präsentiert wird, soll der des Haushalts selbst entsprechen; 

Alternatively, a more formal translation would be:
 Die Gliederung, in der sie vorgelegt wird, soll mit der des Haushaltsplans selbst übereinstimmen;",diese Rechnung folgt der Gliederung des Haushaltsplans;,3.4626327315717625e-155,0.3263157894736842,[0.674809455871582]
"Where the difference established in accordance with paragraph 3 of this Article is more than 20 %, the farmer shall be excluded once again from receiving aid up to an amount corresponding to the difference between the number of animals declared and the number of animals determined in accordance with Article 57(3).","Beläuft sich die gemäß Absatz 3 dieses Artikels bestimmte Differenz auf mehr als 20 %, so ist der Betriebsinhaber ein weiteres Mal bis zur Höhe eines Betrags, der der Differenz zwischen der angegebenen Zahl der Tiere und der gemäß Artikel 57 Absatz 3 ermittelten entspricht, von der Beihilfegewährung auszuschließen.",en-de,Legal Theory & Latin Terms,"Hier ist die Übersetzung ins Deutsche:

""Wenn die gemäß Absatz 3 dieses Artikels festgestellte Differenz mehr als 20 % beträgt, ist der Landwirt erneut von der Inanspruchnahme von Beihilfen in Höhe des Betrags ausgeschlossen, der der Differenz zwischen der angegebenen Anzahl von Tieren und der gemäß Artikel 57 Absatz 3 ermittelten Anzahl von Tieren entspricht.""

Oder in einer etwas formelleren Variante:

""Wird die gemäß Absatz 3 dieses Artikels festgestellte Abweichung mehr als 20 % betragen, so gilt der Landwirt als von der Erlangung von Beihilfen in Höhe des Betrags ausgeschlossen, der der Differenz zwischen der angegebenen Tierzahl und der gemäß Artikel 57 Absatz 3 festgestellten Tierzahl entspricht.""","Beläuft sich die gemäß Absatz 3 dieses Artikels bestimmte Differenz auf mehr als 20 %, so ist der Betriebsinhaber ein weiteres Mal bis zur Höhe eines Betrags, der der Differenz zwischen der angegebenen Zahl der Tiere und der gemäß Artikel 57 Absatz 3 ermittelten entspricht, von der Beihilfegewährung auszuschließen.",0.1803343974530791,0.5232308185688523,[0.8011087775230408]
"For the purposes of applying the first subparagraph to ""cooperative groups"", the competent authorities must take into account the public financial commitment of these groups with respect to other financial entities.",Für die Zwecke der Anwendung des Unterabsatzes 1 auf genossenschaftlich organisierte Unternehmensgruppen berücksichtigen die zuständigen Behörden die öffentlichen finanziellen Verpflichtungen dieser Gruppen gegenüber anderen Finanzunternehmen.,en-de,Legal Theory & Latin Terms,"Für die Anwendung des ersten Unterabsatzes auf ""Genossenschaftsgruppen"" müssen die zuständigen Behörden die öffentliche Finanzverpflichtung dieser Gruppen gegenüber anderen Finanzinstituten berücksichtigen.",Für die Zwecke der Anwendung des Unterabsatzes 1 auf genossenschaftlich organisierte Unternehmensgruppen berücksichtigen die zuständigen Behörden die öffentlichen finanziellen Verpflichtungen dieser Gruppen gegenüber anderen Finanzunternehmen.,0.23159998077954416,0.5813953488372093,[0.8774443864822388]
"This includes the target company in the case of a contested bid, in which case the details should be completed as far as is possible.","Bei einem feindlichen Übernahmeangebot gehört hierzu auch das Unternehmen, das übernommen werden soll; hierzu sind Angaben im Bereich des Möglichen zu machen.",en-de,Legal Theory & Latin Terms,"Das umfasst das Zielunternehmen im Falle eines umstrittenen Angebots, in dem die Details so weit wie möglich vervollständigt werden sollten.

Alternatively, a more formal translation could be:

Dies beinhaltet das Zielunternehmen im Falle eines streitigen Angebots, wobei die Einzelheiten soweit wie möglich vervollständigt werden sollten.","Bei einem feindlichen Übernahmeangebot gehört hierzu auch das Unternehmen, das übernommen werden soll; hierzu sind Angaben im Bereich des Möglichen zu machen.",1.0669733992029681e-231,0.10869565217391305,[0.5807816982269287]
