source,reference,category,retrieved_examples,translation,BLEU,METEOR,COMET
"The amendments necessary for adapting the Annexes shall be adopted in accordance with the procedure referred to in Article 12(2), and shall, wherever possible, use European Standards.","Die zur Anpassung der Anhänge erforderlichen Änderungen erfolgen nach dem in Artikel 12 Absatz 2 genannten Verfahren, wenn möglich unter Verwendung europäischer Normen.",Civil Procedure & Litigation,3,"Die zur Anpassung der Anhänge erforderlichen Änderungen werden nach dem Verfahren des Artikels 12 Absatz 2 angenommen und nutzen, wo immer möglich, europäische Normen.",0.3137205373014051,0.7351162995207317,0.7155221104621887
"Technical specification of the index, including revisions to the weighting structure, can be redefined in accordance with the procedure referred to in Article 12(2).","Die technischen Spezifikationen des Index, einschließlich Überarbeitungen der Gewichtungsstruktur, können nach dem in Artikel 12 Absatz 2 genannten Verfahren neu festgelegt werden.",Civil Procedure & Litigation,3,"Die technische Spezifikation des Index, einschließlich Änderungen der Gewichtungsstruktur, kann nach dem in Artikel 12 Absatz 2 genannten Verfahren neu definiert werden.",0.5430321466633391,0.7937500000000002,0.7587152123451233
"NO RELIEF SHALL BE GRANTED FOR ALCOHOLIC PRODUCTS , TOBACCO OR TOBACCO PRODUCTS.","VON DER BEFREIUNG AUSGESCHLOSSEN SIND ALKOHOLISCHE ERZEUGNISSE , TABAK UND TABAKWAREN.",Civil Procedure & Litigation,3,"VON DER BEFREIUNG AUSGESCHLOSSEN SIND ALKOHOLHALTIGE ERZEUGNISSE, TABAKWAREN UND TABAKERZEUGNISSE.",0.3986357128268013,0.7812500000000001,0.9214126467704773
"As regards the procedure for levy of execution in respect of a registered Community design, the courts and authorities of the Member State determined in accordance with Article 27 shall have exclusive jurisdiction.",Für die Zwangsvollstreckungsmaßnahmen gegenüber einem eingetragenen Gemeinschaftsgeschmacksmuster sind die Gerichte und Behörden des nach Artikel 27 maßgebenden Mitgliedstaats ausschließlich zuständig.,Civil Procedure & Litigation,3,"Was das Verfahren für die Zwangsvollstreckung in Bezug auf ein eingetragenes Gemeinschaftsgeschmacksmuster betrifft, so sind die Gerichte und Behörden des durch Artikel 27 bestimmten Mitgliedstaats ausschließlich zuständig.",0.2698809072033866,0.6753312945973498,0.7244400382041931
The information supplied under point (b) of the first subparagraph may be requested only by the Court of Auditors.,Die Informationen nach Unterabsatz 1 Buchstabe b) können nur vom Rechnungshof selbst angefordert werden.,Civil Procedure & Litigation,3,Die nach Buchstabe b des ersten Unterabsatzes übermittelten Informationen können nur vom Rechnungshof angefordert werden.,0.26518122980477765,0.7490754437869823,0.7090838551521301
"The requirements of Articles 5, 6 and 7 of this Directive may be integrated into the procedures provided for in Directive 96/61/EC.","Die Anforderungen der Artikel 5, 6 und 7 der vorliegenden Richtlinie können in die Verfahren gemäß der Richtlinie 96/61/EG integriert werden.",Civil Procedure & Litigation,3,"Die Anforderungen der Artikel 5, 6 und 7 dieser Richtlinie können in die in der Richtlinie 96/61/EG vorgesehenen Verfahren integriert werden.",0.5741865870062566,0.829945652173913,0.827863872051239
the use of procedures without a prior call for competition by virtue of Article 40(3);,"Rückgriff auf Verfahren ohne vorherigen Aufruf zum Wettbewerb gemäß Artikel 40 Absatz 3,",Civil Procedure & Litigation,3,die Anwendung von Verfahren ohne vorherigen Aufruf zum Wettbewerb gemäß Artikel 40 Absatz 3;,0.7012055133086459,0.7798487779145421,0.7472163438796997
"basic knowledge of hygiene and in particular industrial hygiene,","Grundkenntnisse der Hygiene, insbesondere der Betriebshygiene;",Civil Procedure & Litigation,1,Grundkenntnisse der Hygiene und insbesondere der industriellen Hygiene,0.17286039232097053,0.5575,0.8050016760826111
the procedures for limiting the territorial validity of visas;,Modalitäten der räumlichen Beschränkung des Sichtvermerks;,Civil Procedure & Litigation,3,die Verfahren für die Beschränkung der territorialen Geltung von Visa;,0.024808415001701823,0.2027027027027027,-0.3050561547279358
I. Other industrial crops that have not been mentioned elsewhere.,"I. Sonstige Handelsgewächse, die anderweitig nicht genannt sind.",Civil Procedure & Litigation,1,"I. Andere industrielle Nutzpflanzen, die an anderer Stelle nicht erwähnt wurden.",0.04131551591106297,0.3611650485436893,0.2790452837944031
