source,target,language_pair,legal_category,translation,reference,bleu,meteor,comet
"where priority has been claimed pursuant to Articles 8 and 9, either in the application itself or within one month after the date of filing, the other requirements set out in those Articles have not been complied with;","im Fall der Inanspruchnahme der Priorität gemäß Artikel 8 und 9 entweder in der Anmeldung oder innerhalb eines Monats nach dem Anmeldetag die übrigen Erfordernisse der genannten Artikel nicht erfuellt sind, oder",en-de,Bankruptcy Law,"Hier ist die Übersetzung ins Deutsche:

""wo ein Prioritätsrecht gemäß den Artikeln 8 und 9 geltend gemacht wurde, und zwar entweder in der Anmeldung selbst oder innerhalb eines Monats nach dem Anmeldetag, die sonstigen in diesen Artikeln festgelegten Erfordernisse nicht erfüllt wurden;"" 

Oder in einer etwas formelleren Übersetzung:

""Wo das Prioritätsrecht gemäß den Artikeln 8 und 9 in Anspruch genommen wurde, sei es in der Anmeldung selbst oder innerhalb einer Frist von einem Monat nach dem Anmeldetag, die übrigen in diesen Artikeln genannten Anforderungen nicht eingehalten wurden;""","im Fall der Inanspruchnahme der Priorität gemäß Artikel 8 und 9 entweder in der Anmeldung oder innerhalb eines Monats nach dem Anmeldetag die übrigen Erfordernisse der genannten Artikel nicht erfuellt sind, oder",0.10513957301203036,0.4635437551316569,[0.7232040762901306]
"If at the end of this period, interoperability problems still remain, the laboratory in charge of interoperability tests, with the collaboration of the manufacturers concerned and with the type approval authorities who delivered the corresponding functional certificates shall find out the causes of the interoperability faults and establish which modifications should be made by each of the manufacturers concerned.","Liegen am Ende dieses Zeitraums weiterhin Interoperabilitätsprobleme vor, ermittelt die mit den Interoperabilitätsprüfungen betraute Prüfstelle in Zusammenarbeit mit den betreffenden Herstellern und mit den Bauartgenehmigungsbehörden, die die entsprechenden Funktionszertifikate erteilt haben, die Ursachen der Interoperabilitätsfehler und gibt an, welche Änderungen von den einzelnen betroffenen Herstellern vorzunehmen sind.",en-de,Bankruptcy Law,"Wenn am Ende dieser Frist noch Interoperabilitätsprobleme bestehen, wird das für die Interoperabilitätstests verantwortliche Labor in Zusammenarbeit mit den betroffenen Herstellern und den für die Erteilung der entsprechenden Funktionszertifikate zuständigen Typgenehmigungsbehörden die Ursachen der Interoperabilitätsfehler feststellen und darüber entscheiden, welche Änderungen von jedem der betroffenen Hersteller vorgenommen werden sollten.

(Note: I translated ""laboratory in charge of interoperability tests"" to ""Labor für die Interoperabilitätstests"" but a more common translation in German would be ""Prüflabor für Interoperabilität"" or simply ""Interoperabilitätslabor"")

Alternatively:

Wenn am Ende dieser Frist Interoperabilitätsprobleme noch bestehen, hat das Interoperabilitätslabor in Zusammenarbeit mit den beteiligten Herstellern und den zuständigen Typgenehmigungsbehörden, die die entsprechenden Funktionszertifikate ausgestellt haben, die Ursachen der Interoperabilitätsfehler zu ermitteln und festzustellen, welche Änderungen von jedem der beteiligten Hersteller vorgenommen werden müssen.","Liegen am Ende dieses Zeitraums weiterhin Interoperabilitätsprobleme vor, ermittelt die mit den Interoperabilitätsprüfungen betraute Prüfstelle in Zusammenarbeit mit den betreffenden Herstellern und mit den Bauartgenehmigungsbehörden, die die entsprechenden Funktionszertifikate erteilt haben, die Ursachen der Interoperabilitätsfehler und gibt an, welche Änderungen von den einzelnen betroffenen Herstellern vorzunehmen sind.",0.10480435128681533,0.4901042020037542,[0.7612379193305969]
"For the purposes of this Directive ""putting into circulation"" means any handing over, whether in return for payment or free of charge, of the products referred to in Article 1, after they have been harvested.","Inverkehrbringen im Sinne dieser Richtlinie ist jede entgeltliche oder unentgeltliche Abgabe der von Artikel 1 erfaßten Erzeugnisse, nachdem sie geerntet worden sind.",en-de,Bankruptcy Law,"Für die Zwecke dieser Richtlinie bedeutet ""Inverkehrbringen"" jedes Inbesitzgeben, unabhängig davon, ob entgeltlich oder unentgeltlich, der in Artikel 1 genannten Erzeugnisse, nachdem sie geerntet wurden.","Inverkehrbringen im Sinne dieser Richtlinie ist jede entgeltliche oder unentgeltliche Abgabe der von Artikel 1 erfaßten Erzeugnisse, nachdem sie geerntet worden sind.",0.1525997183583147,0.6048387096774195,[0.8493050932884216]
where the amount receivable cannot be recovered in view of its age or the insolvency of the debtor;,wenn sich die Einziehung aufgrund des Alters der Forderung oder wegen Zahlungsunfähigkeit des Schuldners als unmöglich erweist;,en-de,Bankruptcy Law,"in dem der Betrag nicht mehr einbringlich ist aufgrund seines Alters oder der Insolvenz des Schuldners;

Alternatively, a more formal and official translation:

 wo der Betrag aufgrund seines Alters oder der Insolvenz des Schuldners nicht mehr beigetrieben werden kann; 

Or 

 wo der Betrag wegen seines Alters oder der Insolvenz des Schuldners uneinbringlich ist; 

Note: The term ""uneinbringlich"" is often used in formal and official contexts to describe a debt that cannot be recovered.",wenn sich die Einziehung aufgrund des Alters der Forderung oder wegen Zahlungsunfähigkeit des Schuldners als unmöglich erweist;,2.8445256669078403e-155,0.23834719072814314,[0.4543091356754303]
Whereas a common list of exemptions should be drawn up so that the Communities' own resources may be collected in a uniform manner in all the Member States;,"Im Hinblick auf eine gleichmäßige Erhebung der eigenen Mittel in allen Mitgliedstaaten ist es erforderlich, eine gemeinsame Liste der Steuerbefreiungen aufzustellen.",en-de,Bankruptcy Law,"Während eine gemeinsame Liste der Befreiungen aufgestellt werden sollte, damit die eigenen Mittel der Gemeinschaft einheitlich in allen Mitgliedstaaten erhoben werden können;","Im Hinblick auf eine gleichmäßige Erhebung der eigenen Mittel in allen Mitgliedstaaten ist es erforderlich, eine gemeinsame Liste der Steuerbefreiungen aufzustellen.",0.16692486522015718,0.4375514292869665,[0.666749894618988]
"the consequences of an absence of objection or default of appearance, in particular, where applicable, the possibility that a judgment may be given or enforced against the debtor and the liability for costs related to the court proceedings.","auf die Konsequenzen des Nichtbestreitens oder des Nichterscheinens, insbesondere die etwaige Möglichkeit einer Entscheidung oder ihrer Vollstreckung gegen den Schuldner und der Verpflichtung zum Kostenersatz.",en-de,Bankruptcy Law,"Die Folgen eines Unterlassens des Widerspruchs oder des Ausbleibens, insbesondere, wo anwendbar, die Möglichkeit, dass ein Urteil gegen den Schuldner ergehen oder vollstreckt werden kann und die Haftung für die Kosten im Zusammenhang mit dem Gerichtsverfahren.

Alternatively, a more formal and legal translation would be:

Die Rechtsfolgen des Unterlassens eines Widerspruchs oder des Nichterscheinens, insbesondere, soweit anwendbar, die Möglichkeit, dass ein Versäumnisurteil gegen den Schuldner ergeht oder vollstreckt wird, sowie die Haftung für die Kosten des Gerichtsverfahrens.

Note: Versäumnisurteil is a specific term in German law that refers to a default judgment, which is a judgment entered against a party who has failed to appear or respond to a lawsuit.","auf die Konsequenzen des Nichtbestreitens oder des Nichterscheinens, insbesondere die etwaige Möglichkeit einer Entscheidung oder ihrer Vollstreckung gegen den Schuldner und der Verpflichtung zum Kostenersatz.",0.04160842582702568,0.27419451972297504,[0.6388092041015625]
"High intensity discharge lamps, including pressure sodium lamps and metal halide lamps","Entladungslampen, einschließlich Hochdruck-Natriumdampflampen und Metalldampflampen",en-de,Bankruptcy Law,"Entladungslampen mit hoher Intensität, einschließlich Natriumdampflampen unter Druck und Metallhalogenidlampen.

Alternatively, a more common translation in the context of lighting technology would be:

Hochdruck-Entladungslampen, einschließlich Natriumdampf-Hochdrucklampen und Metallhalogenid-Hochdrucklampen.","Entladungslampen, einschließlich Hochdruck-Natriumdampflampen und Metalldampflampen",3.6449283809869995e-155,0.3586647727272727,[0.6245115995407104]
"where, in the event of the insolvency of the related credit institution, the said sums are intended, as a priority, to repay the capital and interest falling due, without prejudice to the provisions of Directive 2001/24/EC of the European Parliament and of the Council of 4 April 2001 on the reorganisation and winding up of credit institutions(14).",sofern diese Erlöse im Falle der Insolvenz des betreffenden Kreditinstituts unbeschadet der Bestimmungen der Richtlinie 2001/24/EG des Europäischen Parlaments und des Rates vom 4. April 2001 über die Sanierung und Liquidation von Kreditinstituten(14) vorrangig zur Rückzahlung des Kapitals und der aufgelaufenen Zinsen bestimmt sind.,en-de,Bankruptcy Law,"Wo im Falle der Insolvenz des verbundenen Kreditinstituts die genannten Beträge vorrangig zur Rückzahlung des fälligen Kapitals und Zinses bestimmt sind, ohne Vorurteil gegen die Bestimmungen der Richtlinie 2001/24/EG des Europäischen Parlaments und des Rates vom 4. April 2001 über die Sanierung und Liquidation von Kreditinstituten(14).

Alternatively, a more formal translation might be:

Wo die genannten Beträge im Falle der Insolvenz des verbundenen Kreditinstituts mit Vorrang zur Tilgung des ausstehenden Kapitals und der ausstehenden Zinsen verwendet werden sollen, unbeschadet der Bestimmungen der Richtlinie 2001/24/EG des Europäischen Parlaments und des Rates vom 4. April 2001 über die Sanierung und Liquidation von Kreditinstituten(14).",sofern diese Erlöse im Falle der Insolvenz des betreffenden Kreditinstituts unbeschadet der Bestimmungen der Richtlinie 2001/24/EG des Europäischen Parlaments und des Rates vom 4. April 2001 über die Sanierung und Liquidation von Kreditinstituten(14) vorrangig zur Rückzahlung des Kapitals und der aufgelaufenen Zinsen bestimmt sind.,0.2989822248635936,0.7271538141387718,[0.7783404588699341]
each of the following items which the credit institution holds in respect of the entities defined in point (15) in which it holds a participation:,"Die folgenden Posten des Kreditinstituts in Bezug auf die unter Nummer 15 genannten Unternehmen, an denen es eine Beteiligung hält:",en-de,Bankruptcy Law,"Jeder der folgenden Posten, den das Kreditinstitut hinsichtlich der in Ziffer (15) definierten Einheiten hält, an denen es eine Beteiligung hält:

 Alternatively, a more formal translation could be:
 Jeder der folgenden Posten, den das Kreditinstitut in Bezug auf die in Artikel 15 definierten Unternehmen hält, an denen es eine Beteiligung hält:

Or in a more precise and technical translation:
 Jeder der folgenden Positionen, die das Kreditinstitut in Bezug auf die in Artikel 15 definierten verbundenen Unternehmen hält, an denen es eine direkte oder indirekte Beteiligung hält.","Die folgenden Posten des Kreditinstituts in Bezug auf die unter Nummer 15 genannten Unternehmen, an denen es eine Beteiligung hält:",0.09733750839452107,0.535100256856409,[0.6240385174751282]
Exemptions,Ausnahmen,en-de,Bankruptcy Law,"Die Übersetzung von ""Exemptions"" ins Deutsche lautet:

""Befreiungen""

Alternativ kann je nach Kontext auch eine andere Übersetzung verwendet werden, wie z.B.:

* ""Ausnahmen""
* ""Freistellungen""
* ""Ermäßigungen""

Die genaue Übersetzung hängt vom spezifischen Kontext ab, in dem das Wort ""Exemptions"" verwendet wird.",Ausnahmen,6.545917251136179e-232,0.07246376811594205,[0.518428385257721]
