source,target,language_pair,legal_category,translation,reference,bleu,meteor,comet
"The amendments necessary for adapting the Annexes shall be adopted in accordance with the procedure referred to in Article 12(2), and shall, wherever possible, use European Standards.","Die zur Anpassung der Anhänge erforderlichen Änderungen erfolgen nach dem in Artikel 12 Absatz 2 genannten Verfahren, wenn möglich unter Verwendung europäischer Normen.",en-de,Civil Procedure & Litigation,"Die erforderlichen Änderungen zur Anpassung der Anlagen werden gemäß dem in Artikel 12 Absatz 2 genannten Verfahren erlassen und nutzen, wo immer möglich, Europäische Normen.","Die zur Anpassung der Anhänge erforderlichen Änderungen erfolgen nach dem in Artikel 12 Absatz 2 genannten Verfahren, wenn möglich unter Verwendung europäischer Normen.",0.3446073377034663,0.7322107014989108,[0.8697940707206726]
"Technical specification of the index, including revisions to the weighting structure, can be redefined in accordance with the procedure referred to in Article 12(2).","Die technischen Spezifikationen des Index, einschließlich Überarbeitungen der Gewichtungsstruktur, können nach dem in Artikel 12 Absatz 2 genannten Verfahren neu festgelegt werden.",en-de,Civil Procedure & Litigation,"Hier ist die Übersetzung ins Deutsche:

""Die technische Spezifikation des Index, einschließlich Änderungen an der Gewichtungsstruktur, kann gemäß dem in Artikel 12 Absatz 2 genannten Verfahren neu definiert werden.""","Die technischen Spezifikationen des Index, einschließlich Überarbeitungen der Gewichtungsstruktur, können nach dem in Artikel 12 Absatz 2 genannten Verfahren neu festgelegt werden.",0.34889295435112555,0.7241103771574686,[0.8540393114089966]
"NO RELIEF SHALL BE GRANTED FOR ALCOHOLIC PRODUCTS , TOBACCO OR TOBACCO PRODUCTS.","VON DER BEFREIUNG AUSGESCHLOSSEN SIND ALKOHOLISCHE ERZEUGNISSE , TABAK UND TABAKWAREN.",en-de,Civil Procedure & Litigation,"Keine Erleichterungen werden für alkoholische Produkte, Tabak oder Tabakprodukte gewährt.

Alternatively, a more formal translation could be:

Keinerlei Erleichterungen sind für alkoholische Erzeugnisse, Tabakerzeugnisse oder tabakhaltige Produkte vorgesehen. 

Or, in an even more formal tone:

Für alkoholische Produkte, Tabak oder Tabakwaren ist keine Befreiung oder Erleichterung zu gewähren.","VON DER BEFREIUNG AUSGESCHLOSSEN SIND ALKOHOLISCHE ERZEUGNISSE , TABAK UND TABAKWAREN.",7.850707993042515e-232,0.3205007530120482,[0.37545618414878845]
"As regards the procedure for levy of execution in respect of a registered Community design, the courts and authorities of the Member State determined in accordance with Article 27 shall have exclusive jurisdiction.",Für die Zwangsvollstreckungsmaßnahmen gegenüber einem eingetragenen Gemeinschaftsgeschmacksmuster sind die Gerichte und Behörden des nach Artikel 27 maßgebenden Mitgliedstaats ausschließlich zuständig.,en-de,Civil Procedure & Litigation,In Bezug auf das Verfahren der Zwangsvollstreckung hinsichtlich eines eingetragenen Gemeinschaftsgeschmacksmusters haben die Gerichte und Behörden des nach Artikel 27 bestimmten Mitgliedstaats die ausschließliche Zuständigkeit.,Für die Zwangsvollstreckungsmaßnahmen gegenüber einem eingetragenen Gemeinschaftsgeschmacksmuster sind die Gerichte und Behörden des nach Artikel 27 maßgebenden Mitgliedstaats ausschließlich zuständig.,0.28949230658291597,0.6104651162790696,[0.867811381816864]
The information supplied under point (b) of the first subparagraph may be requested only by the Court of Auditors.,Die Informationen nach Unterabsatz 1 Buchstabe b) können nur vom Rechnungshof selbst angefordert werden.,en-de,Civil Procedure & Litigation,Die unter Buchstabe b des ersten Unterabsatzes bereitgestellten Informationen dürfen nur vom Rechnungshof angefordert werden.,Die Informationen nach Unterabsatz 1 Buchstabe b) können nur vom Rechnungshof selbst angefordert werden.,5.072841446586652e-78,0.6317148760330579,[0.8842516541481018]
"The requirements of Articles 5, 6 and 7 of this Directive may be integrated into the procedures provided for in Directive 96/61/EC.","Die Anforderungen der Artikel 5, 6 und 7 der vorliegenden Richtlinie können in die Verfahren gemäß der Richtlinie 96/61/EG integriert werden.",en-de,Civil Procedure & Litigation,"Die Anforderungen der Artikel 5, 6 und 7 dieser Richtlinie können in die in der Richtlinie 96/61/EG vorgesehenen Verfahren integriert werden.","Die Anforderungen der Artikel 5, 6 und 7 der vorliegenden Richtlinie können in die Verfahren gemäß der Richtlinie 96/61/EG integriert werden.",0.5741865870062566,0.829945652173913,[0.950192391872406]
the use of procedures without a prior call for competition by virtue of Article 40(3);,"Rückgriff auf Verfahren ohne vorherigen Aufruf zum Wettbewerb gemäß Artikel 40 Absatz 3,",en-de,Civil Procedure & Litigation,"Die Anwendung von Verfahren ohne vorherige Ausschreibung gemäß Artikel 40 Absatz 3; 

Alternatively, a more fluent translation would be:

Die Anwendung von Verfahren ohne vorherige Vergabeverfahren gemäß Artikel 40 Absatz 3;

Note: ""Vergabeverfahren"" is a more common term in German for ""call for competition"" or ""procurement procedure"" in this context.","Rückgriff auf Verfahren ohne vorherigen Aufruf zum Wettbewerb gemäß Artikel 40 Absatz 3,",0.06506862264367298,0.41431183510638303,[0.4206699728965759]
"basic knowledge of hygiene and in particular industrial hygiene,","Grundkenntnisse der Hygiene, insbesondere der Betriebshygiene;",en-de,Civil Procedure & Litigation,"Die Übersetzung ins Deutsche lautet:

""Grundkenntnisse in Hygiene und insbesondere industrieller Hygiene,""

Alternativ könnte man auch übersetzen:

""Grundlagenwissen über Hygiene, insbesondere über industrielle Hygiene"" 

Oder 

"" Grundlegende Kenntnisse der Hygiene, insbesondere der industriellen Hygiene"" 

 Alle drei Übersetzungen sind korrekt, je nach Kontext und gewünschtem Stil kann man die eine oder andere Variante wählen.","Grundkenntnisse der Hygiene, insbesondere der Betriebshygiene;",0.054561239844690364,0.3112327656123277,[0.6856746077537537]
the procedures for limiting the territorial validity of visas;,Modalitäten der räumlichen Beschränkung des Sichtvermerks;,en-de,Civil Procedure & Litigation,"Die Verfahren zur Einschränkung der territoriale Gültigkeit von Visa; 

Alternatively, a more natural translation would be:
Die Verfahren zur Beschränkung des räumlichen Geltungsbereichs von Visa;

Or, even more concise:
Die Verfahren zur territorialen Beschränkung von Visa;",Modalitäten der räumlichen Beschränkung des Sichtvermerks;,3.421647610625111e-155,0.23584905660377362,[0.4762992262840271]
I. Other industrial crops that have not been mentioned elsewhere.,"I. Sonstige Handelsgewächse, die anderweitig nicht genannt sind.",en-de,Civil Procedure & Litigation,"Ich übersetze:

I. Andere industrielle Nutzpflanzen, die ansonsten nicht erwähnt wurden.

Alternativ könnte man auch übersetzen:

I. Sonstige industrielle Pflanzen, die nicht anderswo genannt sind.

Beide Übersetzungen sind möglich, aber die erste Variante klingt ein wenig formeller und passt besser in einen offiziellen Kontext.","I. Sonstige Handelsgewächse, die anderweitig nicht genannt sind.",1.5222560943087786e-78,0.3746698943661972,[0.5069745182991028]
