source,target,legal_entity,BLEU,METEOR,COMET,term
Opinion delivered on 22 April 2004 (not yet published in the Official Journal).,Stellungnahme vom 22. April 2004 (noch nicht im Amtsblatt veröffentlicht).,"official, journal, opinion",0.08012120435729668,0.39612676056338025,0.979169487953186,journal
Opinion delivered on 11 March 2004 (not yet published in the Official Journal).,Stellungnahme vom 11. März 2004 (noch nicht im Amtsblatt veröffentlicht).,"official, journal, opinion",0.03889818545474848,0.31408450704225355,0.9787279367446899,journal
Opinion of 9 April 2002 (not yet published in the Official Journal).,Stellungnahme vom 9. April 2002 (noch nicht im Amtsblatt veröffentlicht).,"official, journal, opinion",0.08609583710384033,0.3989361702127659,0.9800428748130798,journal
"The following list reflects wine names established and protected in the Hellenic Republic in the ""Εφημεριδα της Κυβερνησεως"" (""Official Journal"").","Das nachstehende Verzeichnis enthät die Weinnamen, die in Griechenland gemäß dem ""Εφημερίδα της Κυβερνησέως"" (Amtsblatt) festgelegt und geschützt sind.","official, journal",0.02019074850994527,0.13888888888888892,0.9491538405418396,journal
See page 1 of this Official Journal.,(2)Siehe Seite 1 dieses Amtsblatts.,"official, journal",0.02915032279375143,0.11235955056179774,0.9788510203361511,journal
Opinion delivered on 22 April 2004 (not yet published in the Official Journal).,Stellungnahme vom 22. April 2004 (noch nicht im Amtsblatt veröffentlicht).,"official, journal, opinion",0.08012120435729668,0.39612676056338025,0.979169487953186,official
The report shall be communicated to the official.,Die Beurteilung wird dem Beamten bekanntgegeben.,official,0.023980296761827107,0.06944444444444445,0.9733899831771851,official
in respect of overtime: a statement signed by the authorised official or other servant certifying the amount of overtime worked;,"für Überstunden: eine von dem entsprechend ermächtigten Beamten oder sonstigen Bediensteten unterzeichnete Aufstellung, aus der die Zahl der geleisteten Überstunden hervorgeht;","official, servant",0.009433433436019531,0.04201680672268908,0.9468606114387512,official
"the same words in the other official languages of the Community, printed to form the background of the card:","die gleichen Wörter in den anderen Gemeinschaftssprachen, und zwar so gedruckt, dass sie den Hintergrund der Karte bilden:",official,0.012021577610863726,0.07142857142857142,0.9446919560432434,official
"In this case, the official may be transferred to a different post.",In diesem Fall kann der Beamte auf einen anderen Dienstposten versetzt werden.,"official, case, post",0.0169861974906263,0.07633587786259544,0.9719335436820984,official
Opinion delivered on 22 April 2004 (not yet published in the Official Journal).,Stellungnahme vom 22. April 2004 (noch nicht im Amtsblatt veröffentlicht).,"official, journal, opinion",0.08012120435729668,0.39612676056338025,0.979169487953186,opinion
"Having regard to the opinion of the European Economic and Social Committee,","nach Stellungnahme des Wirtschafts- und Sozialausschusses,",opinion,0.01553712569276035,0.06578947368421054,0.9682093262672424,opinion
"The measures provided for in this Decision are in accordance with the opinion of the Programme Committee issued,",Die in diesem Beschluss vorgesehenen Maßnahmen entsprechen der Stellungnahme des Programmausschusses -,"opinion, decision",0.010182425646195498,0.03937007874015748,0.9581519961357117,opinion
"The measures provided for in this Decision are in accordance with the opinion of the Standing Committee on Seeds and Propagating Material for Agriculture, Horticulture and Forestry,","Die in dieser Entscheidung vorgesehenen Maßnahmen entsprechen der Stellungnahme des Ständigen Ausschusses für das landwirtschaftliche, gartenbauliche und forstliche Saat- und Pflanzgutwesen -","material, opinion, agriculture, standing, decision",0.007696339439306161,0.04237288135593221,0.9313684701919556,opinion
"Having regard to the opinion of the European Central Bank(1),","nach Stellungnahme der Europäischen Zentralbank(1),","opinion, bank",0.1777835117834348,0.41776315789473684,0.9748480916023254,opinion
"In the event of a polygamous marriage, where the sponsor already has a spouse living with him in the territory of a Member State, the Member State concerned shall not authorise the family reunification of a further spouse.","Lebt im Falle einer Mehrehe bereits ein Ehegatte gemeinsam mit dem Zusammenführenden im Hoheitsgebiet eines Mitgliedstaats, so gestattet der betreffende Mitgliedstaat nicht die Familienzusammenführung eines weiteren Ehegatten.","state, member, marriage, sponsor, family",0.005355924989097696,0.033112582781456956,0.9450660347938538,family
