legal_term,legal_category,defination,root_word
a fortiori,Legal Theory & Latin Terms,"A fortiori refers to an argument based on an even stronger previous argument. In Latin, the term literally means ‘ from [the] stronger .’",a fortiori
a posteriori,Legal Theory & Latin Terms,"A posteriori is used to describe knowledge gained from experience or actual observation. It is a Latin phrase that means "" from what is later .” This is generally used to mean after the facts .",a posteriori
a priori,Legal Theory & Latin Terms,"A priori refers to an assertion based on prior knowledge or intuition. In Latin, the term literally means “ from what is earlier .” An a priori determination is formed before investigation. For example, assuming that the road will be wet when it stops raining a minute before would be a priori reasoning.",a priori
a priori assumption,Legal Theory & Latin Terms,"An a priori assumption is an assumption that is presumed to be true without any assessment of the facts or without further proof . A priori is a Latin term that refers to a theoretical deduction made on a subject without a precise and detailed observation of the objective elements at hand. On the contrary, a posteriori refers to the reasoning that stems from the observation of known facts or past events, rather than the making of an a priori assumption or prediction, i.e. before conducting such observation.",a priori assumption
a.k.a.,Legal Theory & Latin Terms,A.K.A. is the abbreviation of “also known as.” It is often used to specify a party’s aliases or nicknames in a case .,a.k.a.
A/R,Legal Theory & Latin Terms,A/R is the abbreviation for accounts receivable .,a/r
ab initio,Legal Theory & Latin Terms,"Ab initio is a Latin term that means ""from the beginning” or “from inception.” Ab initio is used to indicate that some fact existed from the start of a relevant time period. It is often used as part of the phrase “void ab initio,” meaning something (such as a marriage) was void from the beginning.",ab initio
ab intestato,Legal Theory & Latin Terms,"Ab intestato is a Latin term meaning ""by intestacy ."" The term refers to laws governing the succession of property after the previous owner of the property dies without a valid will .",ab intestato
AB Trust,Family Law & Estates/Trusts,An AB trust (also called a bypass trust or a credit shelter trust ) is a technique which allows married couples to avoid estate taxes on transfers of wealth to third parties up to a certain amount. It can be implemented through terms in each spouse’s will or through a living trust .,ab trust
ABA,Legal Theory & Latin Terms,ABA is an abbreviation for American Bar Association (ABA) .,aba
abandon,Legal Theory & Latin Terms,"Abandon refers to the act of abandonment . A party can “abandon” in multiple fields of law and abandoning generally, though not always, involves voluntarily giving up a right.",abandon
abandoned application,Legal Theory & Latin Terms,"An “abandoned application” refers to the abandonment of a patent or trademark application.  An application is removed from the docket of pending applications at the U.S. Patent and Trademark Office when the applicant (either directly or through their attorney or agent) files an express notice of abandonment, does not pay the issue fee, or does not take appropriate action sometime during the prosecution of a nonprovisional application . An abandoned application may be revived upon petition .",abandoned application
abandoned property,Property & Real Estate Law,Abandoned property is personal property that was left by an owner who intentionally relinquishes all rights to its control. Real property may not be abandoned (see also adverse possession ).,abandoned property
abandonment,Legal Theory & Latin Terms,"Abandonment is a term that generally refers to a voluntary parting or the discarding of an object with no intent to return or reclaim the item. However, it varies in application across different areas of the law. These areas include family law , civil procedure , and real property (also known as land law).",abandonment
abandonment (of residence),Legal Theory & Latin Terms,"Abandonment (of Residence) is a determination by the U.S. Customs and Immigration Services (USCIS) that a permanent resident has surrendered their status as a lawful permanent resident (LPR) . According to the USCIS , applicants are not eligible for naturalization if they have abandoned their lawful permanent resident (LPR) status. The reason abandonment affects the naturalization process is because naturalization requires continuous residence in the U.S. The intent of a LPR is a key factor in the USCIS's determination of whether the LPR has abandoned their permanent residence in the U.S. The final determination about whether an LPR has abandoned their LPR status is made by an immigration judge.",abandonment (of residence)
abandonment (of trademark),Intellectual Property (IP),"Abandonment of a trademark occurs when the owner of the trademark deliberately ceases to use the trademark for three or more years, with no intention of using the trademark again in the future.  When a trademark is abandoned, the trademark owner may no longer claim rights to the trademark.  In effect, this frees the trademark so that anyone else can use it without recourse from the original trademark owner.",abandonment (of trademark)
abate,Legal Theory & Latin Terms,To abate means to eliminate or to nullify.,abate
abatement,Legal Theory & Latin Terms,Abatement is the act of reducing or nullifying something. Multiple subjects throughout law are subject to abatement and the term appears in many locations.,abatement
abatement ab initio,Legal Theory & Latin Terms,"Abatement ab initio is a rule in criminal law which negates a conviction if the defendant died before they could exhaust all appeals . In People v. Mount , the California Court of Appeals described the rule as dismissing or remanding a criminal conviction “when a defendant dies while his or her direct appeal is pending.” It states that the rationale of the rule is that “when an appeal has been taken from a criminal conviction to the court of appeals and death has deprived the accused of his right to our decision, the interests of justice ordinarily require that the defendant not stand convicted without resolution of the merits of his or her appeal.” There, however, the Court refused to apply the rule because the decedent died in a collateral proceeding and not on direct appeal of his conviction.",abatement ab initio
abatement clause,Legal Theory & Latin Terms,An abatement clause is defined as a provision in a lease agreement that releases the tenant from paying rent if an act of God makes occupancy impossible or otherwise precludes the property from being used.,abatement clause
ABC test,Legal Theory & Latin Terms,The ABC test is used in some states to determine whether a person is an employee or an independent contractor for the purpose of determining state unemployment tax. Some courts using this test look at whether a worker meets three separate criteria to be considered an independent contractor:,abc test
abduction,Criminal Law & Procedure,"Abduction refers to the criminal taking or capture of an individual against their will or without their consent , generally by means of persuasion, fraud or force. Abduction and kidnapping are often used interchangeably but the specific elements of criminal abductions can vary by jurisdiction. For example, in Virginia § 18.2-47 which states that “Any person who, by force, intimidation or deception , and without legal justification or excuse, seizes, takes, transports, detains or secretes another person with the intent to deprive such other person of [their] personal liberty or to withhold or conceal [them] from any person, authority or institution lawfully entitled to [their] charge, shall be deemed guilty of ‘abduction.’”",abduction
Abercrombie classification,Legal Theory & Latin Terms,"Abercrombie classification, taking its name from the case Abercrombie & Fitch Co. v. Hunting World Inc . , is a system designating how distinct a given trademark is for the purposes of intellectual property law. This system categorizes potential trademarks into 4 tiers of ascending trademark protection under the Lanham Act :",abercrombie classification
abet,Criminal Law & Procedure,"Abet refers to criminally assisting another person in the commission of a crime including planning a crime, escaping from a crime, or in the actual commission of the crime.",abet
abeyance,Legal Theory & Latin Terms,An abeyance is a temporary suspension of activity while awaiting the resolution of some other proceeding without which the activity in abeyance cannot continue.,abeyance
able to work,Legal Theory & Latin Terms,The definition of “able to work” is defined as capable of employment .  A person who is able to work is ineligible to receive unemployment benefits on the basis of illness or injury.,able to work
abnormally dangerous activity,Legal Theory & Latin Terms,"In tort law, an abnormally dangerous activity is an activity that is ""not common usage"" and creates a foreseeable and very significant risk of physical harm, even when reasonable care is exercised by all parties. A person who is found by a court to have carried on an abnormally dangerous activity will be subject to strict liability for any physical harm resulting from that activity.",abnormally dangerous activity
abortion,Legal Theory & Latin Terms,Abortion is the voluntary termination of a pregnancy.,abortion
abrogate,Legal Theory & Latin Terms,"To abrogate is to formally annul or repeal a law through an act of legislation , constitutional authority, or custom. For example, the Supreme Court of Michigan explained in Ferency v. Secretary of State that “an existing constitutional provision is altered or abrogated if a proposed amendment would add to, delete from, or change existing wording of the provision, or would render it fully inoperative.”",abrogate
