source,target,language_pair,legal_category,translation,reference,bleu,meteor,comet
"The amendments necessary for adapting the Annexes shall be adopted in accordance with the procedure referred to in Article 12(2), and shall, wherever possible, use European Standards.","Die zur Anpassung der Anhänge erforderlichen Änderungen erfolgen nach dem in Artikel 12 Absatz 2 genannten Verfahren, wenn möglich unter Verwendung europäischer Normen.",en-de,Civil Procedure & Litigation,"Die erforderlichen Änderungen zur Anpassung der Anlagen werden nach dem in Artikel 12 Absatz 2 genannten Verfahren erlassen und nutzen, wo immer möglich, europäische Normen.

(Note: This translation is formal and suitable for official or technical documents. If you need a more casual translation, please let me know.)","Die zur Anpassung der Anhänge erforderlichen Änderungen erfolgen nach dem in Artikel 12 Absatz 2 genannten Verfahren, wenn möglich unter Verwendung europäischer Normen.",0.1843270990092749,0.6865248226950355,[0.6000167727470398]
"Technical specification of the index, including revisions to the weighting structure, can be redefined in accordance with the procedure referred to in Article 12(2).","Die technischen Spezifikationen des Index, einschließlich Überarbeitungen der Gewichtungsstruktur, können nach dem in Artikel 12 Absatz 2 genannten Verfahren neu festgelegt werden.",en-de,Civil Procedure & Litigation,"Die technische Spezifikation des Index, einschließlich Änderungen an der Gewichtungsstruktur, kann gemäß dem in Artikel 12 Absatz 2 genannten Verfahren neu definiert werden.","Die technischen Spezifikationen des Index, einschließlich Überarbeitungen der Gewichtungsstruktur, können nach dem in Artikel 12 Absatz 2 genannten Verfahren neu festgelegt werden.",0.4772894233335957,0.7500744942667005,[0.9090567827224731]
"NO RELIEF SHALL BE GRANTED FOR ALCOHOLIC PRODUCTS , TOBACCO OR TOBACCO PRODUCTS.","VON DER BEFREIUNG AUSGESCHLOSSEN SIND ALKOHOLISCHE ERZEUGNISSE , TABAK UND TABAKWAREN.",en-de,Civil Procedure & Litigation,"Keine Erleichterungen werden für alkoholische Produkte, Tabak oder tabakhaltige Erzeugnisse gewährt.

Alternatively, a more formal translation would be:

Für alkoholische Erzeugnisse, Tabak oder Tabakwaren darf keine Entlastung gewährt werden.","VON DER BEFREIUNG AUSGESCHLOSSEN SIND ALKOHOLISCHE ERZEUGNISSE , TABAK UND TABAKWAREN.",8.90735602648238e-232,0.39335664335664333,[0.42491644620895386]
"As regards the procedure for levy of execution in respect of a registered Community design, the courts and authorities of the Member State determined in accordance with Article 27 shall have exclusive jurisdiction.",Für die Zwangsvollstreckungsmaßnahmen gegenüber einem eingetragenen Gemeinschaftsgeschmacksmuster sind die Gerichte und Behörden des nach Artikel 27 maßgebenden Mitgliedstaats ausschließlich zuständig.,en-de,Civil Procedure & Litigation,"Hinsichtlich des Verfahrens für die Vollstreckung in Bezug auf ein eingetragenes Gemeinschaftsgeschmacksmuster haben die Gerichte und Behörden des gemäß Artikel 27 bestimmten Mitgliedstaats ausschließliches Gerichtsbarkeitsrecht. 

Note: 
- ""As regards"" is translated to ""Hinsichtlich""
- ""procedure for levy of execution"" is translated to ""Verfahren für die Vollstreckung""
- ""in respect of"" is translated to ""in Bezug auf""
- ""registered Community design"" is translated to ""eingetragenes Gemeinschaftsgeschmacksmuster""
- ""courts and authorities"" is translated to ""Gerichte und Behörden""
- ""of the Member State determined in accordance with Article 27"" is translated to ""des gemäß Artikel 27 bestimmten Mitgliedstaats""
- ""shall have exclusive jurisdiction"" is translated to ""haben ausschließliches Gerichtsbarkeitsrecht""",Für die Zwangsvollstreckungsmaßnahmen gegenüber einem eingetragenen Gemeinschaftsgeschmacksmuster sind die Gerichte und Behörden des nach Artikel 27 maßgebenden Mitgliedstaats ausschließlich zuständig.,0.031689924603484194,0.30896677287209834,[0.4120887517929077]
The information supplied under point (b) of the first subparagraph may be requested only by the Court of Auditors.,Die Informationen nach Unterabsatz 1 Buchstabe b) können nur vom Rechnungshof selbst angefordert werden.,en-de,Civil Procedure & Litigation,Die in Buchstabe b des ersten Unterabsatzes genannten Informationen dürfen nur vom Rechnungshof angefordert werden.,Die Informationen nach Unterabsatz 1 Buchstabe b) können nur vom Rechnungshof selbst angefordert werden.,5.072841446586652e-78,0.6317148760330579,[0.9048530459403992]
"The requirements of Articles 5, 6 and 7 of this Directive may be integrated into the procedures provided for in Directive 96/61/EC.","Die Anforderungen der Artikel 5, 6 und 7 der vorliegenden Richtlinie können in die Verfahren gemäß der Richtlinie 96/61/EG integriert werden.",en-de,Civil Procedure & Litigation,"Die Anforderungen der Artikel 5, 6 und 7 dieser Richtlinie können in die in der Richtlinie 96/61/EG vorgesehenen Verfahren integriert werden.","Die Anforderungen der Artikel 5, 6 und 7 der vorliegenden Richtlinie können in die Verfahren gemäß der Richtlinie 96/61/EG integriert werden.",0.5741865870062566,0.829945652173913,[0.950192391872406]
the use of procedures without a prior call for competition by virtue of Article 40(3);,"Rückgriff auf Verfahren ohne vorherigen Aufruf zum Wettbewerb gemäß Artikel 40 Absatz 3,",en-de,Civil Procedure & Litigation,Die Anwendung von Verfahren ohne vorherige Ausschreibung gemäß Artikel 40 Absatz 3;,"Rückgriff auf Verfahren ohne vorherigen Aufruf zum Wettbewerb gemäß Artikel 40 Absatz 3,",0.30797696508076305,0.49772426956394067,[0.862827479839325]
"basic knowledge of hygiene and in particular industrial hygiene,","Grundkenntnisse der Hygiene, insbesondere der Betriebshygiene;",en-de,Civil Procedure & Litigation,"Grundkenntnisse in Hygiene und insbesondere in der industriellen Hygiene. 

Alternatively, a more formal translation could be:

 Grundlegende Kenntnisse der Hygiene, insbesondere der betrieblichen Hygiene oder der Arbeitshygiene. 

Note: ""industrial hygiene"" can be translated to German as ""Arbeitshygiene"", ""Betriebshygiene"", or ""industrielle Hygiene"", depending on the context. ""Arbeitshygiene"" focuses on the hygiene aspects related to the workplace, while ""industrielle Hygiene"" is more focused on the industrial sector in general.","Grundkenntnisse der Hygiene, insbesondere der Betriebshygiene;",0.04022890163971917,0.21472392638036814,[0.5649144053459167]
the procedures for limiting the territorial validity of visas;,Modalitäten der räumlichen Beschränkung des Sichtvermerks;,en-de,Civil Procedure & Litigation,"Die Verfahren für die Beschränkung der territorialen Geltung von Visa;

Alternatively, a more formal and official translation would be:

Die Verfahren zur Einschränkung der räumlichen Gültigkeit von Visa;

Or, in an even more formal tone:

Die Modalitäten zur territoriale Beschränkung der Gültigkeit von Visen;",Modalitäten der räumlichen Beschränkung des Sichtvermerks;,3.1389158403182592e-155,0.2192982456140351,[0.4699316620826721]
I. Other industrial crops that have not been mentioned elsewhere.,"I. Sonstige Handelsgewächse, die anderweitig nicht genannt sind.",en-de,Civil Procedure & Litigation,"Ich übersetze:

I. Andere industrielle Nutzpflanzen, die ansonsten nirgendwo erwähnt wurden.

Oder alternatives:

I. Weitere industrielle Pflanzen, die nicht anderweitig genannt werden.","I. Sonstige Handelsgewächse, die anderweitig nicht genannt sind.",4.627178750196014e-155,0.4064337599446558,[0.5642375349998474]
