source,reference,category,detected_terms,definitions_used,examples_retrieved,translation,BLEU,METEOR,COMET
"The application shall show that the applicant exists as a legal person and has the financial and operational capacity to complete the proposed action or work programme, subject to Article 176(4).","Der Antrag dient dem Nachweis der rechtlichen Existenz des Antragstellers sowie seiner finanziellen und operativen Fähigkeit, die vorgeschlagene Maßnahme bzw. das vorgeschlagene Arbeitsprogramm vorbehaltlich des Artikels 176 Absatz 4 vollständig durchzuführen.",Legal Theory & Latin Terms,"['legal person', 'capacity', 'article', 'action', 'person', 'legal']","{'legal person': 'A legal person is a human or a non-human legal entity that is treated as a person for legal purposes. A legal person is capable of engaging in all usual legal business that a real person can participate in, such as suing , being sued, owning property , and entering into contracts .', 'capacity': 'Capacity refers to the ability to make a rational decision based upon all relevant facts and considerations. Some common usages of the term “capacity” in a legal sense include:', 'article': ""An article is a legal rule that can be set out under a statute , a code , or a paragraph in a legal document. Articles usually refer to matters that have been agreed upon by the supervising authority. For example, in contracts , an article under the UCC can set out a list of contractual obligations between parties. It can regulate the parties' conduct, duties, expectations, measure of damages in breach cases, and how to resolve conflicts. Under the Constitution of the United States , there are seven articles which describe the way the government is structured and how it operates. These articles establish the relationship of the states in rapport to the Federal Government and hold that the Constitution is the supreme law of the land."", 'action': 'An action refers to a judicial proceeding . If a party brings a civil or criminal case against you, an action has been brought against you. The party bringing the action is the plaintiff / prosecution respectively.', 'person': 'Person is an entity that is recognized as having legal rights and responsibilities. For example, a person can sue and be sued, can own property , and can enter into contracts . The term ""person"" includes both a natural person and a legal person .', 'legal': 'Legal means anything having to do with the law .'}",3,"Der Antrag muss nachweisen, dass der Antragsteller als Rechtsperson existiert und über die finanzielle und operative Kapazität verfügt, die vorgeschlagene Maßnahme oder das Arbeitsprogramm abzuschließen, unter Vorbehalt des Artikels 176 Absatz 4.",0.1919704825961155,0.40966025212974766,0.8539842963218689
Article I,Artikel I,Legal Theory & Latin Terms,['article'],"{'article': ""An article is a legal rule that can be set out under a statute , a code , or a paragraph in a legal document. Articles usually refer to matters that have been agreed upon by the supervising authority. For example, in contracts , an article under the UCC can set out a list of contractual obligations between parties. It can regulate the parties' conduct, duties, expectations, measure of damages in breach cases, and how to resolve conflicts. Under the Constitution of the United States , there are seven articles which describe the way the government is structured and how it operates. These articles establish the relationship of the states in rapport to the Federal Government and hold that the Constitution is the supreme law of the land.""}",3,Artikel I,0.316227766016838,0.9375,0.992210328578949
I. All persons having completed their compulsory education (having reached school-leaving age) who carried out farm work on the holding under survey during the 12 months up to the survey day.,"I. Alle Personen ab Ende des schulpflichtigen Alters, die in den letzten zwölf Monaten vor dem Tag der Erhebung landwirtschaftliche Arbeiten innerhalb des befragten landwirtschaftlichen Betriebs verrichtet haben.",Legal Theory & Latin Terms,"['education', 'holding']","{'education': 'Education law is a broad area that includes several legal issues related to the public and private school systems. Education is a function of government, generally administered through public schools by the Department of Education . However, states have primary responsibility for the operation and oversight of public schools.', 'holding': 'A holding can have different meanings depending on the context used.'}",1,"I. Alle Personen, die ihre Pflichtschulzeit (Schulabgangsalter erreicht haben) abgeschlossen haben und die in den 12 Monaten bis zum Erhebungsstag Landarbeitsaufgaben auf dem unter Untersuchung stehenden Betrieb ausgeführt haben.",0.0605489708874877,0.3567335900256693,0.8006320595741272
"""- the third and fourth paragraphs of Article 6 shall apply from 1 January 2003,"".","""- gilt Artikel 6 Unterabsätze 3 und 4 erst ab 1. Januar 2003,"".",Legal Theory & Latin Terms,['article'],"{'article': ""An article is a legal rule that can be set out under a statute , a code , or a paragraph in a legal document. Articles usually refer to matters that have been agreed upon by the supervising authority. For example, in contracts , an article under the UCC can set out a list of contractual obligations between parties. It can regulate the parties' conduct, duties, expectations, measure of damages in breach cases, and how to resolve conflicts. Under the Constitution of the United States , there are seven articles which describe the way the government is structured and how it operates. These articles establish the relationship of the states in rapport to the Federal Government and hold that the Constitution is the supreme law of the land.""}",3,"""- die dritten und vierten Absätze des Artikels 6 finden ab dem 1. Januar 2003 Anwendung,""",0.08097785064266204,0.5876417451470306,0.8979365229606628
Article 28(5) shall apply.,Es gilt Artikel 28 Absatz 5.,Legal Theory & Latin Terms,['article'],"{'article': ""An article is a legal rule that can be set out under a statute , a code , or a paragraph in a legal document. Articles usually refer to matters that have been agreed upon by the supervising authority. For example, in contracts , an article under the UCC can set out a list of contractual obligations between parties. It can regulate the parties' conduct, duties, expectations, measure of damages in breach cases, and how to resolve conflicts. Under the Constitution of the United States , there are seven articles which describe the way the government is structured and how it operates. These articles establish the relationship of the states in rapport to the Federal Government and hold that the Constitution is the supreme law of the land.""}",3,Artikel 28 Absatz 5 findet Anwendung.,0.4347208719449914,0.6914285714285714,0.9506048560142517
It shall be granted only if the official's spouse engages in a gainful activity at least half-time.,"Die Dienstbefreiung wird nur gewährt, wenn der Ehegatte des Beamten zumindest halbzeitlich erwerbstätig ist.",Legal Theory & Latin Terms,['official'],"{'official': 'An act, document, product, process or anything else sanctioned with legal efficacy through authorization by a qualified officer. A public official is an individual elected or appointed to carry out a subset of the powers of the government. One salient area where the lines around what is an“official act"" is in anti-bribery laws. Federal Anti-Bribery Law defines “official” as “any decision or action on any question, matter, cause, suit, proceeding or controversy, which may at any time be pending, or which may by law be brought before any public official, in such official’s official capacity, or in such official’s place of trust or profit.” For federal purposes, 18 U.S.C. § 201 defines a “public official” as any “member of Congress, delegate, or resident commissioner, either before or after such official has qualified, or an officer or employee or person acting for or on behalf of the United States, or any department, agency or branch of government thereof, including the District of Columbia, in any official function, under or by authority of any such department, agency, or branch of government.” The Supreme Court elaborated on when an act is“official” for the purpose of Federal Anti-Bribery Law in McDonnell v. U.S. In the opinion, the Court required that, for an act to be “official,” the question or matter that is the subject of the decision or action must involve a “formal exercise of government power.” Setting up a meeting, talking to another official, or organizing an event, without anything more, does not constitute an official act, according to the Court. The public officer must take action on the matter, or agree to do so, the Court clarified.'}",3,"Es wird nur gewährt, wenn der Ehegatte des Amtsträgers mindestens halbtags eine Erwerbstätigkeit ausübt.",0.456083954535194,0.5594135802469136,0.8227421641349792
the structure in which it is presented shall be the same as that of the budget itself;,diese Rechnung folgt der Gliederung des Haushaltsplans;,Legal Theory & Latin Terms,['structure'],"{'structure': 'In a non-legal context, a structure is an artificial construction built over a piece of land, like a shed, a house, or a building.'}",3,"Die Struktur, in der sie vorgelegt wird, soll dieselbe sein wie die des Haushaltsplans selbst;",0.027166383723579154,0.3506944444444445,0.7666550278663635
"Where the difference established in accordance with paragraph 3 of this Article is more than 20 %, the farmer shall be excluded once again from receiving aid up to an amount corresponding to the difference between the number of animals declared and the number of animals determined in accordance with Article 57(3).","Beläuft sich die gemäß Absatz 3 dieses Artikels bestimmte Differenz auf mehr als 20 %, so ist der Betriebsinhaber ein weiteres Mal bis zur Höhe eines Betrags, der der Differenz zwischen der angegebenen Zahl der Tiere und der gemäß Artikel 57 Absatz 3 ermittelten entspricht, von der Beihilfegewährung auszuschließen.",Legal Theory & Latin Terms,['article'],"{'article': ""An article is a legal rule that can be set out under a statute , a code , or a paragraph in a legal document. Articles usually refer to matters that have been agreed upon by the supervising authority. For example, in contracts , an article under the UCC can set out a list of contractual obligations between parties. It can regulate the parties' conduct, duties, expectations, measure of damages in breach cases, and how to resolve conflicts. Under the Constitution of the United States , there are seven articles which describe the way the government is structured and how it operates. These articles establish the relationship of the states in rapport to the Federal Government and hold that the Constitution is the supreme law of the land.""}",3,"Beträgt die nach Absatz 3 dieses Artikels bestimmte Differenz mehr als 20 %, so ist der Betriebsinhaber darüber hinaus ein weiteres Mal bis zur Höhe eines Betrags, der der Differenz zwischen der angegebenen Zahl der Tiere und der gemäß Artikel 57 Absatz 3 ermittelten entspricht, von der Beihilfegewährung auszuschließen.",0.846692620056011,0.9242768343378939,0.9043890833854675
"For the purposes of applying the first subparagraph to ""cooperative groups"", the competent authorities must take into account the public financial commitment of these groups with respect to other financial entities.",Für die Zwecke der Anwendung des Unterabsatzes 1 auf genossenschaftlich organisierte Unternehmensgruppen berücksichtigen die zuständigen Behörden die öffentlichen finanziellen Verpflichtungen dieser Gruppen gegenüber anderen Finanzunternehmen.,Legal Theory & Latin Terms,"['cooperative', 'commitment', 'competent', 'public']","{'cooperative': 'A cooperative, often called a co-op, is an association of members with a common profession, trade, or interest who work together to process, market, distribute, or provide goods and services. A cooperative operates for the benefit of its members by pooling resources and offering services or financial advantages, sometimes including the distribution of earnings. Unlike corporations organized primarily to generate profits for shareholders , cooperatives emphasize meeting the shared needs of members. Co-ops are generally democratic in structure, though some exceptions exist.', 'commitment': 'Commitment is a promise to do something or act in a particular way. A commitment can refer to a contract or an obligation to undertake something, often regarding financial or moral responsibility , like financial commitments (the amount a person should pay regularly) or a family commitment.', 'competent': 'The term competent is used in various legal contexts, including procedure , evidence , and employment . More generally, it refers to the ability to act in the circumstances, including the ability to perform a job or occupation, the capacity to reason, or to make decisions.', 'public': 'The public, or the body politic, refers to the collective people of a state, nation, or municipality . The term originates from the Latin publicus , meaning “pertaining to the people, state, or community.”'}",3,"Zwecks Anwendung des ersten Unterabsatzes auf ""Genossenschaftsgruppen"" müssen die zuständigen Behörden die öffentlichen Finanzverpflichtungen dieser Gruppen gegenüber anderen Finanzinstituten berücksichtigen.",0.26626928257104726,0.5836575875486381,0.8894055485725403
"This includes the target company in the case of a contested bid, in which case the details should be completed as far as is possible.","Bei einem feindlichen Übernahmeangebot gehört hierzu auch das Unternehmen, das übernommen werden soll; hierzu sind Angaben im Bereich des Möglichen zu machen.",Legal Theory & Latin Terms,"['company', 'as is', 'case', 'bid']","{'company': 'A company is any form of business organization that engages in a business or commercial activity for profit . Commonly, companies are incorporated as separate legal entities from their owners, and they have rights , liabilities , and legal capacities distinct from those of their owners or members.', 'as is': '“As is” refers to a term used in sales contracts where the buyer agrees to buy a product in its current condition without legal recourse should the buyer discover a defect in the product after purchase. The buyer should be able to view and inspect the good before they purchase it, so they are generally aware of the item’s condition.', 'case': 'A case is a civil or criminal proceeding at law or in equity . It can also be referred to as an action , suit , or controversy , depending on the jurisdiction and the nature of the dispute .', 'bid': 'A bid is an offer to perform a contract for work, labor, or supplying materials at a specified price. A bid does not create rights in either the offeror or the offeree until the offeree voluntarily accepts the bid.'}",3,"Dies umfasst das Zielunternehmen im Falle eines umstrittenen Angebots, in dem Fall sollten die Details so weit wie möglich vervollständigt werden.",0.011353448955114618,0.10080645161290322,0.7581887245178223
