source,target,language_pair,legal_category,translation,reference,bleu,meteor,comet
"The additional payment shall be granted for maintaining suckler cows, at a maximum level up to 100 % of suckler cow premium referred to in Annex VI to be granted under conditions provided for in Chapter 12 of Title IV;",Die Ergänzungszahlung wird für die Erhaltung des Mutterkuhbestands in einer Höhe von bis zu 100 % der nach Maßgabe des Titels IV Kapitel 12 zu zahlenden Mutterkuhprämie gemäß Anhang VI gewährt;,en-de,Contract Law,"Die zusätzliche Zahlung wird für die Haltung von Mutterkuhen gewährt, auf maximaler Ebene bis zu 100 % des in Anhang VI genannten Mutterkuhprämiens, das unter den in Kapitel 12 von Titel IV festgelegten Bedingungen gewährt wird; 

Alternatively, a more natural translation would be:

Die zusätzliche Zahlung wird für die Haltung von Mutterkühen gewährt, höchstens bis zu 100 % des Mutterkuhprämiens nach Anhang VI, der gemäß den in Kapitel 12 von Titel IV genannten Bedingungen gewährt wird.",Die Ergänzungszahlung wird für die Erhaltung des Mutterkuhbestands in einer Höhe von bis zu 100 % der nach Maßgabe des Titels IV Kapitel 12 zu zahlenden Mutterkuhprämie gemäß Anhang VI gewährt;,0.05682935412742968,0.48510771356033466,[0.706265926361084]
"In respect of appropriate ground-based systems, or parts thereof, these high levels of safety shall be enhanced by safety nets which shall be subject to agreed common performance characteristics.","In Bezug auf geeignete bodengestützte Systeme oder Teile davon ist dieses hohe Sicherheitsniveau durch Sicherheitsnetze weiter zu verbessern, für die vereinbarte einheitliche Leistungsmerkmale festgelegt werden.",en-de,Contract Law,"In Bezug auf geeignete bodengestützte Systeme oder Teile davon sollen diese hohen Sicherheitsstandards durch Sicherheitsnetze erhöht werden, die bestimmten vereinbarten Leistungsmerkmalen unterliegen.","In Bezug auf geeignete bodengestützte Systeme oder Teile davon ist dieses hohe Sicherheitsniveau durch Sicherheitsnetze weiter zu verbessern, für die vereinbarte einheitliche Leistungsmerkmale festgelegt werden.",0.34077183365812413,0.5741602294007491,[0.8930632472038269]
or having only sufficient motive power to perform short manoeuvres when not part of a pushed train of craft;,"mit eigener Triebkraft, die nur erlaubt, außerhalb eines Schubverbandes kleine Ortsveränderungen vorzunehmen;",en-de,Contract Law,"Oder nur über genug Antriebskraft verfügen, um kurze Manöver auszuführen, wenn sie nicht Teil eines geschobenen Zuges von Wasserfahrzeugen sind;","mit eigener Triebkraft, die nur erlaubt, außerhalb eines Schubverbandes kleine Ortsveränderungen vorzunehmen;",1.2439956612288083e-231,0.1582278481012658,[0.672386109828949]
Undertakings no longer have the obligation or option to notify agreements to the Commission with a view to obtaining an exemption decision.,"Danach haben Unternehmen nicht mehr die Verpflichtung oder die Möglichkeit, Vereinbarungen bei der Kommission anzumelden, um eine Freistellung vom Kartellverbot zu erwirken.",en-de,Contract Law,"Unternehmen haben nicht mehr die Verpflichtung oder Option, Vereinbarungen bei der Kommission anzuzeigen, um eine Befreiungsentscheidung zu erhalten.","Danach haben Unternehmen nicht mehr die Verpflichtung oder die Möglichkeit, Vereinbarungen bei der Kommission anzumelden, um eine Freistellung vom Kartellverbot zu erwirken.",0.3526631892060946,0.6397867611894112,[0.8496671915054321]
"In this case, the net selling price (or the estimated cash flow from ultimate disposal) of the cash-generating unit is the estimated selling price for the assets of the cash-generating unit and the liability together, less the costs of disposal.","In diesem Fall setzt sich der Nettoveräußerungspreis (oder die geschätzten Cashflows aus dem endgültigen Abgang) einer zahlungsmittelgenerierenden Einheit aus dem geschätzten Verkaufspreis der Vermögenswerte der zahlungsmittelgenerierenden Einheit und der Schuld zusammen, nach Abzug der Veräußerungskosten.",en-de,Contract Law,"Im vorliegenden Fall ist der Netto-Verkaufspreis (oder der geschätzte Cash-Flow aus der endgültigen Veräußerung) der gelderzeugenden Einheit der geschätzte Verkaufspreis für die Vermögenswerte der gelderzeugenden Einheit und die Verbindlichkeit zusammen, abzüglich der Veräußerungskosten.

Alternativ könnte man auch folgende Übersetzung verwenden:

In diesem Fall entspricht der Netto-Verkaufspreis (oder der geschätzte Zahlungsmittelzufluss aus der endgültigen Veräußerung) der gelderzeugenden Einheit dem geschätzten Verkaufspreis für die Vermögenswerte und Verbindlichkeiten der gelderzeugenden Einheit, abzüglich der Kosten, die bei der Veräußerung anfallen.","In diesem Fall setzt sich der Nettoveräußerungspreis (oder die geschätzten Cashflows aus dem endgültigen Abgang) einer zahlungsmittelgenerierenden Einheit aus dem geschätzten Verkaufspreis der Vermögenswerte der zahlungsmittelgenerierenden Einheit und der Schuld zusammen, nach Abzug der Veräußerungskosten.",2.3057413750353914e-78,0.4382184880776677,[0.8120725750923157]
Any Member State may provide for the minimum of the guarantee fund to be reduced to EUR 600000 in the case of mutual associations and mutual-type associations and tontines.,"Jeder Mitgliedstaat kann die Ermäßigung des Mindestgarantiefonds bei Versicherungsvereinen auf Gegenseitigkeit, bei Versicherungsgesellschaften, die nach dem Gegenseitigkeitsprinzip arbeiten, und bei Tontinengesellschaften auf 600000 EUR vorsehen.",en-de,Contract Law,"Jeder Mitgliedstaat kann vorsehen, dass der Mindestbetrag des Garantiefonds für genossenschaftliche Versicherungsvereine, Versicherungsvereine auf Gegenseitigkeit und Unterstützungsvereine auf 600 000 Euro reduziert wird.

(Oder in einer formalen, rechtlichen Übersetzung)

Ein Mitgliedstaat kann vorsehen, dass der Mindestbetrag des Garantiefonds im Falle von Versicherungsvereinen auf Gegenseitigkeit, genossenschaftlichen Versicherungsvereinen und Unterstützungsvereinen auf 600 000 Euro herabgesetzt wird.","Jeder Mitgliedstaat kann die Ermäßigung des Mindestgarantiefonds bei Versicherungsvereinen auf Gegenseitigkeit, bei Versicherungsgesellschaften, die nach dem Gegenseitigkeitsprinzip arbeiten, und bei Tontinengesellschaften auf 600000 EUR vorsehen.",0.06190867264354498,0.29604434366339133,[0.7550126314163208]
the form of the contract which is the subject of the invitation to tender:,"Art des Auftrags, der Gegenstand der Ausschreibung ist:",en-de,Contract Law,"Die Form des Vertrags, der Gegenstand der Ausschreibung ist: 

or more formally:

Die Vertragsform, die Gegenstand der Ausschreibung ist:","Art des Auftrags, der Gegenstand der Ausschreibung ist:",0.24769802565621082,0.6578947368421052,[0.6886851787567139]
It is necessary to lay down the details for the determination of the ratio of permanent pasture and agricultural land that has to be maintained and to provide for the individual obligations at the level of farmers to be respected where it is established that that proportion is decreasing to the detriment of land under permanent pasture.,"Dazu müssen der zu erhaltende Anteil von Dauergrünland an der landwirtschaftlichen Fläche geregelt und die Pflichten der einzelnen Betriebsinhaber vorgesehen werden, wenn dieser Anteil zurückgeht.",en-de,Contract Law,"Es ist notwendig, die Details für die Bestimmung des Verhältnisses zwischen Dauergrünland und Ackerland festzulegen, das aufrechterhalten werden muss, und die individuellen Verpflichtungen auf Ebene der Landwirte sicherzustellen, wo festgestellt wird, dass dieses Verhältnis zuungunsten des Dauergrünlands abnimmt.

Alternatively, a more official translation could be:

Es ist erforderlich, die Einzelheiten für die Festlegung des Verhältnisses zwischen dauerhaft genutzten Grünlandflächen und Ackerland, das aufrechterhalten werden muss, zu regeln und sicherzustellen, dass die individuellen Verpflichtungen der Landwirte auf Einzelbetriebsebene eingehalten werden, wenn festgestellt wird, dass dieses Verhältnis zugunsten des Ackerlands zu Lasten des Grünlands zurückgeht.","Dazu müssen der zu erhaltende Anteil von Dauergrünland an der landwirtschaftlichen Fläche geregelt und die Pflichten der einzelnen Betriebsinhaber vorgesehen werden, wenn dieser Anteil zurückgeht.",9.455204522448925e-79,0.19566292293565024,[0.6807672381401062]
"RELIEF UNDER THE CUSTOMARY PRIVILEGES ACCORDED BY VIRTUE OF INTERNATIONAL AGREEMENTS OR HEADQUARTERS AGREEMENTS TO WHICH EITHER A THIRD COUNTRY OR AN INTERNATIONAL ORGANIZATION IS A CONTRACTING PARTY , INCLUDING THE RELIEF GRANTED ON THE OCCASION OF INTERNATIONAL MEETINGS;","BEFREIUNGEN AUFGRUND DER ÜBLICHEN VORRECHTE , DIE GEMÄß INTERNATIONALEN ABKOMMEN ODER SITZABKOMMEN , BEI DENEN EIN DRITTLAND ODER EINE INTERNATIONALE ORGANISATION VERTRAGSPARTEI IST , GEWÄHRT WERDEN , EINSCHLIESSLICH DER ANLÄSSLICH INTERNATIONALER BEGEGNUNGEN GEWÄHRTEN BEFREIUNGEN;",en-de,Contract Law,"Befreiungen aufgrund der üblichen Vorrechte, die aufgrund internationaler Vereinbarungen oder Sitzabkommen gewährt werden, an denen ein Drittstaat oder eine internationale Organisation Vertragspartei ist, einschließlich der Befreiungen, die anlässlich internationaler Versammlungen gewährt werden;

Oder in einer formelleren Übersetzung:

Befreiungen im Rahmen der gewohnheitsrechtlichen Vorrechte, die kraft internationaler Übereinkommen oder Sitzungsvereinbarungen gewährt werden, an denen ein Drittstaat oder eine internationale Organisation als Vertragspartei beteiligt ist, einschließlich der Befreiungen, die im Zusammenhang mit internationalen Zusammenkünften eingeräumt werden;","BEFREIUNGEN AUFGRUND DER ÜBLICHEN VORRECHTE , DIE GEMÄß INTERNATIONALEN ABKOMMEN ODER SITZABKOMMEN , BEI DENEN EIN DRITTLAND ODER EINE INTERNATIONALE ORGANISATION VERTRAGSPARTEI IST , GEWÄHRT WERDEN , EINSCHLIESSLICH DER ANLÄSSLICH INTERNATIONALER BEGEGNUNGEN GEWÄHRTEN BEFREIUNGEN;",8.972141065609098e-232,0.5302295918367348,[0.37039127945899963]
"With the objective of further facilitating the registration of certain traditional herbal medicinal products and of further enhancing harmonisation, there should be the possibility of establishing a Community list of herbal substances that fulfil certain criteria, such as having been in medicinal use for a sufficiently long time, and hence are considered not to be harmful under normal conditions of use.","Um die Registrierung bestimmter traditioneller pflanzlicher Arzneimittel weiter zu erleichtern und eine Harmonisierung weiter zu fördern, sollte die Möglichkeit gegeben sein, eine Gemeinschaftsliste pflanzlicher Stoffe zu erstellen, die bestimmte Kriterien, wie eine ausreichend lange medizinische Verwendung, erfuellen und daher als unter normalen Anwendungsbedingungen nicht schädlich gelten.",en-de,Contract Law,"Mit dem Ziel, die Registrierung bestimmter traditioneller pflanzlicher Arzneimittel weiter zu erleichtern und die Harmonisierung weiter zu verbessern, sollte die Möglichkeit bestehen, eine Gemeinschaftsliste von pflanzlichen Stoffen zu erstellen, die bestimmte Kriterien erfüllen, wie z. B. eine ausreichend lange medizinische Verwendung und somit als unter normalen Anwendungsbedingungen nicht schädlich angesehen werden.

Oder in einer etwas formalen und genauen Übersetzung:

Ziel ist es, die Registrierung bestimmter traditioneller pflanzlicher Arzneimittel weiter zu erleichtern und die Harmonisierung weiter zu verstärken. Daher sollte die Möglichkeit zur Erstellung einer gemeinschaftlichen Liste von pflanzlichen Stoffen bestehen, die bestimmte Kriterien erfüllen, wie zum Beispiel eine medizinische Verwendung über einen ausreichend langen Zeitraum, wodurch sie unter normalen Anwendungsbedingungen als nicht schädlich angesehen werden.","Um die Registrierung bestimmter traditioneller pflanzlicher Arzneimittel weiter zu erleichtern und eine Harmonisierung weiter zu fördern, sollte die Möglichkeit gegeben sein, eine Gemeinschaftsliste pflanzlicher Stoffe zu erstellen, die bestimmte Kriterien, wie eine ausreichend lange medizinische Verwendung, erfuellen und daher als unter normalen Anwendungsbedingungen nicht schädlich gelten.",0.2087719082035802,0.6305560725437889,[0.8085833787918091]
