source,target,language_pair,legal_category,translation,reference,bleu,meteor,comet
"The steel market has also been unsettled by the uncertainty and hedging caused by the possibility of import restrictions on the US market following the US administration's ""Section 201"" safeguard investigation.","Der Stahlmarkt wird ferner durch Unsicherheit und vorgreifendes Verhalten im Zusammenhang mit Einfuhrbeschränkungen für den amerikanischen Markt beeinträchtigt, die nach Abschluss der von der amerikanischen Regierung durchgeführten Untersuchung nach der Schutzbestimmung ""Section 201"" eingeführt werden könnten.",en-de,Property & Real Estate Law,"Der Stahlmarkt ist auch durch die Unsicherheit und Absicherung, die durch die Möglichkeit von Einfuhrbeschränkungen auf dem US-Markt infolge der ""Section 201""-Sicherungsuntersuchung der US-Regierung verursacht wird, verunsichert worden.

Alternatively, a more natural-sounding translation would be:

Auch der Stahlmarkt ist von der Unsicherheit und den Absicherungsmaßnahmen betroffen, die durch die Möglichkeit von Einfuhrbeschränkungen auf dem US-Markt entstanden sind, nachdem die US-Regierung ein ""Section 201""-Sicherungsverfahren eingeleitet hat.

Note: ""Section 201"" is a specific US trade law provision, so it's often left untranslated in German texts to maintain clarity and accuracy.","Der Stahlmarkt wird ferner durch Unsicherheit und vorgreifendes Verhalten im Zusammenhang mit Einfuhrbeschränkungen für den amerikanischen Markt beeinträchtigt, die nach Abschluss der von der amerikanischen Regierung durchgeführten Untersuchung nach der Schutzbestimmung ""Section 201"" eingeführt werden könnten.",0.03792230569432778,0.30610010180647296,[0.6227257251739502]
"The Member State may, however, require the person concerned to report his presence in the territory.","Der Mitgliedstaat kann allerdings von dem Betroffenen verlangen, daß er seine Anwesenheit im Hoheitsgebiet anzeigt.",en-de,Property & Real Estate Law,"Der Mitgliedstaat kann jedoch vom Betroffenen verlangen, seine Anwesenheit im Hoheitsgebiet zu melden.","Der Mitgliedstaat kann allerdings von dem Betroffenen verlangen, daß er seine Anwesenheit im Hoheitsgebiet anzeigt.",0.27251836515605526,0.6390200708382526,[0.9287306070327759]
Construction Contracts,Fertigungsaufträge,en-de,Property & Real Estate Law,"The translation of ""Construction Contracts"" to German is:

Baiverträge

Alternatively, it can also be translated as:

Bauverträge 

Both translations are commonly used in the construction industry in Germany, but ""Bauverträge"" is a more general term that refers to contracts related to construction projects, while ""Baiverträge"" is a more specific term that refers to contracts for construction work.",Fertigungsaufträge,0.0,0.0,[0.4227783977985382]
the amount of benefit to be paid to the unemployed person under the legislation of the competent State;,"DEN LEISTUNGSBETRAG , DER DEM ARBEITSLOSEN NACH DEN RECHTSVORSCHRIFTEN DES ZUSTÄNDIGEN STAATES ZU ZAHLEN IST;",en-de,Property & Real Estate Law,"Der Betrag des Leistungsanspruchs, der an die arbeitslose Person nach dem Recht des zuständigen Staates zu zahlen ist; 

Alternatively, a more natural translation would be:
 Der Betrag der dem Arbeitslosen nach dem Recht des zuständigen Staates zu gewährenden Leistung; 

Or even more concise:
 Die Höhe der dem Arbeitslosen zustehenden Leistung nach dem Recht des zuständigen Staates;","DEN LEISTUNGSBETRAG , DER DEM ARBEITSLOSEN NACH DEN RECHTSVORSCHRIFTEN DES ZUSTÄNDIGEN STAATES ZU ZAHLEN IST;",7.690076942257604e-232,0.4574275362318841,[0.3818415105342865]
2 searching of restricted areas as part of a search of the ship.,2 die Durchsuchung von Bereichen mit Zugangsbeschränkung im Rahmen einer Durchsuchung des Schiffes.,en-de,Property & Real Estate Law,2 Durchsuchung von Sperrgebieten als Teil einer Schiffs durchsuchung.,2 die Durchsuchung von Bereichen mit Zugangsbeschränkung im Rahmen einer Durchsuchung des Schiffes.,4.854408244229234e-155,0.3526410564225691,[0.7571950554847717]
"Complementary insurance for workers in the iron and steel industry: Landesversicherungsanstalt Saarland, Abteilung Huettenknappschaftliche Pensionsversicherung, (Regional Insurance Office of the Saarland, Pension Insurance Department for Workers in the Iron and Steel Industry), Saarbruecken","HÜTTENKNAPPSCHAFTLICHE ZUSATZVERSICHERUNG : LANDESVERSICHERUNGSANSTALT SAARLAND , ABTEILUNG HÜTTENKNAPPSCHAFTLICHE PENSIONSVERSICHERUNG , SAARBRÜCKEN",en-de,Property & Real Estate Law,"Ergänzungsversicherung für Arbeiter in der Eisen- und Stahlindustrie: 
Landesversicherungsanstalt Saarland, Abteilung Hüttenknappschaftliche Pensionsversicherung, 
(Landesversicherungsanstalt des Saarlandes, Abteilung für Hüttenknappschaftliche Rentenversicherung), 
Saarbrücken 

Note: The term ""Hüttenknappschaft"" refers to a specific type of pension insurance for workers in the iron and steel industry, which has a long history in Germany. It's a bit challenging to translate directly, but I've tried to convey the meaning accurately. 

Alternatively, a more literal translation could be:
 Ergänzungsversicherung für Arbeiter in der Eisen- und Stahlindustrie: 
Landesversicherungsanstalt Saarland, Abteilung Hüttenknappschaftliche Altersversorgung, 
(Saarland State Insurance Institution, Iron and Steel Industry Pension Department), 
Saarbrücken 

Please let me know if you need any adjustments or if this meets your requirements.","HÜTTENKNAPPSCHAFTLICHE ZUSATZVERSICHERUNG : LANDESVERSICHERUNGSANSTALT SAARLAND , ABTEILUNG HÜTTENKNAPPSCHAFTLICHE PENSIONSVERSICHERUNG , SAARBRÜCKEN",7.03404585427606e-232,0.35405982905982913,[0.3087543547153473]
"By way of derogation from the above provisions, Member States may provide that the tax shall become chargeable, for certain transactions or for certain categories of taxable person, either:","Abweichend von den vorstehenden Bestimmungen können die Mitgliedstaaten vorsehen, daß der Steueranspruch für bestimmte Umsätze oder für Gruppen von Steuerpflichtigen zu den folgenden Zeitpunkten entsteht:",en-de,Property & Real Estate Law,"Abweichend von den oben genannten Vorschriften können die Mitgliedstaaten vorsehen, dass die Steuer für bestimmte Umsätze oder für bestimmte Kategorien von Steuerpflichtigen entweder: 

(Note: ""Abweichend von"" is used to translate ""By way of derogation from"", which is a common EU law phrase. ""Die Steuer"" is used to translate ""the tax"", and ""werden"" is used in the subjunctive mood to translate ""shall become chargeable"")","Abweichend von den vorstehenden Bestimmungen können die Mitgliedstaaten vorsehen, daß der Steueranspruch für bestimmte Umsätze oder für Gruppen von Steuerpflichtigen zu den folgenden Zeitpunkten entsteht:",0.10281368782270327,0.35917129984662577,[0.3363247811794281]
"3 in liaison with the port facility, the ship should ensure that vehicles destined to be loaded on board car carriers, ro-ro and other passenger ships are subjected to search prior to loading, in accordance with the frequency required in the SSP;.","3 in Absprache mit der Hafenanlage soll seitens des Schiffes sichergestellt werden, dass zum Verladen auf Autotransportschiffe, Ro-Ro-Fahrgastschiffe und andere Fahrgastschiffe bestimmte Fahrzeuge vor dem Verladen entsprechend der im Plan zur Gefahrenabwehr auf dem Schiff geforderten Häufigkeit einer Durchsuchung unterzogen werden;.",en-de,Property & Real Estate Law,"3. in Verbindung mit der Hafenanlage sollte das Schiff sicherstellen, dass Fahrzeuge, die zum Laden auf Autotransportern, Ro-Ro-Schiffen und anderen Passagierschiffen bestimmt sind, vor dem Laden einer Untersuchung unterzogen werden, entsprechend der im SSP erforderlichen Häufigkeit; 

oder in einer etwas formelleren Übersetzung:

3. in Kooperation mit der Hafenanlage soll das Schiff dafür sorgen, dass Fahrzeuge, die zur Verladung auf Autotransportern, Ro-Ro-Schiffen und anderen Passagierschiffen bestimmt sind, einer Überprüfung vor der Verladung unterzogen werden, und zwar in der im Sicherheitsplan des Schifffahrtbetriebs (SSP) festgelegten Häufigkeit;","3 in Absprache mit der Hafenanlage soll seitens des Schiffes sichergestellt werden, dass zum Verladen auf Autotransportschiffe, Ro-Ro-Fahrgastschiffe und andere Fahrgastschiffe bestimmte Fahrzeuge vor dem Verladen entsprechend der im Plan zur Gefahrenabwehr auf dem Schiff geforderten Häufigkeit einer Durchsuchung unterzogen werden;.",0.05329737536573525,0.3680661721684314,[0.7629979252815247]
The person responsible for marketing must ensure that the bursting pressure of containers is at least 20 % higher than the test pressure laid down.,"Die für das Inverkehrbringen verantwortliche Person hat sich zu vergewissern , daß der Berstdruck des Behälters mindestens 20 % über dem vorgesehenen Prüfüberdruck liegt.",en-de,Property & Real Estate Law,"Der für das Marketing verantwortliche Mitarbeiter muss sicherstellen, dass der Berstdruck der Behälter mindestens 20 % höher ist als der vorgeschriebene Prüfdruck.

Alternatively, a more suitable translation would be:

Die verantwortliche Person für das Marketing muss sicherstellen, dass der Berstdruck der Behälter mindestens 20 % höher ist als der festgelegte Prüfdruck.

Or, in a more formal tone:

Der Marketingverantwortliche hat sicherzustellen, dass der Berstdruck der Behälter mindestens 20 % über dem festgelegten Prüfdruck liegt.

Note: The initial translation used ""Der für das Marketing verantwortliche Mitarbeiter"", which might not be the most accurate translation in this context. ""Der Marketingverantwortliche"" is a more common and suitable term to refer to the person responsible for marketing.","Die für das Inverkehrbringen verantwortliche Person hat sich zu vergewissern , daß der Berstdruck des Behälters mindestens 20 % über dem vorgesehenen Prüfüberdruck liegt.",0.04065244987821435,0.41284359084016947,[0.574812114238739]
"solely specific protection for the disabled, closely linked to the said person's social environment in the Member State concerned, and","allein dem besonderen Schutz des Behinderten zu dienen, der eng mit dem sozialen Umfeld dieser Person in dem betreffenden Mitgliedstaat verknüpft ist, und",en-de,Property & Real Estate Law,"allein spezifischer Schutz für Behinderte, der eng mit der sozialen Umgebung der betreffenden Person in dem betreffenden Mitgliedstaat verbunden ist, und","allein dem besonderen Schutz des Behinderten zu dienen, der eng mit dem sozialen Umfeld dieser Person in dem betreffenden Mitgliedstaat verknüpft ist, und",0.2997691103544319,0.5589605734767026,[0.8756384253501892]
