source,reference,category,retrieved_examples,translation,BLEU,METEOR,COMET
"The additional payment shall be granted for maintaining suckler cows, at a maximum level up to 100 % of suckler cow premium referred to in Annex VI to be granted under conditions provided for in Chapter 12 of Title IV;",Die Ergänzungszahlung wird für die Erhaltung des Mutterkuhbestands in einer Höhe von bis zu 100 % der nach Maßgabe des Titels IV Kapitel 12 zu zahlenden Mutterkuhprämie gemäß Anhang VI gewährt;,Contract Law,3,"Die Ergänzungszahlung wird für die Haltung von Mutterkühen gewährt, in Höhe von bis zu 100 % der nach Maßgabe von Titel IV Kapitel 12 zu zahlenden Mutterkuhprämie gemäß Anhang VI.",0.609367108961758,0.8045719304733728,0.6727721095085144
"In respect of appropriate ground-based systems, or parts thereof, these high levels of safety shall be enhanced by safety nets which shall be subject to agreed common performance characteristics.","In Bezug auf geeignete bodengestützte Systeme oder Teile davon ist dieses hohe Sicherheitsniveau durch Sicherheitsnetze weiter zu verbessern, für die vereinbarte einheitliche Leistungsmerkmale festgelegt werden.",Contract Law,1,"In Bezug auf geeignete bodengestützte Systeme oder Teile davon sollen diese hohen Sicherheitsstandards durch Sicherheitsnetze erhöht werden, die gemeinsam vereinbarten Leistungsmerkmalen unterliegen sollen.",0.3412532250111657,0.5720178404850745,0.7004382610321045
or having only sufficient motive power to perform short manoeuvres when not part of a pushed train of craft;,"mit eigener Triebkraft, die nur erlaubt, außerhalb eines Schubverbandes kleine Ortsveränderungen vorzunehmen;",Contract Law,1,"mit eigener Triebkraft, die nur erlaubt, kleine Manöver auszuführen, wenn sie nicht Teil eines geschobenen Verbandes von Fahrzeugen ist;",0.322888846243622,0.6064964954493148,-0.353310763835907
Undertakings no longer have the obligation or option to notify agreements to the Commission with a view to obtaining an exemption decision.,"Danach haben Unternehmen nicht mehr die Verpflichtung oder die Möglichkeit, Vereinbarungen bei der Kommission anzumelden, um eine Freistellung vom Kartellverbot zu erwirken.",Contract Law,3,"Unternehmen sind nicht mehr verpflichtet oder berechtigt, Vereinbarungen bei der Kommission zur Erlangung einer Befreiungsentscheidung anzuzeigen.",0.1713581828626587,0.36707818930041153,0.4838147759437561
"In this case, the net selling price (or the estimated cash flow from ultimate disposal) of the cash-generating unit is the estimated selling price for the assets of the cash-generating unit and the liability together, less the costs of disposal.","In diesem Fall setzt sich der Nettoveräußerungspreis (oder die geschätzten Cashflows aus dem endgültigen Abgang) einer zahlungsmittelgenerierenden Einheit aus dem geschätzten Verkaufspreis der Vermögenswerte der zahlungsmittelgenerierenden Einheit und der Schuld zusammen, nach Abzug der Veräußerungskosten.",Contract Law,3,"In diesem Fall ist der Nettoveräußerungspreis (oder der geschätzte Cashflow aus der endgültigen Veräußerung) der zahlungsmittelgenerierenden Einheit der geschätzte Verkaufspreis für die Vermögenswerte der zahlungsmittelgenerierenden Einheit und die Verbindlichkeit zusammen, abzüglich der Veräußerungskosten.",0.2450732018375098,0.6090287500176772,0.5834770202636719
Any Member State may provide for the minimum of the guarantee fund to be reduced to EUR 600000 in the case of mutual associations and mutual-type associations and tontines.,"Jeder Mitgliedstaat kann die Ermäßigung des Mindestgarantiefonds bei Versicherungsvereinen auf Gegenseitigkeit, bei Versicherungsgesellschaften, die nach dem Gegenseitigkeitsprinzip arbeiten, und bei Tontinengesellschaften auf 600000 EUR vorsehen.",Contract Law,1,"Jeder Mitgliedstaat kann vorsehen, dass der Mindestbetrag des Garantiefonds auf 600 000 Euro für genossenschaftliche Vereinigungen und vereinigungstypische Genossenschaften sowie auf Lebensversicherungsvereine auf Gegenseitigkeit herabgesetzt wird.",0.049120092924310146,0.2763876576396236,0.17950519919395447
the form of the contract which is the subject of the invitation to tender:,"Art des Auftrags, der Gegenstand der Ausschreibung ist:",Contract Law,3,"die Form des Vertrags, der Gegenstand der Ausschreibung ist",0.537284965911771,0.6918367346938775,0.47666335105895996
It is necessary to lay down the details for the determination of the ratio of permanent pasture and agricultural land that has to be maintained and to provide for the individual obligations at the level of farmers to be respected where it is established that that proportion is decreasing to the detriment of land under permanent pasture.,"Dazu müssen der zu erhaltende Anteil von Dauergrünland an der landwirtschaftlichen Fläche geregelt und die Pflichten der einzelnen Betriebsinhaber vorgesehen werden, wenn dieser Anteil zurückgeht.",Contract Law,3,"Es ist notwendig, die Einzelheiten für die Festlegung des Verhältnisses zwischen Dauergrünland und Ackerland, das erhalten werden muss, festzulegen und die individuellen Verpflichtungen auf Ebene der Landwirte zu regeln, die zu beachten sind, wenn festgestellt wird, dass sich dieser Anteil zuungunsten des Dauergrünlands verringert.",0.015315603358167423,0.23359757125990893,0.02902352251112461
"RELIEF UNDER THE CUSTOMARY PRIVILEGES ACCORDED BY VIRTUE OF INTERNATIONAL AGREEMENTS OR HEADQUARTERS AGREEMENTS TO WHICH EITHER A THIRD COUNTRY OR AN INTERNATIONAL ORGANIZATION IS A CONTRACTING PARTY , INCLUDING THE RELIEF GRANTED ON THE OCCASION OF INTERNATIONAL MEETINGS;","BEFREIUNGEN AUFGRUND DER ÜBLICHEN VORRECHTE , DIE GEMÄß INTERNATIONALEN ABKOMMEN ODER SITZABKOMMEN , BEI DENEN EIN DRITTLAND ODER EINE INTERNATIONALE ORGANISATION VERTRAGSPARTEI IST , GEWÄHRT WERDEN , EINSCHLIESSLICH DER ANLÄSSLICH INTERNATIONALER BEGEGNUNGEN GEWÄHRTEN BEFREIUNGEN;",Contract Law,3,"BEFREIUNGEN IM RAHMEN DER ÜBLICHEN PRIVILEGIEN, DIE AUFS GRUND VON INTERNATIONALEN ABKOMMEN ODER HAUPTQUARTIERABKOMMEN GEWÄHRT WERDEN, AN DIESEN EITHER EIN DRITTLAND ODER EINE INTERNATIONALE ORGANISATION BETEILIGT IST, EINSCHLIESSLICH DER BEFREIUNGEN, DIE ANLÄSSLICH INTERNATIONALER TREFFEN GEWÄHRT WERDEN;",0.24093392879487147,0.6733262416062762,0.08598024398088455
"With the objective of further facilitating the registration of certain traditional herbal medicinal products and of further enhancing harmonisation, there should be the possibility of establishing a Community list of herbal substances that fulfil certain criteria, such as having been in medicinal use for a sufficiently long time, and hence are considered not to be harmful under normal conditions of use.","Um die Registrierung bestimmter traditioneller pflanzlicher Arzneimittel weiter zu erleichtern und eine Harmonisierung weiter zu fördern, sollte die Möglichkeit gegeben sein, eine Gemeinschaftsliste pflanzlicher Stoffe zu erstellen, die bestimmte Kriterien, wie eine ausreichend lange medizinische Verwendung, erfuellen und daher als unter normalen Anwendungsbedingungen nicht schädlich gelten.",Contract Law,1,"Ziel ist es, die Zulassung bestimmter traditioneller pflanzlicher Arzneimittel weiter zu erleichtern und die Harmonisierung weiter zu verstärken, indem die Möglichkeit geschaffen wird, eine Gemeinschaftsliste von pflanzlichen Wirkstoffen zu erstellen, die bestimmte Kriterien erfüllen, wie etwa eine ausreichend lange medizinische Verwendung und daher unter normalen Anwendungsbedingungen als nicht schädlich angesehen werden.",0.36623889402139165,0.728483612362256,0.7187249064445496
