source,target,language_pair,Legal_Category
Commission Regulation (EC) No 2132/2003 of 4 December 2003 amending Regulation (EC) No 2799/1999 laying down detailed rules for applying Regulation (EC) No 1255/1999 as regards the grant of aid for skimmed milk and skimmed-milk powder intended for animal feed and the sale of such skimmed-milk powder,Verordnung (EG) Nr. 2132/2003 der Kommission vom 4. Dezember 2003 zur Änderung der Verordnung (EG) Nr. 2799/1999 mit Durchführungsvorschriften zur Verordnung (EG) Nr. 1255/1999 des Rates hinsichtlich der Gewährung einer Beihilfe für Magermilch und Magermilchpulver für Futterzwecke und des Verkaufs dieses Magermilchpulvers,en-de,Administrative Law
Vin de pays des côtes du Condomois,Vin de pays des côtes du Condomois,en-de,General Legal
"Whereas, on the territories of the Member States not party to the Agreement, some installations or parts thereof as well as certain materials are liable to be involved in the production cycle for defence needs, therefore it is appropriate to specify particular safeguard procedures to take account of these circumstances;","Auf dem Hoheitsgebiet der Mitgliedstaaten, die nicht Vertragspartei des Übereinkommens sind, sind bestimmte Anlagen oder Anlagenteile und bestimmtes Material möglicherweise dem Produktionszyklus für Verteidigungszwecke zuzuordnen; es sollten daher besondere Kontrollmaßnahmen festgelegt werden, um diesem Umstand Rechnung zu tragen.",en-de,Contract Law
"Council Directive 70/524/EEC of 23 November 1970 concerning additives in feedingstuffs(12), provides for an authorisation procedure for placing on the market additives used in feedingstuffs.",Die Richtlinie 70/524/EWG des Rates vom 23. November 1970 über Zusatzstoffe in der Tierernährung(12) regelt die Zulassung des Inverkehrbringens von Zusatzstoffen für Futtermittel.,en-de,General Legal
"supply immediately any information which would facilitate compliance with this Regulation, such as accounts and amounts frozen in accordance with Article 2, to the competent authorities of the Member States listed in Annex II where they are resident or located, and shall transmit such information, directly or through these competent authorities, to the Commission;","den in Anhang II aufgeführten zuständigen Behörden der Mitgliedstaaten, in denen sie ihren Sitz oder eine Niederlassung haben, sowie der Kommission - direkt oder über diese zuständigen Behörden - unverzüglich alle Informationen zu übermitteln, die die Einhaltung dieser Verordnung erleichtern würden, z. B. Informationen über gemäß Artikel 2 eingefrorene Konten und Guthaben;",en-de,Corporate Law
"'0A'H to '0F'H RFU,",'0A'H.. '0F'H RFU (für zukünftige Funktionen reserviert),en-de,General Legal
statement showing either (i) all changes in equity or (ii) changes in equity other than those arising from capital transactions with owners and distributions to owners;,"Aufstellung, die entweder (i) alle Veränderungen des Eigenkapitals oder (ii) Veränderungen des Eigenkapitals, die nicht aus Kapitaltransaktionen mit Eigentümern oder Ausschüttungen an Eigentümer resultieren, zeigt;",en-de,General Legal
4 other,4 Andere,en-de,General Legal
by these parties;,"von den am Zusammenschluss beteiligten Unternehmen,",en-de,General Legal
"The Common Fisheries Policy shall cover conservation, management and exploitation of living aquatic resources, aquaculture, and the processing and marketing of fishery and aquaculture products where such activities are practised on the territory of Member States or in Community waters or by Community fishing vessels or, without prejudice to the primary responsibility of the flag State, nationals of Member States.","Die Gemeinsame Fischereipolitik erstreckt sich auf die Erhaltung, Bewirtschaftung und Nutzung lebender aquatischer Ressourcen, die Aquakultur und die Verarbeitung und Vermarktung von Erzeugnissen der Fischerei und der Aquakultur, soweit diese Tätigkeiten im Hoheitsgebiet der Mitgliedstaaten oder in Gemeinschaftsgewässern oder durch Fischereifahrzeuge der Gemeinschaft oder, unbeschadet der Tatsache, dass in erster Linie der Flaggenstaat zuständig ist, von Staatsbürgern der Mitgliedstaaten ausgeübt werden.",en-de,General Legal
=450 Formerly included in Podocnemis spp.,=450 war früher in Podocnemis spp. enthalten,en-de,General Legal
The legal commitment is the act whereby the authorising officer enters into or establishes an obligation which results in a charge.,"Die rechtliche Verpflichtung ist die Handlung, durch die der Anweisungsbefugte eine Verpflichtung eingeht, die eine Belastung zur Folge hat.",en-de,Contract Law
30th June Avenue,30th June Avenue,en-de,General Legal
"In measuring and reporting segment revenue from transactions with other segments, inter-segment transfers should be measured on the basis that the enterprise actually used to price those transfers.","Bei der Bewertung und Darstellung der Segmenterlöse aus Transaktionen mit anderen Segmenten sind Transfers zwischen den Segmenten auf der Grundlage zu bewerten, die das Unternehmen tatsächlich zur Ermittlung von Verrechnungspreisen für solche Transfers anwendet.",en-de,Corporate Law
The Agency should act in support of the Community mechanism in the field of civil protection.,Die Agentur sollte das Gemeinschaftsverfahren im Bereich des Katastrophenschutzes unterstützen.,en-de,Civil Law
the effect of differences between actual and previously assumed salary increases on the obligation to pay benefits for service in prior years (there is no past service cost because actuarial assumptions allow for projected salaries);,"die Auswirkungen von Unterschieden zwischen tatsächlichen und ursprünglich angenommenen Gehaltssteigerungen auf die Höhe der in früheren Jahren erdienten Leistungen (nachzuverrechnender Dienstzeitaufwand entsteht nicht, da die Gehaltsentwicklung über die versicherungsmathematischen Annahmen berücksichtigt ist);",en-de,Contract Law
The implementation of the.eu TLD may take into consideration best practices in this regard and could be supported by voluntary guidelines or codes of conduct where appropriate.,"Bei der Verwaltung der TLD "".eu"" könnten einschlägige bewährte Praktiken berücksichtigt und gegebenenfalls auf freiwilliger Basis Leitlinien oder Verhaltensregeln aufgestellt werden.",en-de,Contract Law
Article 3a of and Annex 4 to Guideline ECB/2000/1 shall be repealed.,Artikel 3a und Anhang 4 der Leitlinie EZB/2000/1 werden aufgehoben.,en-de,Constitutional Law
"Passiflora L., originating in non-European countries","Passiflora L., mit Ursprung in außereuropäischen Ländern",en-de,General Legal
L is the percent torque specified for the test mode.,L für die Prüfphase vorgegebenes Teildrehmoment.,en-de,General Legal
"a government or regional body or other public organisation makes payments to a funding mechanism or entrusts or directs a private body to carry out one or more of the type of functions illustrated under (i), (ii) and (iii) which would normally be vested in the government and, in practice, in no real sense differs from practices normally followed by governments;","die Regierung, eine regionale Stelle oder eine andere öffentliche Einrichtung Zahlungen an einen Fördermechanismus leistet oder eine private Einrichtung mit der Wahrnehmung von Aufgaben der unter den Ziffern i), ii), und iii) genannten Art, die normalerweise der Regierung obliegen, betraut oder dazu anweist und sich diese Praktik in keiner Weise von den Praktiken unterscheidet, die normalerweise von den Regierungen ausgeübt werden,",en-de,Administrative Law
develop technical solutions and provide technical assistance related to the implementation of Community legislation;,im Zusammenhang mit der Anwendung von Gemeinschaftsvorschriften technische Lösungen zu entwickeln und technische Unterstützung zu leisten;,en-de,General Legal
"To this end, each Member State may draw up a national programme for a period of three years, hereinafter referred to as the ""apiculture programme"".","Hierfür können die Mitgliedstaaten nationale Dreijahresprogramme, im Folgenden ""Imkereiprogramme"", auflegen.",en-de,General Legal
A supplementary premium shall be paid to farmers in areas where sheep and goat production constitutes a traditional activity or contributes significantly to the rural economy.,"In Gebieten, in denen die Schaf- und Ziegenhaltung eine traditionelle Wirtschaftstätigkeit darstellt oder einen erheblichen Beitrag zur ländlichen Wirtschaft leistet, wird den Betriebsinhabern eine Zusatzprämie gewährt.",en-de,General Legal
CXL CONCESSIONS SUGAR,ZUCKER ZUGESTÄNDNISSE CXL,en-de,General Legal
"Where milk or milk products leave the holding for the purpose of destruction in application of sanitary measures pursuant to a decision of the competent authority of the Member State, the quantities concerned shall not be taken into account as deliveries or direct sales.","Verlassen Milch oder Milcherzeugnisse den Betrieb zum Zweck der unschädlichen Beseitigung in Anwendung gesundheitlicher Maßnahmen infolge eines Beschlusses der zuständigen Behörde des Mitgliedstaats, so werden die betreffenden Mengen nicht als Lieferung oder Direktverkauf berücksichtigt.",en-de,Administrative Law
Administrative appropriations may be implemented without a prior financing decision.,Die Verwaltungsmittel können ohne vorherigen Finanzierungsbeschluss verwendet werden.,en-de,Administrative Law
"The Agency may cooperate with the aeronautical authorities of third countries and the international organisations competent in matters covered by this Regulation in the framework of working arrangements concluded with those bodies, in accordance with the relevant provisions of the Treaty.","Die Agentur kann mit den Luftfahrtbehörden von Drittländern und den internationalen Organisationen, die für von dieser Verordnung erfasste Bereiche zuständig sind, im Rahmen von Arbeitsvereinbarungen mit diesen Stellen im Einklang mit den einschlägigen Bestimmungen des Vertrags zusammenarbeiten.",en-de,Administrative Law
"action taken by the management authority and the Monitoring Committee, if provision has been made for such a committee, to ensure high quality and effective implementation, and in particular:",die von der Verwaltungsbehörde und dem gegebenenfalls vorgesehenen Begleitausschuss getroffenen Vorkehrungen zur Sicherung der Qualität und der Effizienz der Durchführung; hierzu gehören insbesondere,en-de,Administrative Law
"Systems shall be designed, built and maintained on the grounds of sound engineering principles, in particular those relating to modularity, enabling interchangeability of constituents, high availability, and redundancy and fault tolerance of critical constituents.","Systeme sind unter Anwendung sachgerechter technischer Grundsätze - insbesondere in Bezug auf Modularität, Austauschbarkeit von Komponenten, hohe Verfügbarkeit sowie Redundanz und Fehlertoleranz kritischer Komponenten - auszulegen, herzustellen und instand zu halten.",en-de,General Legal
"For the purposes of this Directive, ""special or exclusive rights"" mean rights granted by a competent authority of a Member State by way of any legislative, regulatory or administrative provision the effect of which is to limit the exercise of activities defined in Articles 3 to 7 to one or more entities, and which substantially affects the ability of other entities to carry out such activity.","""Besondere oder ausschließliche Rechte"" im Sinne dieser Richtlinie sind Rechte, die von einer zuständigen Behörde eines Mitgliedstaats mittels Rechts- oder Verwaltungsvorschriften gewährt wurden und dazu führen, dass die Ausübung einer der in den Artikeln 3 bis 7 genannten Tätigkeiten einem oder mehreren Unternehmen vorbehalten wird und dass die Möglichkeit anderer Unternehmen, diese Tätigkeit auszuüben, erheblich beeinträchtigt wird.",en-de,Administrative Law
a statement of the grounds on which the application for a declaration of invalidity is based;,"die Angabe der Nichtigkeitsgründe, auf die sich der Antrag stützt;",en-de,General Legal
The parameter dataRecord (DREC_) is used by the ReadDataByIdentifier positive response message to provide the data record value identified by the recordDataIdentifier to the client (tester).,"Der Parameter dataRecord (DREC_) dient der Nachricht Positive Response auf ReadDataByIdentifier dazu, dem Client (Prüfgerät) den durch die recordDataIdentifier gekennzeichneten Datensatz bereitzustellen.",en-de,General Legal
"Member States shall ensure that public authorities inform the public adequately of the rights they enjoy as a result of this Directive and to an appropriate extent provide information, guidance and advice to this end.","Die Mitgliedstaaten stellen sicher, dass die Behörden die Öffentlichkeit angemessen über die ihr aus dieser Richtlinie erwachsenden Rechte unterrichten und hierzu in angemessenem Umfang Informationen, Orientierung und Beratung bieten.",en-de,Constitutional Law
GOODS LISTED IN ARTICLE 30 WHICH ARE CONTAINED IN A SMALL CONSIGNMENT OF A NON-COMMERCIAL NATURE IN AMOUNTS EXCEEDING THOSE LAID DOWN IN THAT ARTICLE SHALL BE ENTIRELY EXCLUDED FROM DUTY-FREE ADMISSION.,"IN ARTIKEL 30 GENANNTE WAREN , DIE IN EINER KLEINSENDUNG NICHTKOMMERZIELLER ART IN GRÖßEREN ALS DEN IN ARTIKEL 30 FESTGELEGTEN MENGEN ENTHALTEN SIND , SIND VON DER BEFREIUNG VOLLSTÄNDIG AUSGESCHLOSSEN.",en-de,Constitutional Law
"The Company shall ensure that the master has available on board, at all times, information through which officers duly authorised by a Contracting Government can establish:.","Das Unternehmen muss sicherstellen, dass der Kapitän zu jeder Zeit an Bord über Angaben verfügt, mit deren Hilfe von einer Regierung ordnungsgemäß ermächtigte Bedienstete feststellen können,.",en-de,Corporate Law
Ships using port facilities may be subject to the port State control inspections and additional control measures outlined in regulation XI-2/9.,"Schiffe, die Hafenanlagen nutzen, können Kontrollbesichtigungen durch den Hafenstaat und zusätzlichen Kontrollmaßnahmen nach Regel XI-2/9 unterliegen.",en-de,Administrative Law
six days shall be equivalent to one week and vice versa;,SO ENTSPRECHEN EINANDER SECHS TAGE UND EINE WOCHE;,en-de,General Legal
"This shall also apply to injury caused by the Contracting Party which issued the alert, where the latter entered factually inaccurate data or stored data unlawfully.","Dies gilt auch, wenn der Schaden durch die ausschreibende Vertragspartei verursacht worden ist, weil diese die Daten unrichtig eingegeben hat oder die Speicherung unrechtmäßig war.",en-de,Contract Law
Appropriations corresponding to assigned revenue may be transferred only if such revenue is used for the purpose to which it is assigned.,"Mittel, die zweckgebundenen Einnahmen entsprechen, können nur insoweit übertragen werden, als diese Einnahmen ihre Zweckgebundenheit behalten.",en-de,Tax Law
"the amount to be recovered, expressed in euro;","den einzuziehenden Betrag, ausgedrückt in Euro;",en-de,General Legal
The feed additive shall not:,Der Futtermittelzusatzstoff darf,en-de,General Legal
'PV' País Vasco.,'PV' País Vasco,en-de,General Legal
A card consecutive index (definition h)).,Fortlaufender Kartenindex (Begriffsbestimmung h)).,en-de,General Legal
Interested parties were informed of the essential facts and considerations on the basis of which the Council intended to extend the definitive anti-dumping duty in force and were given the opportunity to comment and to be heard.,"Die interessierten Parteien wurden über die wesentlichen Tatsachen und Erwägungen unterrichtet, auf deren Grundlage der Rat den endgültigen Antidumpingzoll auszuweiten beabsichtigte, und erhielten Gelegenheit, Stellung zu nehmen und gehört zu werden.",en-de,Tax Law
"The payment period referred to in paragraph 1 shall be thirty calendar days for payments relating to service or supply contracts, save where the contract provides otherwise.","Bei öffentlichen Waren- und Dienstleistungsverträgen beträgt die Zahlungsfrist 30 Kalendertage, es sei denn, der betreffende Vertrag sieht etwas anderes vor.",en-de,Contract Law
"Provided that they respect the minimum levels of taxation prescribed by this Directive and that they are compatible with Community law, differentiated rates of taxation may be applied by Member States, under fiscal control, in the following cases:","Die Mitgliedstaaten können unter Steueraufsicht gestaffelte Steuersätze anwenden, soweit diese die in dieser Richtlinie vorgesehenen Mindeststeuerbeträge nicht unterschreiten und mit dem Gemeinschaftsrecht vereinbar sind, und zwar in den folgenden Fällen:",en-de,General Legal
"It shall not permit the parent company to give instructions regarding day-to-day operations, nor with respect to individual decisions concerning the construction or upgrading of transmission and distribution lines, that do not exceed the terms of the approved financial plan, or any equivalent instrument;","Dies erlaubt es dem Mutterunternehmen nicht, Weisungen bezüglich des laufenden Betriebs oder einzelne Entscheidungen über den Bau oder die Modernisierung von Fernleitungen und Verteilerleitungen zu erteilen, die über den Rahmen des genehmigten Finanzplans oder eines gleichwertigen Instruments nicht hinausgehen;",en-de,Contract Law
This period may be extended by two months where additional information is sought by the regulatory authority.,"Diese Frist kann um zwei Monate verlängert werden, wenn die Regulierungsbehörde zusätzliche Informationen anfordert.",en-de,Administrative Law
The product under investigation is certain ring binder mechanisms consigned from Thailand (the product under investigation) normally declared under the same codes as the product concerned originating in China.,"Bei der von der Untersuchung betroffenen Ware handelt es sich um bestimmte aus Thailand versandte Ringbuchmechaniken (nachstehend ""untersuchte Ware"" genannt), die normalerweise denselben KN-Codes zugewiesen werden wie die betroffene Ware mit Ursprung in der VR China.",en-de,Criminal Law
"The Commission has negotiated, on behalf of the Community, an Agreement on scientific and technological cooperation with the Kingdom of Morocco.",Die Kommission hat im Namen der Gemeinschaft mit dem Königreich Marokko ein Abkommen über wissenschaftlich-technische Zusammenarbeit ausgehandelt.,en-de,Contract Law
"the date of embarkation of the goods and the delivery period concerned, the period shown having no impact on the validity, upon import, of the certificate of origin;",das Datum der Verschiffung der Waren und den betreffenden Lieferzeitraum; der angegebene Zeitraum hat keine Auswirkung auf die Gültigkeitsdauer der Ursprungsbescheinigung bei der Einfuhr;,en-de,General Legal
A MEMBER STATE MAY REQUIRE THAT EMOLUMENTS GRANTED BY REASON OF RESPONSIBILITIES ASSUMED IN UNDERTAKINGS LINKED AS DESCRIBED IN ARTICLE 32 OR 33 SHALL ALSO BE INCLUDED WITH THE INFORMATION SPECIFIED IN THE FIRST SENTENCE.,"Die Mitgliedstaaten können verlangen, daß in die Angaben nach Satz 1 auch Vergütungen für die Wahrnehmung von Aufgaben in Unternehmen einbezogen werden, zu denen Beziehungen im Sinne von Artikel 32 oder von Artikel 33 bestehen;",en-de,Criminal Law
CHAPTER 9,KAPITEL 9,en-de,General Legal
"If data collected through routine monitoring in accordance with Article 4 are not sufficient, coordinated monitoring programmes concerning one or more zoonoses and/or zoonotic agents may be established in accordance with the procedure referred to in Article 12(2).","Sind die bei der Routineueberwachung nach Artikel 4 erfassten Daten nicht ausreichend, so können nach dem Verfahren gemäß Artikel 12 Absatz 2 für eine oder mehrere Zoonosen und/oder einen oder mehrere Zoonoseerreger koordinierte Überwachungsprogramme aufgestellt werden.",en-de,Constitutional Law
Rules common to several measures,Allgemeine Vorschriften für verschiedene Maßnahmen,en-de,General Legal
The Council shall act by a qualified majority.,Der Rat beschließt mit qualifizierter Mehrheit .,en-de,General Legal
"At the end of 20X5, the production process is recognised as an intangible asset at a cost of 100 (expenditure incurred since the date when the recognition criteria were met, that is, 1 December 20X5).","Ende 20X5 wird der Produktionsprozess als immaterieller Vermögenswert mit Herstellungskosten in Höhe von 100 angesetzt (Ausgaben, die seit dem Zeitpunkt der Erfuellung der Ansatzkriterien, dem 1. Dezember 20X5, angefallen sind).",en-de,General Legal
"Interest-bearing liabilities that provide the financing for working capital on a long-term basis, and are not due for settlement within 12 months, are non-current liabilities.","Verzinsliche Schulden, die langfristig der Finanzierung des Umlaufvermögens zur Verfügung stehen und deren Tilgung nicht innerhalb von zwölf Monaten fällig ist, sind langfristige Schulden.",en-de,General Legal
The ultimate cost of the plan is uncertain and this uncertainty is likely to persist over a long period of time.,Die tatsächlichen Kosten des Planes sind ungewiss und diese Ungewissheit besteht in der Regel über einen langen Zeitraum.,en-de,General Legal
Opinion delivered on 22 April 2004 (not yet published in the Official Journal).,Stellungnahme vom 22. April 2004 (noch nicht im Amtsblatt veröffentlicht).,en-de,General Legal
To increase liquid milk consumption.,Steigerung des Flüssigmilchverbrauchs;,en-de,General Legal
"In the event of a polygamous marriage, where the sponsor already has a spouse living with him in the territory of a Member State, the Member State concerned shall not authorise the family reunification of a further spouse.","Lebt im Falle einer Mehrehe bereits ein Ehegatte gemeinsam mit dem Zusammenführenden im Hoheitsgebiet eines Mitgliedstaats, so gestattet der betreffende Mitgliedstaat nicht die Familienzusammenführung eines weiteren Ehegatten.",en-de,Family Law
"exceededNumberOfAttempts: PIN not valid and number of PIN checks attempts exceeded,","exceededNumberOfAttempts: ungültige PIN und Zahl der zulässigen PIN-Prüfversuche überschritten,",en-de,General Legal
"If a segment is identified as a reportable segment in the current period because it satisfies the relevant 10 % thresholds, prior period segment data that is presented for comparative purposes should be restated to reflect the newly reportable segment as a separate segment, even if that segment did not satisfy the 10 % thresholds in the prior period, unless it is impracticable to do so.","Wenn ein Segment in der aktuellen Berichtsperiode erstmals als berichtspflichtiges Segment bestimmt wurde, da es die relevanten 10 % Schwellenwerte erreicht, sind die zu Vergleichszwecken dargestellten Segmentdaten der vorangegangenen Berichtsperiode anzupassen, auch wenn dieses Segment in der vorangegangenen Berichtsperiode die 10 % Schwellenwerte nicht erreicht hat, es sei denn, dies ist nicht durchführbar oder wirtschaftlich nicht vertretbar.",en-de,General Legal
The return of a child referred to in Article 40(1)(b) entailed by an enforceable judgment given in a Member State shall be recognised and enforceable in another Member State without the need for a declaration of enforceability and without any possibility of opposing its recognition if the judgment has been certified in the Member State of origin in accordance with paragraph 2.,"Eine in einem Mitgliedstaat ergangene vollstreckbare Entscheidung über die Rückgabe des Kindes im Sinne des Artikels 40 Absatz 1 Buchstabe b), für die eine Bescheinigung nach Absatz 2 im Ursprungsmitgliedstaat ausgestellt wurde, wird in einem anderen Mitgliedstaat anerkannt und kann dort vollstreckt werden, ohne dass es einer Vollstreckbarerklärung bedarf und ohne dass die Anerkennung angefochten werden kann.",en-de,Family Law
"The TACs shall not exceed a level of catches which a scientific evaluation, carried out by the STECF in the light of the most recent report of the ICES, has indicated will result in an increase of 30 % in the quantities of mature fish in the sea at the end of the year of their application, compared to the quantities estimated to have been in the sea at the start of that year.","Die TAC werden maximal in einer Höhe festgesetzt, bei der nach wissenschaftlicher Einschätzung des STECF unter Berücksichtigung des jüngsten ICES-Berichts gewährleistet ist, dass die Mengen geschlechtsreifer Fische im Meer am Ende des Jahres, für das die TAC gelten, im Vergleich zu den Mengen, die sich Schätzungen zufolge am Anfang dieses Jahres im Meer befanden, um 30 % zugenommen haben.",en-de,General Legal
"the complete dossier is submitted within the time period specified in Annex V to this Regulation for the product type concerned, together with the summary dossier referred to in Article 11(1)(b) of Directive 98/8/EC and defined in Annex IV to this Regulation.","die vollständigen Unterlagen innerhalb der in Anhang V der vorliegenden Verordnung für die betreffende Produktart gesetzten Frist, einschließlich der in Artikel 11 Absatz 1 Buchstabe b) der Richtlinie 98/8/EG genannten und in Anhang IV der vorliegenden Verordnung definierten Zusammenfassung der Unterlagen, übermittelt werden.",en-de,Constitutional Law
"Alentego e Algarve,","Alentejo e Algarve,",en-de,General Legal
This Directive shall enter into force on the 20th day following its publication in the Official Journal of the European Union.,Diese Richtlinie tritt am zwanzigsten Tag nach ihrer Veröffentlichung im Amtsblatt der Europäischen Union in Kraft.,en-de,Labor Law
Delete one of these as appropriate.,"Nichtzutreffendes bitte streichen. (6) Nichtzutreffendes bitte streichen.""",en-de,General Legal
"If the product is suitable, only a representative part of the final sample need be kept.","Sofern das Erzeugnis sich dazu eignet, darf man lediglich einen repräsentativen Teil der Endprobe aufbewahren.",en-de,General Legal
The inspections shall determine whether:,"Diese Kontrollen dienen der Feststellung, ob",en-de,General Legal
"Asturias,","Austrias,",en-de,General Legal
They shall be amended in accordance with the same procedure.,Die Änderung dieser Entscheidungen erfolgt nach dem gleichen Verfahren.,en-de,General Legal
to contribute to their environmentally sound use.,zu einer umweltverträglichen Verwendung dieser Chemikalien beizutragen.,en-de,General Legal
"Each competent authority shall ensure that appropriate mechanisms are in place for a register of natural persons and SMEs considered as qualified investors, taking into account the need to ensure an adequate level of data protection.","Jede zuständige Behörde stellt sicher, dass angemessene Mechanismen bestehen, um natürliche Personen sowie KMU, die als qualifizierte Anleger angesehen werden, zu registrieren, wobei ein angemessenes Niveau des Datenschutzes sichergestellt wird.",en-de,Administrative Law
Commission Regulation (EC) No 47/2003 of 10 January 2003 amending Annex I to Council Regulation (EC) No 2200/96,Verordnung (EG) Nr. 47/2003 der Kommission vom 10. Januar 2003 zur Änderung von Anhang I der Verordnung (EG) Nr. 2200/96 des Rates,en-de,Administrative Law
"The Community will select European postgraduate courses which, for the purposes of the programme, will be called ""Erasmus Mundus masters courses"" and will be selected on the basis of the quality of the courses offered and hosting of students, as provided for under ""Selection procedures"" in this Annex.","Die Gemeinschaft wählt gemäß den im Teil ""Auswahlverfahren"" dieses Anhangs dargelegten Verfahren europäische Postgraduiertenstudiengänge aus, die für die Zwecke dieses Programms als ""Erasmus-Mundus-Masterstudiengang"" bezeichnet und entsprechend der Qualität der angebotenen Kurse und der Betreuung der Studierenden ausgewählt werden.",en-de,General Legal
Fuel tanks (capacity and position),"Kraftstoffbehälter (Fassungsraum, Lage)",en-de,General Legal
"Member States shall require that investment firms and market operators operating an MTF establish and maintain effective arrangements and procedures, relevant to the MTF, for the regular monitoring of the compliance by its users with its rules.","Die Mitgliedstaaten schreiben vor, dass Wertpapierfirmen und Marktbetreiber, die ein MTF betreiben, für das MTF auf Dauer wirksame Vorkehrungen und Verfahren für die regelmäßige Überwachung der Einhaltung der Regeln des MTF durch dessen Nutzer festlegen.",en-de,Corporate Law
"The definitive value and number shall be established, by 31 December of the first year of application of the single payment scheme at the latest, after the checks made pursuant to Commission Regulation (EC) No 795/2004 are carried out.",Die endgültige Feststellung des Werts und der Zahl erfolgt bis spätestens 31. Dezember des ersten Anwendungsjahrs der Betriebsprämienregelung nach den Prüfungen gemäß der Verordnung (EG) Nr. 795/2004 der Kommission.,en-de,Administrative Law
Issue of licences,Erteilung der Lizenzen,en-de,General Legal
N-[3-(dodecylamino)propyl]glycine,N-[3-(Dodecylamino)propyl]glycin,en-de,General Legal
